#Duplication rate	Coverage
1.0	3543789.0
2.0	2156433.0
3.0	1398028.0
4.0	964505.0
5.0	698090.0
6.0	522231.0
7.0	401640.0
8.0	316262.0
9.0	253719.0
10.0	205215.0
11.0	170528.0
12.0	142409.0
13.0	120469.0
14.0	103217.0
15.0	88348.0
16.0	76656.0
17.0	67298.0
18.0	58587.0
19.0	52337.0
20.0	46293.0
21.0	41167.0
22.0	37199.0
23.0	33435.0
24.0	30151.0
25.0	27742.0
26.0	25159.0
27.0	23178.0
28.0	21332.0
29.0	19336.0
30.0	17786.0
31.0	16652.0
32.0	15378.0
33.0	13989.0
34.0	13070.0
35.0	12452.0
36.0	11764.0
37.0	10869.0
38.0	10169.0
39.0	9433.0
40.0	8967.0
41.0	8397.0
42.0	7858.0
43.0	7579.0
44.0	7124.0
45.0	6836.0
46.0	6413.0
47.0	6057.0
48.0	5774.0
49.0	5493.0
50.0	213507.0
