#Insert size (bp)	insert size
386.0	89655.0
387.0	87544.0
388.0	87024.0
389.0	84446.0
390.0	84276.0
391.0	83859.0
392.0	82499.0
393.0	81422.0
394.0	79932.0
395.0	79613.0
396.0	77856.0
397.0	77117.0
398.0	75813.0
399.0	75109.0
400.0	74134.0
401.0	73719.0
402.0	72956.0
403.0	70623.0
404.0	69209.0
405.0	69014.0
406.0	68229.0
407.0	67886.0
408.0	66060.0
409.0	65265.0
410.0	63678.0
411.0	63855.0
412.0	63270.0
413.0	62147.0
414.0	62386.0
415.0	61379.0
416.0	60148.0
417.0	59071.0
418.0	58375.0
419.0	58002.0
420.0	58411.0
421.0	56661.0
422.0	55412.0
423.0	54628.0
424.0	55242.0
425.0	53421.0
426.0	52535.0
427.0	51318.0
428.0	50621.0
429.0	50571.0
430.0	50959.0
431.0	50975.0
432.0	48529.0
433.0	47800.0
434.0	46736.0
435.0	46451.0
436.0	46859.0
437.0	45903.0
438.0	45371.0
439.0	44210.0
440.0	44236.0
441.0	43876.0
442.0	43202.0
443.0	42692.0
444.0	43448.0
445.0	42262.0
446.0	41423.0
447.0	41251.0
448.0	40572.0
449.0	40315.0
450.0	40110.0
451.0	38990.0
452.0	39047.0
453.0	38840.0
454.0	38216.0
455.0	38303.0
456.0	37190.0
457.0	37246.0
458.0	35959.0
459.0	36536.0
460.0	37334.0
461.0	35452.0
462.0	35400.0
463.0	35356.0
464.0	35284.0
465.0	35638.0
466.0	36809.0
467.0	34712.0
468.0	34111.0
469.0	33402.0
470.0	33586.0
471.0	33308.0
472.0	32860.0
473.0	32793.0
474.0	32845.0
475.0	32747.0
476.0	33807.0
477.0	32608.0
478.0	32706.0
479.0	31909.0
480.0	30492.0
481.0	30016.0
482.0	30451.0
483.0	30989.0
484.0	30734.0
485.0	30254.0
486.0	29426.0
487.0	28564.0
488.0	28750.0
489.0	28724.0
490.0	28627.0
491.0	28997.0
492.0	28702.0
493.0	28233.0
494.0	29100.0
495.0	27704.0
496.0	27958.0
497.0	27545.0
498.0	27546.0
499.0	27812.0
500.0	27455.0
501.0	26632.0
502.0	26808.0
503.0	27064.0
504.0	26098.0
505.0	25504.0
506.0	25081.0
507.0	25325.0
508.0	25398.0
509.0	26640.0
510.0	25241.0
511.0	24179.0
512.0	24063.0
513.0	23844.0
514.0	24086.0
515.0	23952.0
516.0	23535.0
517.0	23450.0
518.0	23266.0
519.0	23322.0
520.0	23970.0
521.0	23318.0
522.0	23182.0
523.0	22398.0
524.0	22068.0
525.0	21978.0
526.0	22540.0
527.0	22531.0
528.0	21317.0
529.0	21758.0
530.0	21862.0
531.0	22277.0
532.0	20847.0
533.0	20744.0
534.0	20978.0
535.0	20959.0
536.0	20517.0
537.0	20666.0
538.0	21044.0
539.0	30269.0
540.0	20097.0
541.0	18610.0
542.0	18705.0
543.0	18418.0
544.0	19548.0
545.0	18938.0
546.0	18956.0
547.0	18087.0
548.0	18130.0
549.0	17948.0
550.0	17949.0
551.0	17339.0
552.0	17832.0
553.0	16791.0
554.0	16908.0
555.0	16509.0
556.0	17306.0
557.0	16436.0
558.0	16205.0
559.0	16532.0
560.0	16166.0
561.0	16240.0
562.0	16035.0
563.0	15804.0
564.0	15834.0
565.0	15653.0
566.0	15418.0
567.0	15377.0
568.0	15452.0
569.0	15269.0
570.0	15317.0
571.0	14946.0
572.0	14836.0
573.0	14799.0
574.0	14569.0
575.0	14696.0
576.0	14561.0
577.0	14570.0
578.0	14589.0
579.0	14472.0
580.0	14688.0
581.0	14225.0
582.0	14360.0
583.0	14287.0
584.0	14756.0
585.0	14414.0
586.0	14418.0
587.0	14329.0
588.0	14897.0
589.0	14153.0
590.0	14149.0
591.0	14009.0
592.0	13851.0
593.0	13348.0
594.0	13421.0
595.0	13305.0
596.0	13005.0
597.0	13238.0
598.0	12928.0
599.0	12892.0
600.0	12899.0
601.0	12763.0
602.0	13127.0
603.0	12509.0
604.0	12753.0
605.0	12754.0
606.0	12223.0
607.0	12739.0
608.0	12117.0
609.0	12497.0
610.0	12362.0
611.0	12322.0
612.0	12564.0
613.0	12268.0
614.0	12767.0
615.0	12666.0
616.0	12328.0
617.0	12308.0
618.0	12517.0
619.0	12219.0
620.0	12548.0
621.0	12218.0
622.0	12149.0
623.0	12194.0
624.0	12277.0
625.0	12142.0
626.0	12172.0
627.0	12160.0
628.0	12111.0
629.0	11724.0
630.0	11688.0
631.0	11766.0
632.0	11606.0
633.0	11761.0
634.0	11516.0
635.0	12252.0
636.0	11687.0
637.0	12272.0
638.0	11883.0
639.0	10960.0
640.0	10918.0
641.0	11249.0
642.0	11093.0
643.0	10963.0
644.0	10944.0
645.0	10996.0
646.0	10444.0
647.0	10658.0
648.0	10600.0
649.0	11311.0
650.0	11183.0
651.0	11287.0
652.0	11600.0
653.0	10929.0
654.0	11118.0
655.0	10936.0
656.0	10641.0
657.0	10703.0
658.0	10372.0
659.0	10650.0
660.0	11010.0
661.0	10940.0
662.0	10507.0
663.0	10358.0
664.0	10387.0
665.0	10394.0
666.0	10978.0
667.0	10621.0
668.0	10515.0
669.0	10667.0
670.0	11270.0
671.0	10597.0
672.0	10614.0
673.0	10810.0
674.0	10936.0
675.0	10758.0
676.0	11090.0
677.0	10490.0
678.0	10730.0
679.0	10820.0
680.0	10407.0
681.0	10262.0
682.0	10665.0
683.0	10454.0
684.0	10051.0
685.0	10439.0
686.0	10497.0
687.0	10252.0
688.0	10618.0
689.0	10253.0
690.0	9810.0
691.0	10134.0
692.0	10409.0
693.0	9836.0
694.0	10290.0
695.0	9952.0
696.0	10197.0
697.0	9818.0
698.0	9929.0
699.0	10061.0
700.0	10261.0
701.0	10313.0
702.0	9917.0
703.0	9836.0
704.0	9690.0
705.0	9649.0
706.0	9867.0
707.0	9410.0
708.0	9513.0
709.0	9020.0
710.0	9384.0
711.0	9451.0
712.0	9239.0
713.0	9502.0
714.0	9383.0
715.0	9391.0
716.0	9367.0
717.0	9449.0
718.0	9531.0
719.0	9359.0
720.0	9554.0
721.0	8989.0
722.0	9178.0
723.0	9396.0
724.0	8938.0
725.0	8610.0
726.0	8810.0
727.0	8870.0
728.0	8901.0
729.0	8680.0
730.0	8828.0
731.0	9112.0
732.0	8456.0
733.0	8567.0
734.0	8723.0
735.0	8480.0
736.0	9002.0
737.0	8244.0
738.0	8415.0
739.0	8513.0
740.0	8226.0
741.0	8278.0
742.0	8180.0
743.0	8325.0
744.0	8248.0
745.0	8256.0
746.0	8517.0
747.0	8420.0
748.0	8334.0
749.0	8585.0
750.0	8689.0
751.0	8311.0
752.0	8779.0
753.0	8273.0
754.0	8761.0
755.0	8412.0
756.0	8395.0
757.0	8249.0
758.0	8082.0
759.0	8165.0
760.0	8364.0
761.0	8176.0
762.0	7947.0
763.0	7843.0
764.0	8273.0
765.0	8158.0
766.0	7606.0
767.0	7606.0
768.0	7535.0
769.0	7918.0
770.0	7646.0
771.0	7793.0
772.0	7490.0
773.0	7590.0
774.0	7498.0
775.0	7682.0
776.0	7515.0
777.0	7703.0
778.0	7336.0
779.0	7637.0
780.0	7256.0
781.0	7255.0
782.0	7230.0
783.0	7407.0
784.0	7211.0
785.0	7285.0
786.0	7529.0
787.0	7205.0
788.0	7320.0
789.0	7468.0
790.0	7564.0
791.0	7349.0
792.0	7509.0
793.0	7493.0
794.0	7486.0
795.0	7601.0
796.0	7534.0
797.0	7634.0
798.0	7345.0
799.0	7048.0
800.0	7701.0
801.0	7489.0
802.0	7577.0
803.0	7508.0
804.0	7262.0
805.0	7269.0
806.0	6900.0
807.0	7498.0
808.0	7300.0
809.0	7301.0
810.0	6888.0
811.0	7583.0
812.0	6944.0
813.0	6867.0
814.0	7012.0
815.0	7163.0
816.0	6715.0
817.0	6993.0
818.0	6928.0
