#Duplication rate	Coverage
1.0	3892500.0
2.0	2315708.0
3.0	1472684.0
4.0	1011161.0
5.0	724179.0
6.0	540134.0
7.0	410878.0
8.0	321644.0
9.0	255765.0
10.0	207669.0
11.0	170823.0
12.0	140850.0
13.0	119355.0
14.0	100822.0
15.0	86632.0
16.0	74502.0
17.0	65132.0
18.0	56723.0
19.0	49893.0
20.0	44240.0
21.0	39027.0
22.0	35509.0
23.0	31857.0
24.0	28788.0
25.0	25869.0
26.0	23873.0
27.0	21761.0
28.0	19665.0
29.0	18225.0
30.0	16416.0
31.0	15505.0
32.0	14303.0
33.0	13282.0
34.0	12245.0
35.0	11485.0
36.0	10460.0
37.0	10071.0
38.0	9426.0
39.0	8740.0
40.0	8387.0
41.0	7727.0
42.0	7384.0
43.0	6739.0
44.0	6346.0
45.0	6248.0
46.0	5990.0
47.0	5570.0
48.0	5182.0
49.0	5035.0
50.0	193528.0
