#Mapping quality	mapping quality
0.0	1357931.0
1.0	977192.0
2.0	169806.0
3.0	924832.0
4.0	8656.0
5.0	8556.0
6.0	7267.0
7.0	6833.0
8.0	6896.0
9.0	5977.0
10.0	5991.0
11.0	5827.0
12.0	5446.0
13.0	5832.0
14.0	5066.0
15.0	5602.0
16.0	4525.0
17.0	5317.0
18.0	4532.0
19.0	5418.0
20.0	4431.0
21.0	5159.0
22.0	5026.0
23.0	4576.0
24.0	5186.0
25.0	5745.0
26.0	4729.0
27.0	4137.0
28.0	6130.0
29.0	4887.0
30.0	4270.0
31.0	5527.0
32.0	5750.0
33.0	4205.0
34.0	6481.0
35.0	2832.0
36.0	6011.0
37.0	5807.0
38.0	4970.0
39.0	6312.0
40.0	3276.0
41.0	3289.0
42.0	6875.0
43.0	8098.0
44.0	5617.0
45.0	7670.0
46.0	3803.0
47.0	3460.0
48.0	4252.0
49.0	2363.0
50.0	1937.0
51.0	13802.0
52.0	6477.0
53.0	14169.0
54.0	2268.0
55.0	2897.0
56.0	3487.0
57.0	4802.0
58.0	3639.0
59.0	4518.0
60.0	2861.0
61.0	2759.0
62.0	2297.0
63.0	7325.0
64.0	11939.0
65.0	9230.0
66.0	17741.0
67.0	2111.0
68.0	2350.0
69.0	2662.0
70.0	3369.0
71.0	3941.0
72.0	3595.0
73.0	5500.0
74.0	4723.0
75.0	5349.0
76.0	2699.0
77.0	3452.0
78.0	4512.0
79.0	2877.0
80.0	2934.0
81.0	2495.0
82.0	2072.0
83.0	1746.0
84.0	1419.0
85.0	34420.0
86.0	13951.0
87.0	49682.0
88.0	1787.0
89.0	2195.0
90.0	2290.0
91.0	2822.0
92.0	3037.0
93.0	3694.0
94.0	3959.0
95.0	3210.0
96.0	4529.0
97.0	6401.0
98.0	2671.0
99.0	3341.0
100.0	2375.0
101.0	2039.0
102.0	11875.0
103.0	19367.0
104.0	1897.0
105.0	2391.0
106.0	3113.0
107.0	3525.0
108.0	2997.0
109.0	6625.0
110.0	4741.0
111.0	8236.0
112.0	2632.0
113.0	4288.0
114.0	4377.0
115.0	4941.0
116.0	3394.0
117.0	4366.0
118.0	3203.0
119.0	3803.0
120.0	3479.0
121.0	3137.0
122.0	2790.0
123.0	2466.0
124.0	2198.0
125.0	1903.0
126.0	1592.0
127.0	30439.0
128.0	49294.0
129.0	131912.0
130.0	1571.0
131.0	2021.0
132.0	2371.0
133.0	2481.0
134.0	2710.0
135.0	3026.0
136.0	3456.0
137.0	3793.0
138.0	4142.0
139.0	4091.0
140.0	4861.0
141.0	3417.0
142.0	5614.0
143.0	7306.0
144.0	3340.0
145.0	3900.0
146.0	6805.0
147.0	10286.0
148.0	3736.0
149.0	3807.0
150.0	4601.0
151.0	3798.0
152.0	2594.0
153.0	16262.0
154.0	28801.0
155.0	2792.0
156.0	3545.0
157.0	4635.0
158.0	4910.0
159.0	5750.0
160.0	11208.0
161.0	3252.0
162.0	4768.0
163.0	6627.0
164.0	3909.0
165.0	5264.0
166.0	4434.0
167.0	3381.0
168.0	2921.0
169.0	2184.0
170.0	43348.0
171.0	91732.0
172.0	2511.0
173.0	3272.0
174.0	4236.0
175.0	4463.0
176.0	5118.0
177.0	6286.0
178.0	5447.0
179.0	8667.0
180.0	5566.0
181.0	3512.0
182.0	11493.0
183.0	20220.0
184.0	4214.0
185.0	6307.0
186.0	8325.0
187.0	6626.0
188.0	5334.0
189.0	4867.0
190.0	3646.0
191.0	25300.0
192.0	67917.0
193.0	4397.0
194.0	5282.0
195.0	7686.0
196.0	9483.0
197.0	5175.0
198.0	9076.0
199.0	17646.0
200.0	7076.0
201.0	10001.0
202.0	5968.0
203.0	4769.0
204.0	75566.0
205.0	4614.0
206.0	6545.0
207.0	10355.0
208.0	7508.0
209.0	16673.0
210.0	10048.0
211.0	7668.0
212.0	14743.0
213.0	49537.0
214.0	8533.0
215.0	11013.0
216.0	16921.0
217.0	12011.0
218.0	15093.0
219.0	45002.0
220.0	11930.0
221.0	17590.0
222.0	11985.0
223.0	46227.0
224.0	12563.0
225.0	19852.0
226.0	15566.0
227.0	40767.0
228.0	21339.0
229.0	42918.0
230.0	15976.0
231.0	25142.0
232.0	41600.0
233.0	25415.0
234.0	45960.0
235.0	44098.0
236.0	28537.0
237.0	47644.0
238.0	48335.0
239.0	50781.0
240.0	51689.0
241.0	70188.0
242.0	59906.0
243.0	77847.0
244.0	90475.0
245.0	85911.0
246.0	110156.0
247.0	117127.0
248.0	138769.0
249.0	177555.0
250.0	214262.0
251.0	280458.0
252.0	417159.0
253.0	743270.0
254.0	1780885.0
255.0	4.3060175E7
