#GC Content (%)	Sample
1.0	0.0
2.0	1.351209930798459E-7
3.0	1.351209930798459E-7
4.0	2.0268148961976883E-7
5.0	2.702419861596918E-7
6.0	2.953069303760032E-4
7.0	4.4454806723269306E-4
8.0	1.9984394876509213E-4
9.0	4.4421026474999336E-4
10.0	0.0011820384474624918
11.0	5.777098059128812E-4
12.0	0.0018661560354257518
13.0	0.0026978933083287434
14.0	0.0017873804964602016
15.0	0.0011322463615125687
16.0	9.328077757267162E-4
17.0	6.247319115046675E-4
18.0	4.0326860384680007E-4
19.0	8.554510071885045E-4
20.0	0.0010687394947650412
21.0	0.0012770285055976236
22.0	0.0014993700997105101
23.0	0.0016455710142229034
24.0	0.002319351846215555
25.0	0.004574859023200883
26.0	0.006159152667062076
27.0	0.008721181816849033
28.0	0.00855856370167744
29.0	0.00984883406459689
30.0	0.010307434715109885
31.0	0.010372630594270911
32.0	0.010779006980958546
33.0	0.013053025733995813
34.0	0.010601863359030869
35.0	0.010520452960700262
36.0	0.010393709469191366
37.0	0.010651925686966952
38.0	0.011157480882575196
39.0	0.011711612075195643
40.0	0.012446264914570765
41.0	0.013117410887198361
42.0	0.014435651295685336
43.0	0.01600264945243231
44.0	0.017610589270082473
45.0	0.019487419863961533
46.0	0.021630776616690592
47.0	0.023880541151470022
48.0	0.026634509671926907
49.0	0.029723713376214884
50.0	0.033146530812416995
51.0	0.04032618477971461
52.0	0.036835131242007164
53.0	0.04368921117647889
54.0	0.0466887621018584
55.0	0.04903371937626257
56.0	0.051364826748876075
57.0	0.05037222793371153
58.0	0.050321422440313505
59.0	0.04683023378161299
60.0	0.043612394891913
61.0	0.03639429900208417
62.0	0.030413438485390954
63.0	0.022634117550804987
64.0	0.017148475473749404
65.0	0.012193723778504535
66.0	0.008997571808193858
67.0	0.006048488573729683
68.0	0.004246177207534158
69.0	0.002562029149786958
70.0	0.0014803856001827916
71.0	8.646392347179339E-4
72.0	5.543338741100678E-4
73.0	3.3597834929303684E-4
74.0	1.3741804996220326E-4
75.0	7.228973129771756E-5
76.0	2.675395662980949E-5
77.0	1.7025245128060584E-5
78.0	1.0809679446387673E-5
79.0	3.7833878062356853E-6
80.0	3.378024826996147E-7
81.0	0.0
82.0	1.351209930798459E-7
83.0	0.0
84.0	2.0268148961976886E-7
85.0	0.0
86.0	6.756049653992294E-8
87.0	0.0
88.0	0.0
89.0	0.0
90.0	6.756049653992294E-8
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.1485284411786901E-6
