Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69
HSF4_2H_3_1 - polya	(1, 0.01103528165202565)	(2, 0.01404361919859195)	(3, 0.015379087892193902)	(4, 0.016968931575053366)	(5, 0.019449087720314135)	(6, 0.0216077421430411)	(7, 0.023224083220614887)	(8, 0.024820992875398174)	(9, 0.02706620545419193)	(10, 0.030546196626673204)	(12, 0.03493239869838438)	(14, 0.039656884175948426)	(16, 0.044224151778207474)	(18, 0.04842310559393742)	(20, 0.05288526686382966)	(22, 0.05782438123857973)	(24, 0.06173274695894258)	(26, 0.06635477584361124)	(28, 0.07032673531128848)	(30, 0.07429339530002285)	(32, 0.07823797412649527)	(34, 0.08208716233199614)	(36, 0.08589925418489694)	(38, 0.0897917214684312)	(40, 0.09437135452155695)	(42, 0.09864715078195843)	(44, 0.10280105902667402)	(46, 0.10702474374413734)	(48, 0.11154696577538205)	(50, 0.1149139013970822)	(52, 0.11853962824049227)	(54, 0.12174669624741599)	(56, 0.12548371214862622)	(58, 0.12928608829013177)	(60, 0.13340996615417114)	(62, 0.13661438442162344)	(64, 0.13953174757967057)	(66, 0.14241466412458906)	(68, 0.14570210756214624)	(70, 0.148496699458017)	(72, 0.15151033648352613)	(74, 0.15447186196609713)	(76, 0.15742013875131097)	(78, 0.16021119766121983)	(80, 0.16286093713265226)	(82, 0.16586044221431379)	(84, 0.16897653583271835)	(86, 0.17203875141520378)	(88, 0.174932266918008)	(90, 0.17798653328207914)	(92, 0.18100193680056925)	(94, 0.18416395923647863)	(96, 0.18730831674257847)	(98, 0.19022303016115416)	(100, 0.19314215981218225)	(102, 0.19613283242893897)	(104, 0.1994344078103438)	(106, 0.2026273438734199)	(108, 0.20566394530768148)	(110, 0.20894167303384342)	(112, 0.21165765599206166)	(114, 0.21462271446059455)	(116, 0.2176496001834609)	(118, 0.22031788783119335)	(120, 0.22335537251194543)	(122, 0.2264361362707309)	(124, 0.22953191521985444)	(126, 0.23288206915823553)	(128, 0.23630199956936435)	(130, 0.23927235751684012)
HSF4_2H_3_2 - polya	(1, 0.00891019059593683)	(2, 0.011628823293626517)	(3, 0.01281237359086634)	(4, 0.014370420400068617)	(5, 0.016672160754252933)	(6, 0.01852521189127469)	(7, 0.019998467037391127)	(8, 0.02161834110092683)	(9, 0.023761097086825198)	(10, 0.0270556064963062)	(12, 0.031367615862817264)	(14, 0.035608082263599655)	(16, 0.03992274136958214)	(18, 0.043952111859140414)	(20, 0.04825263902127527)	(22, 0.052789876242858094)	(24, 0.056415603086268154)	(26, 0.060743510889607805)	(28, 0.0644858262697609)	(30, 0.06850018156898105)	(32, 0.07235820223938669)	(34, 0.07603957361169683)	(36, 0.07967236642703071)	(38, 0.08328572781957408)	(40, 0.08755357486156126)	(42, 0.09151935160380516)	(44, 0.09545068173292043)	(46, 0.09949330091983585)	(48, 0.10384240663894698)	(50, 0.10700177933538493)	(52, 0.11036253223165174)	(54, 0.1135060064912611)	(56, 0.11694183533921851)	(58, 0.12048542025901415)	(60, 0.124393785979377)	(62, 0.1275169455697054)	(64, 0.13037424796640001)	(66, 0.1332421493209804)	(68, 0.1364130042217946)	(70, 0.13903447980553174)	(72, 0.1417230821225452)	(74, 0.144634262555159)	(76, 0.1474376869159345)	(78, 0.15032943592575776)	(80, 0.1529800586436807)	(82, 0.15582411234301818)	(84, 0.15888014520007027)	(86, 0.16169063553276958)	(88, 0.16453115624614517)	(90, 0.16747060056645424)	(92, 0.1704418417604205)	(94, 0.17347137722275824)	(96, 0.1765680394183723)	(98, 0.17940679363876694)	(100, 0.1821616394425662)	(102, 0.18520883983471348)	(104, 0.18852454715996597)	(106, 0.1917978586536755)	(108, 0.1948759726729895)	(110, 0.1981289694974181)	(112, 0.20086438387842684)	(114, 0.20374465068387393)	(116, 0.20666819656735436)	(118, 0.20933295122912493)	(120, 0.21218318765389577)	(122, 0.21501929213481896)	(124, 0.2180921066751901)	(126, 0.22140163127500923)	(128, 0.22477298312916177)	(130, 0.22780163534500908)
HSF4_4H_1_1 - polya	(1, 0.008194386291741119)	(2, 0.01060114242339947)	(3, 0.011681804465124325)	(4, 0.01324381773318085)	(5, 0.01509121710380556)	(6, 0.016451557526047236)	(7, 0.017577881344183)	(8, 0.019008617005058164)	(9, 0.020686687288159086)	(10, 0.023415929715719486)	(12, 0.026555176843969505)	(14, 0.029363376093240433)	(16, 0.032516892526618865)	(18, 0.03576553766085336)	(20, 0.03889432063200921)	(22, 0.04227995109547643)	(24, 0.04540873406663229)	(26, 0.04822264103795458)	(28, 0.051745256830654535)	(30, 0.05531638826079107)	(32, 0.05836526312322783)	(34, 0.06145218946600702)	(36, 0.06436978672126242)	(38, 0.0674500540549817)	(40, 0.07093176450631353)	(42, 0.07439254664345704)	(44, 0.07734629280503774)	(46, 0.08037423935328616)	(48, 0.08391968603419159)	(50, 0.08688675021389212)	(52, 0.0898728401337639)	(54, 0.09277616808389089)	(56, 0.0959515641184662)	(58, 0.09907083421953645)	(60, 0.10212446551701602)	(62, 0.1054891676662949)	(64, 0.10830307463761721)	(66, 0.11113505606210215)	(68, 0.11457966632010012)	(70, 0.1174592120950131)	(72, 0.12050618438343275)	(74, 0.12333150679885777)	(76, 0.12605979793940958)	(78, 0.12922758367791642)	(80, 0.13209190886069244)	(82, 0.13529489221851604)	(84, 0.13839989301445788)	(86, 0.14158765578014448)	(88, 0.14483534962737044)	(90, 0.14789944508194414)	(92, 0.15086936312267038)	(94, 0.15404190529622003)	(96, 0.1572134961827611)	(98, 0.16048972864024386)	(100, 0.163418741339602)	(102, 0.16646000590597027)	(104, 0.16986371082260013)	(106, 0.1729154395460626)	(108, 0.17617359755038267)	(110, 0.1797209468053052)	(112, 0.18273367276141667)	(114, 0.18587672503770092)	(116, 0.18909017255261867)	(118, 0.1918527100254787)	(120, 0.19497388270056606)	(122, 0.19817591477138108)	(124, 0.20147688069108644)	(126, 0.2050280350940432)	(128, 0.20879513164794322)	(130, 0.2120999027156828)
HSF4_4H_1_2 - polya	(1, 0.006579100951205198)	(2, 0.009107621819959307)	(3, 0.010180673565615677)	(4, 0.011546721709908718)	(5, 0.013266648621386306)	(6, 0.01459464528533692)	(7, 0.01574189741766102)	(8, 0.017052770915457545)	(9, 0.018578635277188768)	(10, 0.02118611296765341)	(12, 0.02421596208991896)	(14, 0.026900494028077006)	(16, 0.02984092217153786)	(18, 0.032908822774145835)	(20, 0.0359358180353857)	(22, 0.03898754675884815)	(24, 0.04196507509564287)	(26, 0.044584919517218796)	(28, 0.04784212623453034)	(30, 0.051070794341585055)	(32, 0.05404261495632841)	(34, 0.057182813371586996)	(36, 0.0599434482704299)	(38, 0.06285438651662537)	(40, 0.0661553524363307)	(42, 0.06941351044065079)	(44, 0.07244906728496771)	(46, 0.07539425186347136)	(48, 0.07865050729377435)	(50, 0.08157095841005543)	(52, 0.08449426338736218)	(54, 0.08758118973014137)	(56, 0.09061769786146685)	(58, 0.09370367291723748)	(60, 0.09658892641420182)	(62, 0.09981569194723941)	(64, 0.10261342703941617)	(66, 0.10554434231279142)	(68, 0.10898800128378085)	(70, 0.11176861320980352)	(72, 0.11460535106933126)	(74, 0.1175362663427065)	(76, 0.12024553174308714)	(78, 0.12335528897407178)	(80, 0.12617680624146255)	(82, 0.1292409016960363)	(84, 0.13226599438325903)	(86, 0.13549180862928806)	(88, 0.13849216785428825)	(90, 0.14152677341159658)	(92, 0.14481061616514784)	(94, 0.14790800666502119)	(96, 0.15099112785976615)	(98, 0.15402668470408304)	(100, 0.15696901542156103)	(102, 0.15985236634450825)	(104, 0.16308198573857152)	(106, 0.16622884316289005)	(108, 0.1693500158379774)	(110, 0.17275372075460727)	(112, 0.17576739799772728)	(114, 0.17877441623178741)	(116, 0.1819840585986709)	(118, 0.18476371923768503)	(120, 0.1877593220276424)	(122, 0.19094327964529476)	(124, 0.1942195121027775)	(126, 0.19775259205257162)	(128, 0.20136082367604202)	(130, 0.2044629706109582)
HSF4_4H_2_1 - polya	(1, 0.008965031074402626)	(2, 0.011658037808065834)	(3, 0.012769437412434777)	(4, 0.014296640365291402)	(5, 0.01637565710772981)	(6, 0.017862056928258204)	(7, 0.019045347765776887)	(8, 0.02061723986356443)	(9, 0.022579676227922178)	(10, 0.02561270906432064)	(12, 0.029375340766873887)	(14, 0.03284749302737616)	(16, 0.036330331822535825)	(18, 0.03972670683728567)	(20, 0.043155141456007705)	(22, 0.046900286101848855)	(24, 0.05008584493290284)	(26, 0.0535793702627199)	(28, 0.05697380227116841)	(30, 0.06034006068824742)	(32, 0.063689803551765)	(34, 0.0670988081074736)	(36, 0.07010269584935189)	(38, 0.07324065102602294)	(40, 0.07684395621186595)	(42, 0.08031805147866958)	(44, 0.08352595488218903)	(46, 0.08682809409132367)	(48, 0.09031967641483939)	(50, 0.09311177646987115)	(52, 0.09624390262763817)	(54, 0.0990583472551354)	(56, 0.10216424282783428)	(58, 0.10511275489012425)	(60, 0.10815064524227608)	(62, 0.11107389822264858)	(64, 0.11357357582932803)	(66, 0.11617040375107471)	(68, 0.11911891581336469)	(70, 0.12160110636333205)	(72, 0.1241386725928877)	(74, 0.1267481300555931)	(76, 0.12932455641117563)	(78, 0.13224003736634277)	(80, 0.134876696917267)	(82, 0.13750461293983518)	(84, 0.14021996424596384)	(86, 0.14298777672222882)	(88, 0.14583719546315022)	(90, 0.14856129029763496)	(92, 0.1513747634219815)	(94, 0.15409205773441154)	(96, 0.15697256457615444)	(98, 0.15969374490118715)	(100, 0.1622322826338935)	(102, 0.16503118321097998)	(104, 0.16820897001682855)	(106, 0.1712497748784324)	(108, 0.17430223777784432)	(110, 0.17746739504273418)	(112, 0.1801001685810557)	(114, 0.1829058696801969)	(116, 0.18569602672892732)	(118, 0.1882122198891682)	(120, 0.1910451230765282)	(122, 0.1938041920244371)	(124, 0.19652440084631914)	(126, 0.1996487549788808)	(128, 0.20308593312595885)	(130, 0.2059100927849628)
HSF4_4H_2_2 - polya	(1, 0.00791969368427939)	(2, 0.010527208140683449)	(3, 0.011545343442587865)	(4, 0.013023971237910882)	(5, 0.015060241841719715)	(6, 0.01655635669375483)	(7, 0.0177435335438762)	(8, 0.019257135452623416)	(9, 0.021163224634242177)	(10, 0.023939780638863192)	(12, 0.027470223088405795)	(14, 0.030721844133705493)	(16, 0.034040498896401566)	(18, 0.03715028048170313)	(20, 0.04040093002385215)	(22, 0.04396731808996962)	(24, 0.04694788975623179)	(26, 0.050239342430709044)	(28, 0.05353370961463831)	(30, 0.05680573222610212)	(32, 0.06007289732181258)	(34, 0.06345081377669964)	(36, 0.0665295072611797)	(38, 0.06935075241073163)	(40, 0.0727675289916456)	(42, 0.07614253093708065)	(44, 0.07928145761690239)	(46, 0.08257873931028367)	(48, 0.08607226464010073)	(50, 0.08884202012266704)	(52, 0.0917458430400261)	(54, 0.09466132399519324)	(56, 0.09781579472542572)	(58, 0.10098483800291827)	(60, 0.1039566661408244)	(62, 0.10677402527777363)	(64, 0.10934073660184947)	(66, 0.11187053080619976)	(68, 0.11467817491164228)	(70, 0.11703407005202224)	(72, 0.11954249118705773)	(74, 0.12214417662455777)	(76, 0.12465356926274394)	(78, 0.1274009801728448)	(80, 0.13003181070486497)	(82, 0.13273161796058291)	(84, 0.13540422312808198)	(86, 0.13817397861064828)	(88, 0.14096024964677603)	(90, 0.14368628748756207)	(92, 0.14650558963081267)	(94, 0.1492996326921458)	(96, 0.15208881823772552)	(98, 0.15461666943577448)	(100, 0.15712314756450863)	(102, 0.1598171258013225)	(104, 0.1628462726251183)	(106, 0.16580838573151768)	(108, 0.16869180708271264)	(110, 0.17177147207034335)	(112, 0.17438870155825414)	(114, 0.17709142332342406)	(116, 0.17988643788790784)	(118, 0.1824560637214357)	(120, 0.18512186836688008)	(122, 0.18775075589259893)	(124, 0.19065652181625933)	(126, 0.1937488163448488)	(128, 0.19699849438384714)	(130, 0.19981099600504304)
HSF4_4H_3_1 - polya	(1, 0.00982230709165903)	(2, 0.012374667342056465)	(3, 0.01345630781402367)	(4, 0.01476750507680406)	(5, 0.016767372712024)	(6, 0.01830618136908526)	(7, 0.019576525304687033)	(8, 0.02095581144609845)	(9, 0.022667760394535753)	(10, 0.025338789833404412)	(12, 0.02844364269897934)	(14, 0.03156114064201432)	(16, 0.03500838329727671)	(18, 0.0385402507016948)	(20, 0.04200305652921571)	(22, 0.045534923933633814)	(24, 0.04867090314372578)	(26, 0.0520004493087831)	(28, 0.05545839164497322)	(30, 0.05888520763664631)	(32, 0.062128183656015606)	(34, 0.06530307079675388)	(36, 0.06835928874902093)	(38, 0.07151764001923452)	(40, 0.0748919303045351)	(42, 0.0782380123401171)	(44, 0.08125045887040706)	(46, 0.08428527746081865)	(48, 0.08781228137390595)	(50, 0.0905407000104779)	(52, 0.09350451162745999)	(54, 0.09631463691838918)	(56, 0.09943797105102109)	(58, 0.10243193631425407)	(60, 0.10555235235208751)	(62, 0.1084704471505602)	(64, 0.11108603278825788)	(66, 0.11375706222712653)	(68, 0.11690082302334776)	(70, 0.11926156171531214)	(72, 0.12189076512873603)	(74, 0.12465420090288966)	(76, 0.1272999401868382)	(78, 0.1302793149760788)	(80, 0.13281805745075004)	(82, 0.13554744878558816)	(84, 0.1382350140949815)	(86, 0.14107432033389541)	(88, 0.14396907037398032)	(90, 0.14687549279325907)	(92, 0.14984027710850734)	(94, 0.15273697254512453)	(96, 0.15573288320488982)	(98, 0.15856538055594066)	(100, 0.16127920871852025)	(102, 0.16430040953320563)	(104, 0.16749961413059783)	(106, 0.1705208149452832)	(108, 0.17363150400045507)	(110, 0.17680347304639488)	(112, 0.17958052659627471)	(114, 0.1824315052143825)	(116, 0.1852640025654333)	(118, 0.18784165297075084)	(120, 0.19069749508018943)	(122, 0.19353582862083718)	(124, 0.1965083945222147)	(126, 0.19975137054158398)	(128, 0.2030906436893029)	(130, 0.20599803880684786)
HSF4_4H_3_2 - polya	(1, 0.00767069852691851)	(2, 0.01022500417384826)	(3, 0.011252173542910643)	(4, 0.012742347286664023)	(5, 0.014639108905671263)	(6, 0.016148736614747795)	(7, 0.017384063412767894)	(8, 0.01882754763974571)	(9, 0.020424718192776425)	(10, 0.023045167321804887)	(12, 0.026222972557341635)	(14, 0.029273354320011737)	(16, 0.03258733731281054)	(18, 0.0359275831587956)	(20, 0.03930187344409617)	(22, 0.043051625260133564)	(24, 0.04613994225518381)	(26, 0.04930510241326051)	(28, 0.05257045049275143)	(30, 0.05583677127050851)	(32, 0.059088501574273235)	(34, 0.06225755252541456)	(36, 0.06510464035045774)	(38, 0.06815794020792632)	(40, 0.07157600191520397)	(42, 0.0749123569681244)	(44, 0.07798705618744844)	(46, 0.08095962208882596)	(48, 0.08421427048738914)	(50, 0.08694560721875957)	(52, 0.08984813884497372)	(54, 0.09256488510235178)	(56, 0.09555398687425395)	(58, 0.09845846389700044)	(60, 0.10156915295217231)	(62, 0.10441429538068317)	(64, 0.10702696292358238)	(66, 0.10972911870696808)	(68, 0.11266569477249774)	(70, 0.11523459089341986)	(72, 0.11791145652188545)	(74, 0.1206379297619251)	(76, 0.123174726840064)	(78, 0.12591870864889448)	(80, 0.12853915777792294)	(82, 0.13115571611388677)	(84, 0.13385398110420785)	(86, 0.13669134194658944)	(88, 0.13941100629876596)	(90, 0.14218416905558118)	(92, 0.14507016481127066)	(94, 0.14792989771377388)	(96, 0.15077017665095396)	(98, 0.15340132546091015)	(100, 0.15595660380610607)	(102, 0.15859747959872383)	(104, 0.16153113756945503)	(106, 0.1643120819123995)	(108, 0.16729048400337393)	(110, 0.17030876672326084)	(112, 0.1728971168095061)	(114, 0.17568584273857984)	(116, 0.17859129245959246)	(118, 0.18102401082325253)	(120, 0.1837611837442199)	(122, 0.18655769125942287)	(124, 0.18952539366946958)	(126, 0.1925709119408089)	(128, 0.19594228413131098)	(130, 0.19864541261296287)
HSF4_6H_1_1 - polya	(1, 0.012469675724286746)	(2, 0.015118346952838948)	(3, 0.016247288787959557)	(4, 0.017861754559163508)	(5, 0.01974266639285222)	(6, 0.021122264894162197)	(7, 0.022302522267242834)	(8, 0.023751199377345156)	(9, 0.025478164597153782)	(10, 0.02825216415880067)	(12, 0.031355767368113886)	(14, 0.03414358265151924)	(16, 0.03741692187100794)	(18, 0.040798813190027455)	(20, 0.04398827124169688)	(22, 0.04732082069729329)	(24, 0.0504974498644727)	(26, 0.053322764964079616)	(28, 0.05674709028564301)	(30, 0.06028194138127416)	(32, 0.06341416287137278)	(34, 0.06672401506979456)	(36, 0.06978123692749005)	(38, 0.07283253776157479)	(40, 0.0763160733192459)	(42, 0.07970881984821851)	(44, 0.08262492397652393)	(46, 0.08579661895736103)	(48, 0.08935614098470372)	(50, 0.09225941622851913)	(52, 0.09542025599940315)	(54, 0.09848537255524636)	(56, 0.10158305474094881)	(58, 0.10483270986599441)	(60, 0.1078613134429045)	(62, 0.11111294224248704)	(64, 0.1140329937198663)	(66, 0.11699350552525253)	(68, 0.12067046118754221)	(70, 0.12355696019779377)	(72, 0.12660234000826773)	(74, 0.1294444313414385)	(76, 0.1322263256012331)	(78, 0.13552137524062793)	(80, 0.13861511007725652)	(82, 0.1417670683127244)	(84, 0.14486277682388993)	(86, 0.14812526083342553)	(88, 0.15129202162792033)	(90, 0.15445582191060972)	(92, 0.15777948983079)	(94, 0.16085250108478086)	(96, 0.1639610384804364)	(98, 0.1670774705742396)	(100, 0.16993041711736345)	(102, 0.17300836255769667)	(104, 0.17655012151420707)	(106, 0.17968530351611106)	(108, 0.18280173560991428)	(110, 0.18652803313562707)	(112, 0.1893474272116232)	(114, 0.19259017447578958)	(116, 0.19579739559829132)	(118, 0.19862369753516668)	(120, 0.2016049329231906)	(122, 0.20478156209037002)	(124, 0.20807661172976488)	(126, 0.211547318402946)	(128, 0.21522526090250413)	(130, 0.21848478440023436)
HSF4_6H_1_2 - polya	(1, 0.009444032659182032)	(2, 0.011964415042834166)	(3, 0.013160461812210197)	(4, 0.01476703288526645)	(5, 0.016626234299048994)	(6, 0.017988069729526653)	(7, 0.019174248126218065)	(8, 0.020472925971514153)	(9, 0.02191962940707955)	(10, 0.02447553793239632)	(12, 0.02747749690305794)	(14, 0.030150839063321694)	(16, 0.033137008637687926)	(18, 0.03630771678125656)	(20, 0.03945276715584519)	(22, 0.04256229138876918)	(24, 0.045595829152021594)	(26, 0.04831259215209767)	(28, 0.051653036305841796)	(30, 0.055042822323009014)	(32, 0.05813260981056376)	(34, 0.06133588358399164)	(36, 0.06429738222664633)	(38, 0.06719374960958249)	(40, 0.07049965445893044)	(42, 0.07381740135549994)	(44, 0.07672067659931536)	(46, 0.07988941106834707)	(48, 0.08329992066815199)	(50, 0.08619530121381971)	(52, 0.08920614171989749)	(54, 0.0921952718060691)	(56, 0.09530676971353003)	(58, 0.09831070235872857)	(60, 0.101213977602544)	(62, 0.10436494900074339)	(64, 0.1070155939038325)	(66, 0.10981722490899634)	(68, 0.11336194437731209)	(70, 0.11613594393895899)	(72, 0.11900369304110978)	(74, 0.12197308638191215)	(76, 0.12485761171762677)	(78, 0.12806384600286005)	(80, 0.13099573952746085)	(82, 0.13406085608330406)	(84, 0.13721281431877191)	(86, 0.1404841798637237)	(88, 0.1436006119575269)	(90, 0.1466430312561955)	(92, 0.14988084433401955)	(94, 0.152965697635232)	(96, 0.1560258800047329)	(98, 0.15907323348974375)	(100, 0.16178407546620907)	(102, 0.16485017885932074)	(104, 0.1681136497061248)	(106, 0.1711866609601157)	(108, 0.17430111937938197)	(110, 0.17793366736459088)	(112, 0.18096819196511177)	(114, 0.18418725513483503)	(116, 0.18755335705755916)	(118, 0.1903362381546222)	(120, 0.19325628963200148)	(122, 0.19634311660775083)	(124, 0.19936875967285556)	(126, 0.20276742722543895)	(128, 0.20624997594584157)	(130, 0.20931805301349016)
HSF4_6H_2_1 - polya	(1, 0.008684115433264583)	(2, 0.011164751885288423)	(3, 0.012233275653816196)	(4, 0.01374922015227521)	(5, 0.015623856375151672)	(6, 0.01695667930903967)	(7, 0.01822153960040647)	(8, 0.019531708320120734)	(9, 0.021087297693383782)	(10, 0.02379447628714496)	(12, 0.02687922511713503)	(14, 0.029659085981370268)	(16, 0.03279858249561353)	(18, 0.036263733338604213)	(20, 0.039318276549695975)	(22, 0.04235299732338572)	(24, 0.04516400773210984)	(26, 0.047904223721541045)	(28, 0.05099935573302741)	(30, 0.054291768192943374)	(32, 0.05732460111545197)	(34, 0.06037253684740973)	(36, 0.06318165940495271)	(38, 0.06622298765777646)	(40, 0.06954843751336245)	(42, 0.07272852282800031)	(44, 0.07557445848357561)	(46, 0.07857047830805189)	(48, 0.08185345151206214)	(50, 0.08481643394086838)	(52, 0.08778224814644636)	(54, 0.09071219317958258)	(56, 0.09379788593516322)	(58, 0.09672311134034658)	(60, 0.09958320587978046)	(62, 0.10273119772433888)	(64, 0.10537041367557885)	(66, 0.10807476049256831)	(68, 0.11133979911035768)	(70, 0.11401771601081112)	(72, 0.11690046476441873)	(74, 0.11976622285739605)	(76, 0.12250360707005553)	(78, 0.1255921316024079)	(80, 0.12831630085679935)	(82, 0.13121981597339957)	(84, 0.13421300402110414)	(86, 0.13732607061881136)	(88, 0.14024846424722304)	(90, 0.14318407283390266)	(92, 0.1463320646784611)	(94, 0.14939038359191514)	(96, 0.15243359969592002)	(98, 0.15539469427354513)	(100, 0.15808677005785715)	(102, 0.16105824781697856)	(104, 0.16418830507531612)	(106, 0.16709087626632574)	(108, 0.17011993348647203)	(110, 0.17368325259088224)	(112, 0.1765508985350407)	(114, 0.17956579687132843)	(116, 0.182552377439899)	(118, 0.185231238265943)	(120, 0.18819327676915867)	(122, 0.19115814704914608)	(124, 0.19444395202992804)	(126, 0.1978722897748864)	(128, 0.2016187304438676)	(130, 0.20471480638094453)
HSF4_6H_2_2 - polya	(1, 0.006960507304879678)	(2, 0.009335424090759428)	(3, 0.010381293645113466)	(4, 0.011763200709711222)	(5, 0.013554771480617327)	(6, 0.014761108385368647)	(7, 0.015848510665707864)	(8, 0.017092604594082073)	(9, 0.018510380831121574)	(10, 0.020911727533537344)	(12, 0.023710466909584033)	(14, 0.026470505336417254)	(16, 0.02949106722624841)	(18, 0.032600358121593356)	(20, 0.035693602281898586)	(22, 0.038666023966610556)	(24, 0.04137509041155288)	(26, 0.044053007312006315)	(28, 0.047174569240028705)	(30, 0.05024799096293191)	(32, 0.05315811355866612)	(34, 0.05615507730873297)	(36, 0.05891417180997562)	(38, 0.06171196726043173)	(40, 0.06489016472388845)	(42, 0.06814198838340982)	(44, 0.07086049408425786)	(46, 0.07366489701384799)	(48, 0.0769148328221882)	(50, 0.07972584323091231)	(52, 0.08247455455065866)	(54, 0.08523836867985418)	(56, 0.088202295034251)	(58, 0.09108881949022091)	(60, 0.09382525977728981)	(62, 0.09687319550924757)	(64, 0.09961529934985992)	(66, 0.10235362748810999)	(68, 0.10561961003148992)	(70, 0.10822767643824102)	(72, 0.11104529432609914)	(74, 0.11375058506867919)	(76, 0.1164832496533858)	(78, 0.11947926947786208)	(80, 0.12212698075941722)	(82, 0.12497763604294537)	(84, 0.12778675860048833)	(86, 0.1308082644159101)	(88, 0.13372971411873114)	(90, 0.13668797691958454)	(92, 0.13964152009248507)	(94, 0.142561081944125)	(96, 0.14532678392450166)	(98, 0.14825200932968502)	(100, 0.15090255238801187)	(102, 0.15378813291839122)	(104, 0.156895535962555)	(106, 0.1598188735165572)	(108, 0.16280356623394665)	(110, 0.16607049270291713)	(112, 0.1688229797250258)	(114, 0.1718114481447775)	(116, 0.17475838383854403)	(118, 0.17747122598584864)	(120, 0.18041061027489058)	(122, 0.18338397588519312)	(124, 0.1861827152612398)	(126, 0.18953081933099952)	(128, 0.19308941880745686)	(130, 0.1961694480094941)
HSF4_6H_3_1 - polya	(1, 0.012489243847073925)	(2, 0.014916029020467817)	(3, 0.01596916220892177)	(4, 0.017416075633058508)	(5, 0.01914504559810291)	(6, 0.020348364736910297)	(7, 0.02139783485340441)	(8, 0.022696393863167633)	(9, 0.024123160391525247)	(10, 0.026604891644316737)	(12, 0.02952435999630909)	(14, 0.032064700400458016)	(16, 0.035083987463356)	(18, 0.03803917076695679)	(20, 0.04099710137452746)	(22, 0.043823161391543894)	(24, 0.046482551634387616)	(26, 0.049006408214717266)	(28, 0.05192496079871965)	(30, 0.05493234287774816)	(32, 0.05768147838360796)	(34, 0.06050387532866455)	(36, 0.06306527839658256)	(38, 0.06563126030445036)	(40, 0.06866611542317766)	(42, 0.07168631825406561)	(44, 0.0744061491842467)	(46, 0.07708751785884946)	(48, 0.08019563441677356)	(50, 0.08291729688293456)	(52, 0.08556844521386864)	(54, 0.08819578357706376)	(56, 0.09100444400227095)	(58, 0.09368489690888376)	(60, 0.09631131950408892)	(62, 0.09917950484864352)	(64, 0.10155500701459966)	(66, 0.10404040133935098)	(68, 0.10711280294566664)	(70, 0.10955607194287982)	(72, 0.1121476953544665)	(74, 0.11480342252535038)	(76, 0.11741152976075635)	(78, 0.1202485789936523)	(80, 0.12283196049332934)	(82, 0.12548402459225338)	(84, 0.12805183803610112)	(86, 0.13092093914864567)	(88, 0.13377080913340106)	(90, 0.13640822094448574)	(92, 0.1391674298982351)	(94, 0.1419238915480146)	(96, 0.14453566185538036)	(98, 0.14720787285008352)	(100, 0.14973539250237303)	(102, 0.15235357318566856)	(104, 0.15525747348183158)	(106, 0.1579763886440227)	(108, 0.16073468182978212)	(110, 0.1637768630924291)	(112, 0.16631720349657803)	(114, 0.16905351825057838)	(116, 0.17177792802070924)	(118, 0.17419463974621358)	(120, 0.17695568023594288)	(122, 0.17974419376537093)	(124, 0.18262794716575487)	(126, 0.18577269444327735)	(128, 0.18908227995899263)	(130, 0.19187445656038055)
