Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
HSF4_4H_1_1	(1.0, 14.257116160548748)	(2.0, 9.46104769131381)	(3.0, 6.908914016691996)	(4.0, 5.208724710749711)	(5.0, 4.047056990678291)	(6.0, 3.226493133160884)	(7.0, 2.601820882780139)	(8.0, 2.159802767627497)	(9.0, 1.859163086817782)	('>10', 19.872785671093826)	('>50', 6.172534418254489)	('>100', 11.967599348119009)	('>500', 3.359199365632094)	('>1k', 4.9905274634281644)	('>5k', 1.307872920889594)	('>10k+', 2.599341372213729)
HSF4_4H_1_2	(1.0, 14.361469945579767)	(2.0, 9.613312797673283)	(3.0, 6.855445955137434)	(4.0, 5.196364587117367)	(5.0, 4.054054110027109)	(6.0, 3.148343659404885)	(7.0, 2.5786244503817506)	(8.0, 2.1401607114108883)	(9.0, 1.8203335100502256)	('>10', 19.894118411033528)	('>50', 6.01688813332554)	('>100', 12.053363148220924)	('>500', 3.3618621795223893)	('>1k', 4.955963357729908)	('>5k', 1.2340587594785173)	('>10k+', 2.715636283906592)
HSF4_4H_2_1	(1.0, 14.315826854032151)	(2.0, 9.765805759228098)	(3.0, 6.9075516015739025)	(4.0, 5.011404449691962)	(5.0, 3.7298585386532803)	(6.0, 2.9534113667185955)	(7.0, 2.363323785741409)	(8.0, 2.1097890323555624)	(9.0, 1.7399555893737337)	('>10', 18.593639187723767)	('>50', 6.022074320320669)	('>100', 11.589472115285728)	('>500', 3.528041877248702)	('>1k', 5.733434443857548)	('>5k', 1.8990379311801486)	('>10k+', 3.7373731470145195)
HSF4_4H_2_2	(1.0, 14.415626242852719)	(2.0, 9.63911752140627)	(3.0, 6.870428918969633)	(4.0, 4.970540237009109)	(5.0, 3.801675256209922)	(6.0, 3.029106363782553)	(7.0, 2.389245392763212)	(8.0, 2.022522174587757)	(9.0, 1.6888329655502285)	('>10', 18.638332224732462)	('>50', 5.952345476134778)	('>100', 11.59983484454392)	('>500', 3.4374317390564215)	('>1k', 5.752398786795494)	('>5k', 1.8725129937408467)	('>10k+', 3.9200488618644926)
HSF4_4H_3_1	(1.0, 14.775523792209217)	(2.0, 9.736031766877804)	(3.0, 7.22969686123895)	(4.0, 5.38935696505199)	(5.0, 3.9952078579814225)	(6.0, 3.2502984640289507)	(7.0, 2.694548593852946)	(8.0, 2.2321549050161362)	(9.0, 1.7863404392275795)	('>10', 19.813162645147525)	('>50', 6.289880513399777)	('>100', 11.963956790791036)	('>500', 3.272135103555275)	('>1k', 4.462848530973932)	('>5k', 1.1075495587715385)	('>10k+', 2.0013072118761452)
HSF4_4H_3_2	(1.0, 14.587964697901779)	(2.0, 9.88487338598266)	(3.0, 7.195208345201269)	(4.0, 5.452827168530532)	(5.0, 4.0479932618783545)	(6.0, 3.2087090138511)	(7.0, 2.6924026895351583)	(8.0, 2.17215699904935)	(9.0, 1.8666849633091578)	('>10', 19.756158901923428)	('>50', 6.122184690971999)	('>100', 12.05519283354835)	('>500', 3.314937052545644)	('>1k', 4.391614157904333)	('>5k', 1.0812751507805312)	('>10k+', 2.169816687086489)
HSF4_6H_1_1	(1.0, 13.124540779027619)	(2.0, 9.077014825525206)	(3.0, 6.583268069765466)	(4.0, 4.7187454208628274)	(5.0, 3.698858126267416)	(6.0, 3.1139241637304544)	(7.0, 2.365003895047132)	(8.0, 2.0690327023413286)	(9.0, 1.7799787969693657)	('>10', 19.45340560463116)	('>50', 6.385238922921792)	('>100', 13.47477531867661)	('>500', 3.7981272710042537)	('>1k', 5.386652186332668)	('>5k', 1.5764897671344522)	('>10k+', 3.394944149762227)
HSF4_6H_1_2	(1.0, 13.133864996402409)	(2.0, 9.011832600618146)	(3.0, 6.435708825313542)	(4.0, 4.881230627442323)	(5.0, 3.7959927478091253)	(6.0, 3.0332003511966876)	(7.0, 2.4342496130055324)	(8.0, 2.0900137116746005)	(9.0, 1.7286983992363318)	('>10', 19.549264144994112)	('>50', 6.290346505324938)	('>100', 13.419228856849081)	('>500', 3.8210117922738887)	('>1k', 5.310811082264375)	('>5k', 1.445234719542445)	('>10k+', 3.619311026052347)
HSF4_6H_2_1	(1.0, 13.829810802397304)	(2.0, 8.976331174330452)	(3.0, 6.6866943833041494)	(4.0, 4.968629607192891)	(5.0, 4.092132929160205)	(6.0, 3.203862171391003)	(7.0, 2.4775505669149793)	(8.0, 2.078106434179571)	(9.0, 1.8571614288761256)	('>10', 20.268168970036402)	('>50', 6.539441977216636)	('>100', 13.543768924292626)	('>500', 3.712209781185734)	('>1k', 4.643540335511037)	('>5k', 1.1113747589863558)	('>10k+', 2.0112157550244114)
HSF4_6H_2_2	(1.0, 13.89159449457418)	(2.0, 9.064070179339813)	(3.0, 6.737296547387822)	(4.0, 5.069605086441918)	(5.0, 4.006487092821138)	(6.0, 3.1564712135453816)	(7.0, 2.651140498490714)	(8.0, 2.2113765136138426)	(9.0, 1.8629403748578737)	('>10', 20.121402078591835)	('>50', 6.395211371031041)	('>100', 13.362275820392936)	('>500', 3.679194953916317)	('>1k', 4.597259978797967)	('>5k', 1.1313390450816643)	('>10k+', 2.06233475111537)
HSF4_6H_3_1	(1.0, 13.915946252679879)	(2.0, 9.492615934410606)	(3.0, 7.116789263351777)	(4.0, 5.284861286551777)	(5.0, 4.104728905752972)	(6.0, 3.374410041813448)	(7.0, 2.812645475179639)	(8.0, 2.3073067060207157)	(9.0, 1.9876696325800782)	('>10', 21.12543482555193)	('>50', 6.414972619625744)	('>100', 12.76334938541168)	('>500', 3.3070474805455414)	('>1k', 3.847963196263968)	('>5k', 0.838016472218972)	('>10k+', 1.3062425220412197)
HSF4_6H_3_2	(1.0, 13.747797938851992)	(2.0, 9.531829301416327)	(3.0, 7.154754667636346)	(4.0, 5.351753057313123)	(5.0, 4.175981569961499)	(6.0, 3.507310273138909)	(7.0, 2.7111006060226317)	(8.0, 2.3293967033531753)	(9.0, 1.9549419945688047)	('>10', 20.980929899902907)	('>50', 6.454431723553529)	('>100', 12.771892858830006)	('>500', 3.2850808699817686)	('>1k', 3.8644677346157104)	('>5k', 0.8026683615248199)	('>10k+', 1.3756624393285222)
