Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
HSF4_4H_1_1	(25, 7.0)	(30, 11.0)	(35, 774.0)	(40, 3889.0)	(45, 3920.0)	(50, 3968.0)	(55, 3683.0)	(60, 3899.0)	(65, 4181.0)	(70, 5025.0)	(75, 5858.0)	(80, 7358.0)	(85, 9193.0)	(90, 11234.0)	(95, 14525.0)	(100, 19016.0)	(105, 23419.0)	(110, 29553.0)	(115, 37940.0)	(120, 49300.0)	(125, 66428.0)	(130, 94839.0)	(135, 166978.0)	(140, 51995375.0)
HSF4_4H_1_2	(25, 11.0)	(30, 12.0)	(35, 781.0)	(40, 3888.0)	(45, 3921.0)	(50, 3983.0)	(55, 3683.0)	(60, 3917.0)	(65, 4200.0)	(70, 5058.0)	(75, 5880.0)	(80, 7438.0)	(85, 9316.0)	(90, 11441.0)	(95, 14832.0)	(100, 19408.0)	(105, 24162.0)	(110, 30765.0)	(115, 40146.0)	(120, 53577.0)	(125, 75219.0)	(130, 115967.0)	(135, 210692.0)	(140, 51912076.0)
HSF4_4H_2_1	(25, 11.0)	(30, 6.0)	(35, 1088.0)	(40, 5342.0)	(45, 5692.0)	(50, 5840.0)	(55, 5816.0)	(60, 6276.0)	(65, 6739.0)	(70, 8073.0)	(75, 9826.0)	(80, 12444.0)	(85, 16043.0)	(90, 20097.0)	(95, 26170.0)	(100, 33121.0)	(105, 41384.0)	(110, 51722.0)	(115, 63995.0)	(120, 81170.0)	(125, 104140.0)	(130, 140105.0)	(135, 219993.0)	(140, 50601544.0)
HSF4_4H_2_2	(25, 31513.0)	(30, 17179.0)	(35, 10066.0)	(40, 13713.0)	(45, 20126.0)	(50, 22989.0)	(55, 21996.0)	(60, 15941.0)	(65, 12448.0)	(70, 16151.0)	(75, 15384.0)	(80, 16342.0)	(85, 19956.0)	(90, 23844.0)	(95, 31341.0)	(100, 36390.0)	(105, 49052.0)	(110, 57304.0)	(115, 70207.0)	(120, 90657.0)	(125, 126000.0)	(130, 203533.0)	(135, 356545.0)	(140, 50187960.0)
HSF4_4H_3_1	(25, 7.0)	(30, 11.0)	(35, 937.0)	(40, 4875.0)	(45, 4788.0)	(50, 4934.0)	(55, 4772.0)	(60, 4968.0)	(65, 5011.0)	(70, 5723.0)	(75, 6603.0)	(80, 7790.0)	(85, 9569.0)	(90, 11921.0)	(95, 14795.0)	(100, 17847.0)	(105, 22321.0)	(110, 28025.0)	(115, 35575.0)	(120, 44950.0)	(125, 59935.0)	(130, 86016.0)	(135, 154983.0)	(140, 50867046.0)
HSF4_4H_3_2	(25, 9289.0)	(30, 13495.0)	(35, 6706.0)	(40, 12545.0)	(45, 9549.0)	(50, 13014.0)	(55, 8193.0)	(60, 6250.0)	(65, 8190.0)	(70, 8134.0)	(75, 9886.0)	(80, 10219.0)	(85, 12911.0)	(90, 14680.0)	(95, 19270.0)	(100, 21730.0)	(105, 26420.0)	(110, 40478.0)	(115, 43451.0)	(120, 53560.0)	(125, 70960.0)	(130, 244389.0)	(135, 252462.0)	(140, 50487621.0)
HSF4_6H_1_1	(25, 2.0)	(30, 5.0)	(35, 860.0)	(40, 4504.0)	(45, 4485.0)	(50, 4552.0)	(55, 4431.0)	(60, 4817.0)	(65, 5565.0)	(70, 6644.0)	(75, 8155.0)	(80, 10473.0)	(85, 13443.0)	(90, 16800.0)	(95, 21508.0)	(100, 27558.0)	(105, 33924.0)	(110, 42540.0)	(115, 52655.0)	(120, 68024.0)	(125, 86941.0)	(130, 118270.0)	(135, 190754.0)	(140, 49940005.0)
HSF4_6H_1_2	(25, 12166.0)	(30, 18143.0)	(35, 8556.0)	(40, 14953.0)	(45, 11338.0)	(50, 16169.0)	(55, 9422.0)	(60, 6703.0)	(65, 10377.0)	(70, 10113.0)	(75, 13130.0)	(80, 14087.0)	(85, 18444.0)	(90, 21114.0)	(95, 28474.0)	(100, 33363.0)	(105, 39920.0)	(110, 61833.0)	(115, 64109.0)	(120, 78576.0)	(125, 99156.0)	(130, 325960.0)	(135, 298086.0)	(140, 49452723.0)
HSF4_6H_2_1	(25, 3.0)	(30, 10.0)	(35, 916.0)	(40, 4871.0)	(45, 4780.0)	(50, 4859.0)	(55, 4609.0)	(60, 4934.0)	(65, 5174.0)	(70, 6152.0)	(75, 7352.0)	(80, 8930.0)	(85, 11177.0)	(90, 13718.0)	(95, 17494.0)	(100, 21983.0)	(105, 27041.0)	(110, 33494.0)	(115, 41851.0)	(120, 53682.0)	(125, 70439.0)	(130, 97629.0)	(135, 169280.0)	(140, 52359899.0)
HSF4_6H_2_2	(25, 8.0)	(30, 11.0)	(35, 924.0)	(40, 4890.0)	(45, 4773.0)	(50, 4876.0)	(55, 4633.0)	(60, 4962.0)	(65, 5201.0)	(70, 6241.0)	(75, 7442.0)	(80, 9070.0)	(85, 11378.0)	(90, 14047.0)	(95, 18048.0)	(100, 22707.0)	(105, 28100.0)	(110, 35378.0)	(115, 45108.0)	(120, 60100.0)	(125, 84520.0)	(130, 130289.0)	(135, 239417.0)	(140, 52228154.0)
HSF4_6H_3_1	(25, 9.0)	(30, 9.0)	(35, 982.0)	(40, 5138.0)	(45, 5113.0)	(50, 5223.0)	(55, 4890.0)	(60, 5511.0)	(65, 6149.0)	(70, 7025.0)	(75, 8916.0)	(80, 10852.0)	(85, 13895.0)	(90, 18155.0)	(95, 22808.0)	(100, 29127.0)	(105, 36738.0)	(110, 45577.0)	(115, 56733.0)	(120, 71465.0)	(125, 92001.0)	(130, 123234.0)	(135, 201791.0)	(140, 53827641.0)
HSF4_6H_3_2	(25, 12.0)	(30, 6.0)	(35, 990.0)	(40, 5148.0)	(45, 5125.0)	(50, 5244.0)	(55, 4903.0)	(60, 5515.0)	(65, 6180.0)	(70, 7060.0)	(75, 8989.0)	(80, 11003.0)	(85, 14082.0)	(90, 18314.0)	(95, 23187.0)	(100, 29758.0)	(105, 37572.0)	(110, 47092.0)	(115, 59559.0)	(120, 76843.0)	(125, 102730.0)	(130, 149394.0)	(135, 254443.0)	(140, 53725833.0)
