Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
HSF4_2H_3_1	(18.0, 143.0)	(19.0, 1715.0)	(20.0, 6155.0)	(21.0, 11255.0)	(22.0, 16199.0)	(23.0, 21075.0)	(24.0, 27814.0)	(25.0, 35515.0)	(26.0, 44646.0)	(27.0, 53423.0)	(28.0, 63152.0)	(29.0, 75388.0)	(30.0, 89049.0)	(31.0, 106457.0)	(32.0, 129338.0)	(33.0, 162433.0)	(34.0, 214223.0)	(35.0, 308884.0)	(36.0, 510687.0)	(37.0, 960072.0)	(38.0, 2488964.0)	(39.0, 36129124.0)	(40.0, 15153628.0)
HSF4_2H_3_2	(18.0, 1013.0)	(19.0, 5522.0)	(20.0, 13785.0)	(21.0, 22711.0)	(22.0, 30168.0)	(23.0, 37267.0)	(24.0, 44109.0)	(25.0, 50621.0)	(26.0, 58192.0)	(27.0, 65762.0)	(28.0, 74561.0)	(29.0, 85869.0)	(30.0, 100036.0)	(31.0, 119152.0)	(32.0, 143899.0)	(33.0, 180998.0)	(34.0, 238378.0)	(35.0, 344127.0)	(36.0, 576289.0)	(37.0, 1153577.0)	(38.0, 3595166.0)	(39.0, 39020422.0)	(40.0, 10647715.0)
HSF4_4H_1_1	(18.0, 135.0)	(19.0, 1678.0)	(20.0, 5722.0)	(21.0, 10651.0)	(22.0, 14782.0)	(23.0, 19597.0)	(24.0, 26465.0)	(25.0, 33242.0)	(26.0, 41759.0)	(27.0, 50278.0)	(28.0, 60025.0)	(29.0, 71804.0)	(30.0, 84951.0)	(31.0, 101187.0)	(32.0, 123799.0)	(33.0, 155455.0)	(34.0, 203758.0)	(35.0, 296880.0)	(36.0, 493680.0)	(37.0, 930190.0)	(38.0, 2434571.0)	(39.0, 34426912.0)	(40.0, 12972852.0)
HSF4_4H_1_2	(18.0, 1038.0)	(19.0, 5313.0)	(20.0, 12819.0)	(21.0, 20738.0)	(22.0, 27472.0)	(23.0, 34194.0)	(24.0, 40066.0)	(25.0, 46420.0)	(26.0, 53874.0)	(27.0, 60208.0)	(28.0, 69191.0)	(29.0, 80437.0)	(30.0, 93205.0)	(31.0, 110730.0)	(32.0, 134527.0)	(33.0, 168872.0)	(34.0, 221494.0)	(35.0, 319829.0)	(36.0, 532345.0)	(37.0, 1059450.0)	(38.0, 3277936.0)	(39.0, 36266008.0)	(40.0, 9924207.0)
HSF4_4H_2_1	(18.0, 112.0)	(19.0, 1381.0)	(20.0, 5124.0)	(21.0, 9701.0)	(22.0, 14102.0)	(23.0, 18818.0)	(24.0, 25061.0)	(25.0, 32023.0)	(26.0, 39842.0)	(27.0, 48431.0)	(28.0, 58675.0)	(29.0, 69263.0)	(30.0, 82240.0)	(31.0, 99440.0)	(32.0, 121825.0)	(33.0, 152704.0)	(34.0, 203603.0)	(35.0, 297536.0)	(36.0, 496386.0)	(37.0, 945413.0)	(38.0, 2540303.0)	(39.0, 35014610.0)	(40.0, 11190044.0)
HSF4_4H_2_2	(18.0, 1036.0)	(19.0, 5553.0)	(20.0, 13576.0)	(21.0, 21675.0)	(22.0, 29153.0)	(23.0, 35746.0)	(24.0, 42203.0)	(25.0, 48695.0)	(26.0, 56146.0)	(27.0, 62936.0)	(28.0, 72365.0)	(29.0, 83672.0)	(30.0, 97348.0)	(31.0, 116339.0)	(32.0, 140879.0)	(33.0, 176805.0)	(34.0, 232329.0)	(35.0, 335471.0)	(36.0, 557530.0)	(37.0, 1114987.0)	(38.0, 3527641.0)	(39.0, 36119741.0)	(40.0, 8574811.0)
HSF4_4H_3_1	(18.0, 84.0)	(19.0, 1509.0)	(20.0, 5375.0)	(21.0, 9955.0)	(22.0, 13987.0)	(23.0, 18964.0)	(24.0, 24828.0)	(25.0, 31584.0)	(26.0, 40008.0)	(27.0, 48631.0)	(28.0, 58139.0)	(29.0, 68930.0)	(30.0, 82046.0)	(31.0, 97899.0)	(32.0, 120557.0)	(33.0, 151839.0)	(34.0, 201428.0)	(35.0, 293055.0)	(36.0, 487157.0)	(37.0, 925656.0)	(38.0, 2488550.0)	(39.0, 34738393.0)	(40.0, 11494828.0)
HSF4_4H_3_2	(18.0, 1093.0)	(19.0, 5659.0)	(20.0, 13135.0)	(21.0, 21130.0)	(22.0, 28182.0)	(23.0, 34469.0)	(24.0, 40545.0)	(25.0, 47483.0)	(26.0, 54390.0)	(27.0, 61181.0)	(28.0, 69976.0)	(29.0, 80355.0)	(30.0, 93623.0)	(31.0, 111651.0)	(32.0, 134699.0)	(33.0, 168082.0)	(34.0, 220441.0)	(35.0, 315008.0)	(36.0, 523496.0)	(37.0, 1041898.0)	(38.0, 3253977.0)	(39.0, 35721535.0)	(40.0, 9361394.0)
HSF4_6H_1_1	(18.0, 98.0)	(19.0, 1185.0)	(20.0, 4614.0)	(21.0, 8814.0)	(22.0, 12556.0)	(23.0, 17182.0)	(24.0, 23005.0)	(25.0, 29621.0)	(26.0, 37001.0)	(27.0, 45360.0)	(28.0, 54509.0)	(29.0, 65778.0)	(30.0, 78466.0)	(31.0, 95296.0)	(32.0, 116469.0)	(33.0, 147307.0)	(34.0, 197855.0)	(35.0, 291405.0)	(36.0, 493284.0)	(37.0, 949791.0)	(38.0, 2709587.0)	(39.0, 35969896.0)	(40.0, 9317836.0)
HSF4_6H_1_2	(18.0, 1042.0)	(19.0, 5230.0)	(20.0, 12785.0)	(21.0, 21291.0)	(22.0, 27952.0)	(23.0, 34196.0)	(24.0, 40534.0)	(25.0, 47555.0)	(26.0, 54354.0)	(27.0, 61004.0)	(28.0, 70191.0)	(29.0, 80815.0)	(30.0, 94360.0)	(31.0, 112576.0)	(32.0, 136837.0)	(33.0, 171754.0)	(34.0, 226709.0)	(35.0, 326494.0)	(36.0, 548980.0)	(37.0, 1115758.0)	(38.0, 3710404.0)	(39.0, 36442957.0)	(40.0, 7323137.0)
HSF4_6H_2_1	(18.0, 83.0)	(19.0, 1245.0)	(20.0, 4799.0)	(21.0, 9215.0)	(22.0, 13131.0)	(23.0, 17880.0)	(24.0, 23711.0)	(25.0, 30722.0)	(26.0, 38562.0)	(27.0, 47835.0)	(28.0, 58771.0)	(29.0, 70463.0)	(30.0, 84846.0)	(31.0, 102913.0)	(32.0, 128865.0)	(33.0, 165833.0)	(34.0, 224772.0)	(35.0, 335829.0)	(36.0, 576490.0)	(37.0, 1146262.0)	(38.0, 3354277.0)	(39.0, 36677098.0)	(40.0, 9856675.0)
HSF4_6H_2_2	(18.0, 1315.0)	(19.0, 6789.0)	(20.0, 15808.0)	(21.0, 25747.0)	(22.0, 34326.0)	(23.0, 42026.0)	(24.0, 49117.0)	(25.0, 55775.0)	(26.0, 64245.0)	(27.0, 72971.0)	(28.0, 83738.0)	(29.0, 96137.0)	(30.0, 112816.0)	(31.0, 133583.0)	(32.0, 162099.0)	(33.0, 203807.0)	(34.0, 271093.0)	(35.0, 396696.0)	(36.0, 677193.0)	(37.0, 1418064.0)	(38.0, 4765501.0)	(39.0, 37594523.0)	(40.0, 6686908.0)
HSF4_6H_3_1	(18.0, 136.0)	(19.0, 1592.0)	(20.0, 5795.0)	(21.0, 10508.0)	(22.0, 14662.0)	(23.0, 19859.0)	(24.0, 26243.0)	(25.0, 33509.0)	(26.0, 42428.0)	(27.0, 51403.0)	(28.0, 62234.0)	(29.0, 74074.0)	(30.0, 88331.0)	(31.0, 105899.0)	(32.0, 130185.0)	(33.0, 164056.0)	(34.0, 218497.0)	(35.0, 318501.0)	(36.0, 535660.0)	(37.0, 1029944.0)	(38.0, 2857502.0)	(39.0, 37795062.0)	(40.0, 11012902.0)
HSF4_6H_3_2	(18.0, 1099.0)	(19.0, 5978.0)	(20.0, 14244.0)	(21.0, 22843.0)	(22.0, 30319.0)	(23.0, 37187.0)	(24.0, 43752.0)	(25.0, 50521.0)	(26.0, 58019.0)	(27.0, 66201.0)	(28.0, 75555.0)	(29.0, 86841.0)	(30.0, 102102.0)	(31.0, 120717.0)	(32.0, 146164.0)	(33.0, 182217.0)	(34.0, 240502.0)	(35.0, 344215.0)	(36.0, 575707.0)	(37.0, 1161759.0)	(38.0, 3723490.0)	(39.0, 38381224.0)	(40.0, 9128326.0)
