Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
HSF4_2H_3_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 2.5437498925751456e-05)	(20, 0.0001543914865354637)	(25, 0.00019678731946887645)	(30, 0.000752879396260112)	(35, 8.479168735083331e-06)	(40, 0.0014659292600837067)	(45, 0.00021236869859094006)	(50, 0.0)	(55, 0.00014314001226162085)	(60, 0.0)	(65, 0.0)	(70, 3.075923094596988e-05)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 8.495622375702249e-06)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 5.384883611072138e-05)	(135, 0.0)	(140, 0.0)
HSF4_2H_3_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.00010775607183825269)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 5.299478942864886e-05)	(10, 0.0)	(15, 0.00045010241154732434)	(20, 6.0060761352468715e-06)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.00011874086088523588)	(55, 0.0)	(60, 0.002536852869051578)	(65, 0.000244629008389916)	(70, 0.0017748470033269294)	(75, 0.00010042492117969719)	(80, 1.0610202094818178e-06)	(85, 0.0)	(90, 1.7692900045157235e-06)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.00026941177695339274)	(125, 0.0015418532266943828)	(130, 0.00013023259119761984)	(135, 0.0009644606458870821)	(140, 0.000339579833499995)
HSF4_4H_1_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0165466862269033)	(15, 2.1308828991757727e-05)	(20, 0.0006152924371370044)	(25, 0.00017389526979676073)	(30, 0.0007435260899861317)	(35, 0.02612501579374917)	(40, 0.0006510901795364236)	(45, 4.3003321367234203e-05)	(50, 0.0)	(55, 0.0003269496894918073)	(60, 0.0)	(65, 0.0)	(70, 8.756227190837168e-06)	(75, 0.0)	(80, 0.0)	(85, 3.465720663554343e-05)	(90, 0.0)	(95, 9.487180190584876e-05)	(100, 0.00865278777496884)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.008454522858440068)	(130, 0.0)	(135, 0.0)	(140, 0.0)
HSF4_4H_1_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 2.6636036239697157e-05)	(6, 0.0)	(7, 9.70312748731825e-05)	(8, 0.0)	(9, 0.0016723625610495572)	(10, 1.1415444102727352e-06)	(15, 6.544854618897016e-05)	(20, 0.00017998350201966796)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.00012215078861861967)	(45, 1.2177934495278522e-05)	(50, 0.00028429937735277474)	(55, 7.612336177482288e-07)	(60, 0.001139648539013776)	(65, 1.6368931661118804e-05)	(70, 0.002133096016407974)	(75, 0.0010539012702700946)	(80, 0.00010776397023455567)	(85, 8.721471737463379e-05)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 3.8173451935398216e-07)	(120, 0.0006705196854607821)	(125, 0.026998403612570162)	(130, 3.946535857266902e-05)	(135, 0.0014620128083006538)	(140, 0.00020940342256019594)
HSF4_4H_2_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.01660726345885005)	(15, 2.020726553398078e-05)	(20, 0.0006132127887042628)	(25, 0.00016360114773860584)	(30, 0.0008246120857844186)	(35, 0.026014922489073743)	(40, 0.000635014667575787)	(45, 3.225938372808234e-05)	(50, 0.0)	(55, 0.0003284972384558927)	(60, 0.0)	(65, 0.0)	(70, 4.666842894432432e-06)	(75, 0.0)	(80, 0.0)	(85, 2.879746779040197e-05)	(90, 0.0)	(95, 7.906000935899149e-05)	(100, 0.008748623760546687)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.008672823565273949)	(130, 0.0)	(135, 0.0)	(140, 0.0)
HSF4_4H_2_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 5.634718273898487e-05)	(6, 0.0)	(7, 0.00011269436547796974)	(8, 0.0)	(9, 0.0015291459591579687)	(10, 1.5544050410754447e-06)	(15, 8.044046087565426e-05)	(20, 0.00015699490914861992)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.000126454178305185)	(45, 1.4401144462842664e-05)	(50, 0.000280376703234928)	(55, 3.895406254138626e-07)	(60, 0.0011589082932681577)	(65, 1.832007164785127e-05)	(70, 0.002133252080253185)	(75, 0.001072971751863718)	(80, 0.00010884908961293907)	(85, 9.522792198194908e-05)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0006385345968726099)	(125, 0.026590071311836504)	(130, 3.0781408914573056e-05)	(135, 0.0014842065010792502)	(140, 0.00021399137977594452)
HSF4_4H_3_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.01657400029671188)	(15, 1.5563172258520944e-05)	(20, 0.0006034620043241496)	(25, 0.00015991160117813217)	(30, 0.0007587048188167759)	(35, 0.026239131089028218)	(40, 0.000635402198872149)	(45, 3.8524720649759654e-05)	(50, 0.0)	(55, 0.00031409356264192496)	(60, 0.0)	(65, 0.0)	(70, 3.503935938146592e-06)	(75, 0.0)	(80, 0.0)	(85, 3.076965681063277e-05)	(90, 0.0)	(95, 9.040301081616302e-05)	(100, 0.00875466322730276)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.008646323958335676)	(130, 0.0)	(135, 0.0)	(140, 0.0)
HSF4_4H_3_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 3.112634451704189e-05)	(6, 0.0)	(7, 7.976125782491983e-05)	(8, 0.0)	(9, 0.0017294575172281399)	(10, 3.1126344517041887e-06)	(15, 6.26417683405468e-05)	(20, 0.00017547476721482363)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.00010979772782245924)	(45, 1.4409046544627885e-05)	(50, 0.00028862711366143916)	(55, 3.895902786566285e-07)	(60, 0.0011389460130472012)	(65, 1.870586898237115e-05)	(70, 0.002108643691807451)	(75, 0.0010926952651019247)	(80, 9.31878423912384e-05)	(85, 9.320723639612013e-05)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 3.9110397250758096e-07)	(120, 0.0006385070519717572)	(125, 0.026657844682216197)	(130, 2.9843688224669784e-05)	(135, 0.0014598605303915036)	(140, 0.00020804065508026398)
HSF4_6H_1_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.016552813606275415)	(15, 2.171041990616559e-05)	(20, 0.0005988128545027855)	(25, 0.00016065710984230415)	(30, 0.000780390967348367)	(35, 0.026114485514497344)	(40, 0.0006304250279351909)	(45, 3.829472756966969e-05)	(50, 0.0)	(55, 0.00031667827392571976)	(60, 0.0)	(65, 0.0)	(70, 7.109689791081489e-06)	(75, 0.0)	(80, 0.0)	(85, 3.280160353207667e-05)	(90, 0.0)	(95, 9.253780261181304e-05)	(100, 0.008664248558335747)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.008620986855175837)	(130, 0.0)	(135, 0.0)	(140, 0.0)
HSF4_6H_1_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 4.144716527540704e-05)	(6, 1.9736745369241445e-06)	(7, 9.671005230928309e-05)	(8, 0.0)	(9, 0.001701307450828613)	(10, 1.9736745369241445e-06)	(15, 7.539436731050233e-05)	(20, 0.000179999117767482)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.00012011121476673825)	(45, 1.3831998373578303e-05)	(50, 0.00027868296486339484)	(55, 7.907867929638053e-07)	(60, 0.0011452656763469471)	(65, 2.135871233544348e-05)	(70, 0.002131551560891137)	(75, 0.0010834094671176146)	(80, 0.00010330401138025486)	(85, 9.304043970642583e-05)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 3.9764435484191647e-07)	(120, 0.0006447190959297255)	(125, 0.026456784658235328)	(130, 3.3194806075083046e-05)	(135, 0.0014858468673080876)	(140, 0.0001908510163487634)
HSF4_6H_2_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.016323116452647588)	(15, 1.8123371338986957e-05)	(20, 0.0005799478828475826)	(25, 0.00016537576596589466)	(30, 0.0007740190690207377)	(35, 0.02604291609027561)	(40, 0.0006192489612665062)	(45, 3.058766055708483e-05)	(50, 0.0)	(55, 0.0002976220972653413)	(60, 0.0)	(65, 0.0)	(70, 5.289237554253079e-06)	(75, 0.0)	(80, 0.0)	(85, 2.419042691976022e-05)	(90, 0.0)	(95, 8.773575002566081e-05)	(100, 0.008512333831117536)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.008577842994867876)	(130, 0.0)	(135, 0.0)	(140, 0.0)
HSF4_6H_2_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 3.964487480403397e-05)	(6, 0.0)	(7, 0.0001038318149629461)	(8, 0.0)	(9, 0.0016613090394071376)	(10, 1.1327107086866848e-06)	(15, 8.042246031675463e-05)	(20, 0.00016726361464940046)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0001393310725778087)	(45, 1.132877005692182e-05)	(50, 0.0002515213387134881)	(55, 0.0)	(60, 0.0011596235751578593)	(65, 1.2466198045660533e-05)	(70, 0.002143280690548793)	(75, 0.0010451373985006654)	(80, 0.00010883773109065731)	(85, 7.899765328210435e-05)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0006270897371901055)	(125, 0.026840102344746448)	(130, 3.120743598301629e-05)	(135, 0.0015042786128991537)	(140, 0.00020367117224117965)
HSF4_6H_3_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.01637063489572022)	(15, 1.465228783935935e-05)	(20, 0.0006029416445896373)	(25, 0.0001809557654217518)	(30, 0.0008132021895593498)	(35, 0.02593089637731385)	(40, 0.0006864982682018833)	(45, 3.8101706173886165e-05)	(50, 0.0)	(55, 0.00035323918592951585)	(60, 0.0)	(65, 0.0)	(70, 8.430604610779769e-06)	(75, 0.0)	(80, 0.0)	(85, 3.117325602796152e-05)	(90, 0.0)	(95, 9.761765578979674e-05)	(100, 0.008639841552090919)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.008699563817594689)	(130, 0.0)	(135, 0.0)	(140, 0.0)
HSF4_6H_3_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 3.1136111658638615e-05)	(6, 0.0)	(7, 9.89029429156756e-05)	(8, 0.0)	(9, 0.0016978338533857648)	(10, 1.8315359799199188e-06)	(15, 7.545928237270066e-05)	(20, 0.00017875791164018406)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.00012821474478063783)	(45, 1.5753597151644122e-05)	(50, 0.00027589715516947345)	(55, 1.4657241703591708e-06)	(60, 0.0011752547549746467)	(65, 1.7225699626738147e-05)	(70, 0.0021934280138900444)	(75, 0.0011276617881864545)	(80, 0.00010449959259092169)	(85, 8.508532046034488e-05)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 3.680117327439768e-07)	(120, 0.0006687539010183652)	(125, 0.026909698352788194)	(130, 3.180728666250901e-05)	(135, 0.0015691039330011404)	(140, 0.00021787715988891168)
