Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
HSF4_2H_3_1	(1, 39.50593136231462)	(2, 39.4932032857688)	(3, 39.485106476865944)	(4, 39.49475347168424)	(5, 39.51467149263128)	(6, 39.51124746395643)	(7, 39.49248955194478)	(8, 39.618149171464445)	(9, 39.64257316270731)	(10, 39.63644749499725)	(15, 39.62527561044301)	(20, 39.587735719719326)	(25, 39.56810641475797)	(30, 39.575676158146116)	(35, 39.56446161553549)	(40, 39.551360238270284)	(45, 39.55019050639691)	(50, 39.54287033704195)	(55, 39.51999689901689)	(60, 39.510342107569755)	(65, 39.516893852545344)	(70, 39.49777562917413)	(75, 39.48427491939879)	(80, 39.47906843687055)	(85, 39.47121989881517)	(90, 39.458342927358736)	(95, 39.44644793143674)	(100, 39.43732930877901)	(105, 39.41708394831549)	(110, 39.40576094461631)	(115, 39.40281709147151)	(120, 39.389070313006044)	(125, 39.39713476369105)	(130, 39.3799940462968)	(135, 39.39592479443475)	(140, 39.41481325262002)
HSF4_2H_3_2	(1, 39.552485694984)	(2, 39.5167805439311)	(3, 39.50173894452292)	(4, 39.5164707363921)	(5, 39.5049059308041)	(6, 39.54827833266168)	(7, 39.52224001414325)	(8, 39.52301506293864)	(9, 39.554950959593434)	(10, 39.53931068511504)	(15, 39.53372705164425)	(20, 39.53592610222847)	(25, 39.515295227904744)	(30, 39.48166427019099)	(35, 39.47558358988084)	(40, 39.447418576271275)	(45, 39.43743168491697)	(50, 39.43256799371561)	(55, 39.40682788505358)	(60, 39.39335370758907)	(65, 39.377234422293796)	(70, 39.36009744598644)	(75, 39.33955707973106)	(80, 39.328708228994216)	(85, 39.307576198773795)	(90, 39.29787275512071)	(95, 39.273926655799386)	(100, 39.264441253170304)	(105, 39.24265408086158)	(110, 39.23298422419638)	(115, 39.20252093762199)	(120, 39.2058843460099)	(125, 39.19881660960924)	(130, 39.19521728602059)	(135, 39.204969723398044)	(140, 39.2431829120029)
HSF4_4H_1_1	(1, 39.44636692361372)	(2, 39.457636896907104)	(3, 39.42126400054276)	(4, 39.430622495772624)	(5, 39.45401452915869)	(6, 39.4499485382267)	(7, 39.439840409808355)	(8, 39.600114367529315)	(9, 39.616277970477874)	(10, 39.61267711323129)	(15, 39.61130420821024)	(20, 39.57558324024832)	(25, 39.55851832670138)	(30, 39.554561589760034)	(35, 39.53435263047828)	(40, 39.52998017898675)	(45, 39.53387557093453)	(50, 39.52831167642658)	(55, 39.513254082295475)	(60, 39.49348163664184)	(65, 39.492921369723305)	(70, 39.477643850893784)	(75, 39.47164411110596)	(80, 39.460691424913655)	(85, 39.44644086034996)	(90, 39.43295513733504)	(95, 39.42593027723068)	(100, 39.4128358792805)	(105, 39.401586943533)	(110, 39.39969244184065)	(115, 39.38115584029073)	(120, 39.38609538556233)	(125, 39.37828331798285)	(130, 39.37503211607509)	(135, 39.384867911652506)	(140, 39.402301693369544)
HSF4_4H_1_2	(1, 39.53168351754277)	(2, 39.48610088821097)	(3, 39.48063368956685)	(4, 39.51312891177542)	(5, 39.490647336159505)	(6, 39.523767725164355)	(7, 39.50622951248843)	(8, 39.508712580863914)	(9, 39.53360260590236)	(10, 39.52532872245789)	(15, 39.52391382001798)	(20, 39.5221201493376)	(25, 39.5089492961216)	(30, 39.49397678720366)	(35, 39.483085217938516)	(40, 39.45443672756552)	(45, 39.45142827729455)	(50, 39.43937963679571)	(55, 39.40705816702553)	(60, 39.399823881576786)	(65, 39.38745868711029)	(70, 39.37102429399986)	(75, 39.352437656543415)	(80, 39.33691549329611)	(85, 39.31519391914871)	(90, 39.29976998609199)	(95, 39.28155919052286)	(100, 39.26958003506438)	(105, 39.24814851963487)	(110, 39.234757103060865)	(115, 39.22696993482735)	(120, 39.21817115435702)	(125, 39.20519342567186)	(130, 39.21041530813918)	(135, 39.21728703892659)	(140, 39.25507993973509)
HSF4_4H_2_1	(1, 39.41409692263359)	(2, 39.41534170962054)	(3, 39.395665467708724)	(4, 39.40610914600851)	(5, 39.43141777458667)	(6, 39.4245448949773)	(7, 39.41406579567264)	(8, 39.59144099506638)	(9, 39.60760700179419)	(10, 39.601105356854774)	(15, 39.60122958490565)	(20, 39.56467011435)	(25, 39.54425869959836)	(30, 39.54087992827664)	(35, 39.52053251261698)	(40, 39.51457158685248)	(45, 39.51703994573078)	(50, 39.51722204147256)	(55, 39.498985176882094)	(60, 39.47793790197885)	(65, 39.4770143218896)	(70, 39.463383859568566)	(75, 39.45543892907798)	(80, 39.4452071621365)	(85, 39.42932916800228)	(90, 39.414503005247184)	(95, 39.40568068828346)	(100, 39.39131623382822)	(105, 39.378200940189664)	(110, 39.37271598802973)	(115, 39.35345446680772)	(120, 39.35660803270705)	(125, 39.34727495338265)	(130, 39.34160882368619)	(135, 39.34669105604243)	(140, 39.36267995951285)
HSF4_4H_2_2	(1, 39.492693917420716)	(2, 39.457580645885216)	(3, 39.44619635823495)	(4, 39.475613493067364)	(5, 39.44693854778193)	(6, 39.47690096790276)	(7, 39.4600739115711)	(8, 39.46410151104297)	(9, 39.493170925467695)	(10, 39.48547149097774)	(15, 39.482778472586034)	(20, 39.484082758311956)	(25, 39.46815556393097)	(30, 39.44797184986594)	(35, 39.44003665228142)	(40, 39.40950176153804)	(45, 39.40781171047153)	(50, 39.39840785886683)	(55, 39.36360480562574)	(60, 39.356122987461724)	(65, 39.344474311189316)	(70, 39.32722171970865)	(75, 39.30954995324096)	(80, 39.29196040201957)	(85, 39.26983586055988)	(90, 39.251749646224425)	(95, 39.23350463293417)	(100, 39.22197504084376)	(105, 39.199735962602645)	(110, 39.18498677520917)	(115, 39.17613710405488)	(120, 39.16624987373616)	(125, 39.15204259223235)	(130, 39.15749416221363)	(135, 39.16397359760212)	(140, 39.20414570201165)
HSF4_4H_3_1	(1, 39.41242719693922)	(2, 39.4313705734885)	(3, 39.405297668819664)	(4, 39.413473781365674)	(5, 39.43670969481747)	(6, 39.431561864329524)	(7, 39.42115965398555)	(8, 39.590365127973435)	(9, 39.607166292223226)	(10, 39.60305131166221)	(15, 39.60207295618294)	(20, 39.56510320853861)	(25, 39.54721212986652)	(30, 39.54224994415498)	(35, 39.522396195441424)	(40, 39.517771737116526)	(45, 39.52189912839494)	(50, 39.518111235841886)	(55, 39.50173617560325)	(60, 39.48262244846406)	(65, 39.48065882934428)	(70, 39.46569672937024)	(75, 39.45905575944684)	(80, 39.44884451431075)	(85, 39.432982438993726)	(90, 39.41966663845922)	(95, 39.41177972938945)	(100, 39.399272566129724)	(105, 39.38826829354439)	(110, 39.38583064608996)	(115, 39.366379065819736)	(120, 39.37122647074587)	(125, 39.3631871686577)	(130, 39.35974224636256)	(135, 39.3689868593885)	(140, 39.38489173452103)
HSF4_4H_3_2	(1, 39.524185597676976)	(2, 39.4789457903973)	(3, 39.479054693695176)	(4, 39.50466412709416)	(5, 39.48463870153964)	(6, 39.51502151550203)	(7, 39.49221819987712)	(8, 39.49735005865954)	(9, 39.52650585266711)	(10, 39.515246348870065)	(15, 39.51461816087581)	(20, 39.51528030771193)	(25, 39.487876222674785)	(30, 39.481634351252715)	(35, 39.47160753853395)	(40, 39.444344234593316)	(45, 39.442745057276376)	(50, 39.42820097744327)	(55, 39.39638899902127)	(60, 39.389380825314824)	(65, 39.373961116454645)	(70, 39.35706311369695)	(75, 39.338209022348074)	(80, 39.32255191260761)	(85, 39.300086389663804)	(90, 39.283734474201694)	(95, 39.26547172181212)	(100, 39.25414832133629)	(105, 39.23314017932189)	(110, 39.21991441184002)	(115, 39.2121070760619)	(120, 39.20346537608435)	(125, 39.19117090644929)	(130, 39.19674116299178)	(135, 39.20511489003725)	(140, 39.24416624713225)
HSF4_6H_1_1	(1, 39.370070153274575)	(2, 39.37113820725023)	(3, 39.346845905261844)	(4, 39.36155637263489)	(5, 39.38853490487826)	(6, 39.37899728057254)	(7, 39.36534580800903)	(8, 39.568736344022525)	(9, 39.58877180503293)	(10, 39.57941321274445)	(15, 39.578450126675364)	(20, 39.53844295039475)	(25, 39.52081161080538)	(30, 39.52065551785105)	(35, 39.49833475779542)	(40, 39.493930689636194)	(45, 39.49795081324023)	(50, 39.50048239207638)	(55, 39.480968640048495)	(60, 39.45986262388559)	(65, 39.46113291807355)	(70, 39.44509030338854)	(75, 39.438517398851275)	(80, 39.42718869745171)	(85, 39.41235965950885)	(90, 39.39583943445746)	(95, 39.3881968136625)	(100, 39.37459754851674)	(105, 39.361409886836206)	(110, 39.357818376829336)	(115, 39.33848302305497)	(120, 39.34511047546864)	(125, 39.33682921216576)	(130, 39.33086242470996)	(135, 39.33675314396296)	(140, 39.35202665142919)
HSF4_6H_1_2	(1, 39.48356007070886)	(2, 39.45331938998062)	(3, 39.42956844718097)	(4, 39.45580035808377)	(5, 39.43082384234367)	(6, 39.4675022349397)	(7, 39.45407305733929)	(8, 39.45687531992031)	(9, 39.489653415843456)	(10, 39.48335132304779)	(15, 39.47611960980849)	(20, 39.47873626408871)	(25, 39.448465216273526)	(30, 39.43688918778358)	(35, 39.431399873606594)	(40, 39.40206317060521)	(45, 39.39847586792153)	(50, 39.385652158002394)	(55, 39.35036054996449)	(60, 39.34089145806759)	(65, 39.32529959591558)	(70, 39.31113170077917)	(75, 39.29277040868426)	(80, 39.27414212254515)	(85, 39.25085685811415)	(90, 39.23232231642533)	(95, 39.213072027942516)	(100, 39.19968788096877)	(105, 39.17695281347356)	(110, 39.160600817572515)	(115, 39.1526510488473)	(120, 39.14262490539103)	(125, 39.12789281038203)	(130, 39.13120825039856)	(135, 39.13425148645374)	(140, 39.175205484075775)
HSF4_6H_2_1	(1, 39.28950209189958)	(2, 39.3065493691868)	(3, 39.295017014919516)	(4, 39.30420586624457)	(5, 39.33425220713873)	(6, 39.32880611517285)	(7, 39.31598988995281)	(8, 39.5303447440911)	(9, 39.553001997705245)	(10, 39.54895559636209)	(15, 39.54945414387771)	(20, 39.51485801367435)	(25, 39.4957732124724)	(30, 39.49399066295556)	(35, 39.474185686266296)	(40, 39.46862818171453)	(45, 39.47581593466418)	(50, 39.472384361864)	(55, 39.45622637855338)	(60, 39.43439386394872)	(65, 39.43112528984648)	(70, 39.413559598889044)	(75, 39.406006022808754)	(80, 39.39453754793053)	(85, 39.37555330839843)	(90, 39.35987513790372)	(95, 39.35059940188355)	(100, 39.33686296397275)	(105, 39.32512454799617)	(110, 39.32271493360242)	(115, 39.30039107283408)	(120, 39.30727109055936)	(125, 39.29878650376872)	(130, 39.2940804349587)	(135, 39.30109864469452)	(140, 39.31520497200697)
HSF4_6H_2_2	(1, 39.391178886982225)	(2, 39.3552928182724)	(3, 39.34672112437698)	(4, 39.37123570261866)	(5, 39.359990112945795)	(6, 39.40048425648218)	(7, 39.3730811904193)	(8, 39.381786789599005)	(9, 39.422277440610706)	(10, 39.40640139752337)	(15, 39.40821701951832)	(20, 39.410955007843356)	(25, 39.383438521297066)	(30, 39.372089769462946)	(35, 39.36033114124556)	(40, 39.32707046933065)	(45, 39.32668035151356)	(50, 39.3063980214884)	(55, 39.26889704495468)	(60, 39.25870945711737)	(65, 39.2393174204701)	(70, 39.221769950851666)	(75, 39.20056992106932)	(80, 39.180595994962104)	(85, 39.154300664488574)	(90, 39.13548830238604)	(95, 39.11286415952408)	(100, 39.10010233227742)	(105, 39.076494242435764)	(110, 39.06058864124618)	(115, 39.05234597749869)	(120, 39.04200568596263)	(125, 39.02951943882363)	(130, 39.035557692221595)	(135, 39.045989366601326)	(140, 39.09114381774364)
HSF4_6H_3_1	(1, 39.388202732424574)	(2, 39.40511656426121)	(3, 39.366282451932896)	(4, 39.372619181800864)	(5, 39.3984579785755)	(6, 39.39407835479423)	(7, 39.380716384052725)	(8, 39.56765834938095)	(9, 39.58410585384174)	(10, 39.58190424869093)	(15, 39.58035058602375)	(20, 39.54153299048689)	(25, 39.52377836027028)	(30, 39.51981129000411)	(35, 39.49979724360732)	(40, 39.495422974247624)	(45, 39.501415379946266)	(50, 39.49766979381009)	(55, 39.4826154121521)	(60, 39.462832603113995)	(65, 39.460669256160614)	(70, 39.44364929288746)	(75, 39.4371109657619)	(80, 39.42639576790424)	(85, 39.40957484331082)	(90, 39.39636826276803)	(95, 39.38816164628861)	(100, 39.375216187335226)	(105, 39.36433135576543)	(110, 39.36237046281968)	(115, 39.34250890272047)	(120, 39.34842795751398)	(125, 39.3407238708691)	(130, 39.337152255765325)	(135, 39.34572074769987)	(140, 39.36248089368063)
HSF4_6H_3_2	(1, 39.50651112872397)	(2, 39.467699635865)	(3, 39.46054290902347)	(4, 39.48487490114742)	(5, 39.46665694243164)	(6, 39.49796796577636)	(7, 39.47362073527305)	(8, 39.481383096117064)	(9, 39.51190668719794)	(10, 39.49979668851701)	(15, 39.49869373388683)	(20, 39.496548510739636)	(25, 39.48347483295369)	(30, 39.45350479927176)	(35, 39.451455681313604)	(40, 39.423757815748665)	(45, 39.42428333802747)	(50, 39.4082983187342)	(55, 39.37589392748115)	(60, 39.36722900795597)	(65, 39.351443176008345)	(70, 39.33309664757262)	(75, 39.31315496205122)	(80, 39.296176825215824)	(85, 39.272334556814926)	(90, 39.25697391041486)	(95, 39.23795588874408)	(100, 39.22637657683003)	(105, 39.204978401965704)	(110, 39.190986422143126)	(115, 39.183353610662344)	(120, 39.17351594948527)	(125, 39.16076551824169)	(130, 39.16832416006844)	(135, 39.1754825070643)	(140, 39.21447730333072)
