#Position (bp)	Coverage	Std
179658.5	254.62206804038786	336.60978068829206
538974.5	263.7043493749235	1870.0678223645664
898290.5	250.1737050395752	444.30735786266126
1257606.5	162.31472019058432	298.6495408408361
1616922.5	112.23639637533536	255.83290671349724
1976238.5	117.50818499593673	339.5259187416748
2335554.5	167.26001625310312	276.93608237735515
2694870.5	227.4806910908504	1317.775239292857
3054186.5	249.792511327077	327.7317538403298
3413502.5	109.80524663527369	273.85616335940335
3772818.5	82.59849269166973	93.51439204444681
4132134.5	100.49606474523817	1164.9173857566234
4491450.5	221.18432243484844	2717.5159294814007
4850766.5	208.16754611539704	379.7484642787597
5210082.5	256.35683353928016	1320.2761485672413
5569398.5	153.88094045352838	320.14939049105806
5928714.5	718.2126707410747	1354.0250087367197
6288030.5	213.14918901468346	267.1243296342551
6647346.5	249.7784985917688	559.3251541480713
7006662.5	297.684255641274	987.0860753139541
7365978.5	191.643389105968	224.53051984932648
7725294.5	252.03641363034208	1365.338412967272
8084610.5	463.0755602311058	1330.5540743082124
8443926.5	736.006545770297	1488.3863806984264
8803242.5	56.37897282614746	141.52303108147095
9162558.5	66.82197842567545	197.48631330393357
9521874.5	218.4572548954124	484.5111377953011
9881190.5	460.9615408164401	3055.1639516192504
1.02405065E7	598.50039241225	3012.38196570717
1.05998225E7	197.37061806320898	315.95486729412846
1.09591385E7	436.26403778289864	2267.7057080081836
1.13184545E7	40.703414264881054	235.6716492776603
1.16777705E7	86.97200236003962	244.16280595044321
1.20370865E7	209.97686159258146	552.688434054431
1.23964025E7	844.3994812365717	509.5858063136874
1.27557185E7	105.58289082590255	281.6439231044742
1.31150345E7	172.6285609324383	266.8914454827382
1.34743505E7	239.37126930055996	1989.2328922313818
1.38336665E7	93.57300815994834	182.36346597955344
1.41929825E7	77.89055037905354	152.34019885835133
1.45522985E7	31.752257066203565	100.74764649000382
1.49116145E7	185.7571274310078	349.57702777097523
1.52709305E7	50.33954235269234	150.97702329889205
1.56302465E7	71.28110075810707	157.19209657272012
1.59895625E7	48.66587349296998	411.7427172181428
1.63488785E7	332.4235881508199	380.2402728316693
1.67081945E7	278.5669466430663	453.42181956876954
1.70675105E7	62.924061271972306	103.37561061944777
1.74268265E7	149.64907490899375	260.97722437004643
1.77861425E7	18.04477395941177	15.081162270593982
1.81454585E7	82.5458343074063	676.9882911388908
1.85047745E7	295.83507274933487	1489.996679991424
1.88640905E7	256.7312811007581	1192.193307773581
1.92234065E7	219.967120862973	516.2227152298382
1.95827225E7	263.3155968562491	357.0190568760897
1.99420385E7	112.87755624575583	335.02144704591853
2.03013545E7	145.0745666766857	305.0581257167094
2.06606705E7	187.26165826180855	251.07294822934696
2.10199865E7	279.1543293368511	385.56838056391945
2.13793025E7	268.8245638936201	384.92252878398637
2.17386185E7	476.3734233933362	2096.0787913326535
2.20979345E7	200.27703469926192	2609.875827874477
2.24572505E7	258.34498602901067	2486.453651737736
2.28165665E7	73.66828919391288	89.0755528659827
2.31758825E7	61.08660621848178	171.0412205499909
2.34346265E7	39.041303138355715	242.42742280082055
2.36142845E7	1.4832209760171817	2.3672748417098046
2.38945145E7	8.719127453272328	30.732696670599076
2.42538305E7	81.77405960213294	87.05423205127713
2.46131465E7	251.27593538834898	130.47566702033126
2.49724625E7	101.44212336773202	188.44404072145562
2.53317785E7	61.27017722561756	339.13542871659274
2.56910945E7	27.755749813534603	14.17954764861065
2.60504105E7	127.9751750548264	27.569207100153207
2.64097265E7	162.61021496398712	62.6135365465511
2.67690425E7	11.949078248672478	25.12840854992592
2.71283585E7	57.666791904618776	125.86658469769276
2.74876745E7	199.21854579256143	118.96038949536381
2.78469905E7	583.8826743033986	337.25728684009965
2.82063065E7	354.65575426643954	2766.885643672005
2.85656225E7	94.8871828696746	149.47707373979617
2.89249385E7	182.467379688074	283.85612114187865
2.92842545E7	134.17835275913123	277.3909148166878
2.96435705E7	221.9860985873159	955.3221487540263
3.00028865E7	202.2113960970288	498.3654906541876
3.03622025E7	366.6363980451747	471.8340830587596
3.07215185E7	91.82508432688775	138.0258495661183
3.10808345E7	323.97375569136915	429.31696396717126
3.14401505E7	247.47589586881742	495.63531715040875
3.17994665E7	156.57109897694508	398.4491439865983
3.21587825E7	111.78417047946654	219.48584387655308
3.25180985E7	248.88963475047035	494.95053785113123
3.28774145E7	123.52830099411104	240.79683055954237
3.32367305E7	317.9941611283661	1720.0029059217404
3.35960465E7	451.77705418072117	733.2785340612853
3.39553625E7	344.84693695799797	287.2223533465704
3.43146785E7	142.06979928530876	333.3172012009884
3.46739945E7	87.72051341994234	158.2201667761614
3.50333105E7	278.7661083837068	328.58197897668816
3.53926265E7	572.535706731679	3992.7776716808253
3.57519425E7	987.9324104687796	2119.798255217076
3.61112585E7	265.75739738837126	588.7162541975978
3.64705745E7	182.14282414365073	913.8646367241558
3.68298905E7	181.05864754143985	317.56988709005054
3.71892065E7	182.60733727415422	855.1664307070396
3.75485225E7	698.3575014750247	1020.393927045095
3.79078385E7	577.4181166438456	4002.7497253599468
3.82671545E7	141.68992196284051	500.3082496036293
3.86264705E7	102.15897983947278	170.9380723635758
3.89857865E7	87.76591913524585	196.97084592278978
3.93451025E7	205.49718632067595	296.75099805089786
3.97044185E7	440.2099266383907	542.225156680649
4.00637345E7	412.7062696901891	3211.7669829270826
4.04230505E7	176.21294348150374	593.7190559564758
4.07823665E7	813.1714618886997	2742.849116523929
4.11416825E7	408.22928007659	1622.0549498913747
4.15009985E7	512.282536819958	2167.006275376177
4.18603145E7	200.54531665720424	345.9904362771251
4.22196305E7	322.02850137483443	556.8312695959839
4.25789465E7	141.69742232463904	169.45964057139656
4.29382625E7	790.7884341359694	2153.802845777647
4.32975785E7	62.50709960035178	194.19273533746747
4.36568945E7	182.37443921228112	2253.961562161789
4.40162105E7	204.13505939061994	247.53549456262473
4.43755265E7	85.33022743212103	245.37465343755414
4.47348425E7	287.7101214529829	867.7987280014037
4.50941585E7	518.2783510892918	929.6029824012452
4.54534745E7	70.90254539179998	262.3475990334384
4.58127905E7	195.09792494628684	263.8373170990428
4.61721065E7	485.7920549043182	2180.260342964014
4.65314225E7	346.6925964888844	2250.2807506882655
4.68907385E7	309.90993443097443	942.5074215075979
4.72500545E7	295.04610983090095	806.3081788163166
4.76093705E7	782.9994851328636	2665.2644988697084
4.79686865E7	246.04117823865343	572.162718202837
4.83280025E7	496.63163621992896	4060.9775156381315
4.86541545E7	146.29978702199406	271.34803571855895
4.88338125E7	1.537797008804728	2.086479151072237
4.90466345E7	223.94525153346916	326.867869870729
4.94059505E7	122.98349085484644	142.34650365039823
4.97652665E7	128.67361319841032	251.1931271795407
5.01245825E7	195.88640639437153	362.44990834468115
5.04838985E7	382.73486847231965	1425.2059030563667
5.08432145E7	90.97318237985506	170.19964905343053
5.12025305E7	197.15374767614023	243.82840110529307
5.15618465E7	256.8322395885516	2141.783025594984
5.19211625E7	447.5196373108907	1557.9273662145072
5.22804785E7	266.1957830989992	240.0715470196035
5.26397945E7	216.87158100390744	635.3918623881112
5.29991105E7	337.75269957363435	415.24806715308966
5.33584265E7	110.58947555911789	217.5368035110071
5.37177425E7	19.20925870264614	61.379587299854755
5.40770585E7	303.30325396030236	415.97113406900337
5.44363745E7	351.98249451736075	674.1911664616916
5.47956905E7	60.0127492235247	173.11747936795612
5.51550065E7	70.0083937258569	197.5753720306718
5.55143225E7	86.42799930979973	221.40352506668665
5.58736385E7	211.00530730610382	1069.2313245449918
5.62329545E7	248.33578243106348	400.6466004811553
5.65922705E7	100.33269044517917	160.85328774869166
5.69515865E7	289.1949175655969	442.92731406830507
5.73109025E7	398.8793040109542	1775.657923756356
5.76702185E7	128.71498625165592	358.02232061752676
5.80295345E7	408.78867347961125	1235.9985478018202
5.83888505E7	686.324683565441	2999.495993202606
5.87481665E7	133.34632746663104	248.85844060119794
5.91074825E7	75.55852786961894	255.42651924665566
5.94667985E7	951.4648582306382	24362.354297608992
5.98261145E7	206.80833027196118	535.7549877335796
6.01854305E7	131.48683609970055	132.0834112494899
6.05447465E7	292.20559062218217	1791.4182169699257
6.09040625E7	182.79748188224292	367.73721102075586
6.12633785E7	159.1928775785103	244.32622171887598
6.16226945E7	147.30878947778558	188.57601764031907
6.19820105E7	409.37802380077704	2201.431186052342
6.23413265E7	73.95412672967527	121.36144762493589
6.27006425E7	163.6735770185575	389.10844250363937
6.30599585E7	62.9723112803215	78.45496056997743
6.34192745E7	137.6583035545314	336.9681976723137
6.37785905E7	229.76932004141202	694.4809809304553
6.41379065E7	42.89174988032818	126.29309777521088
6.44972225E7	149.58532322523905	268.1724755794837
6.48565385E7	212.37336773202418	234.78949985229542
6.52158545E7	193.67193500985206	433.8932983937521
6.55751705E7	358.80911787952664	416.0819682758763
6.59344865E7	158.41812499304234	176.76853114158874
6.62938025E7	217.70015251199501	411.5855890767665
6.66531185E7	89.2124258313017	196.25227886547066
6.70124345E7	41.73511059902704	113.56570134935734
6.73717505E7	76.92145075643722	258.99975797526105
6.77310665E7	223.31136659653342	1671.1985136529283
6.80903825E7	60.48815527279609	136.6682844768837
6.84496985E7	147.5662870565185	312.836482450365
6.88090145E7	300.3383345022209	414.9489872556785
6.91683305E7	250.89206436674127	423.4306055889093
6.95276465E7	104.84180498502711	311.6295051854912
6.98869625E7	91.69023923231919	167.9948227721378
7.02462785E7	232.7205941288448	403.33068148170634
7.06055945E7	229.16225550768684	454.9882785614793
7.09649105E7	216.26439679836133	1933.177599190952
7.13242265E7	16.36514377316902	34.877758365291335
7.16835425E7	181.12589197252558	487.73046415080063
7.20428585E7	446.83326375669327	3113.683370121886
7.24021745E7	718.265028554253	188.15291113946282
7.27614905E7	186.6050134143762	315.92291562188905
7.31208065E7	17.447386144786204	14.631368568858342
7.34801225E7	41.696626367876746	91.7036991227731
7.38394385E7	58.82764753030759	365.4222363696018
7.41987545E7	29.757355642387203	20.71077318357185
7.45580705E7	218.88635351612507	37.12281443969748
7.49173865E7	121.42273931581116	30.529197081651926
7.52767025E7	13.888287746718765	6.529351163060543
7.56360185E7	23.192607621146845	2.884309256845158
7.59953345E7	591.245324449788	1865.284862825342
7.63546505E7	199.30159525320332	62.33212677342103
7.67139665E7	140.85592069376258	164.85646641422747
7.690225E7	0.9136861631209785	1.765742971296134
7.7081908E7	1.3759227047490974	28.353280849446193
7.74325985E7	19.3531710249474	5.458461485626494
7.77919145E7	33.74051252936134	78.49822550086085
7.81512305E7	5.564252635563125	2.0790171700944993
7.85105465E7	7.229474891182135	25.87199049413047
7.88698625E7	21.546098698638524	10.812531568846177
7.92291785E7	13.09758819534894	39.85915179156111
7.95884945E7	23.68863896959779	67.42841759115967
7.99478105E7	48.477827316345504	71.33925834447483
8.03071265E7	273.255978024914	61.409746021748035
8.06664425E7	338.0682602500306	340.4865511644996
8.10257585E7	71.78571786394149	147.60572494189796
8.13850745E7	246.99233822039653	639.1558564031541
8.17443905E7	172.79449286978593	318.6018162230859
8.21037065E7	306.8519102962295	381.86871833765167
8.24630225E7	517.0159775796235	1763.013301322197
8.28223385E7	253.55570584109807	573.0579572999832
8.31816545E7	120.6317892885371	165.99172317450643
8.35409705E7	53.942629885671664	203.31140716032795
8.39002865E7	340.1515546204455	2007.6778370631505
8.42596025E7	91.89775851896381	550.7586064848043
8.46189185E7	70.60401707689054	287.6516891672986
8.49782345E7	156.66572320742745	198.03011641802982
8.53375505E7	129.01438009996772	450.797040784537
8.56968665E7	309.08924456467287	439.16549538210853
8.60561825E7	241.63941210522214	444.65888765696525
8.64154985E7	385.8847588195349	1231.5738790366706
8.67748145E7	600.7001024168142	4958.749463554781
8.71341305E7	223.36756504024314	392.1547355751925
8.74934465E7	33.170234556768975	101.0581165049691
8.78527625E7	118.2239254583709	338.78213315936557
8.82120785E7	523.7137700519877	2793.4641697258658
8.85713945E7	1142.733179151499	1002.5079982029781
8.89307105E7	346.09918845807033	356.5231598103688
8.92900265E7	380.6204538623384	689.191075156721
8.96493425E7	127.33077847911031	328.8393421145502
9.00086585E7	287.0740128466308	354.6978625119266
9.03679745E7	123.5967282280778	370.4409120712549
9.07272905E7	375.1982210644669	715.6557422367482
9.10866065E7	188.5351278540338	425.411630400524
9.14459225E7	145.02922497189104	1100.3770189441298
9.18052385E7	287.38050907836	1440.83066833775
9.21645545E7	679.805636264458	1600.9276321530656
9.25238705E7	64.07405180954926	382.21649338760875
9.28831865E7	521.0430929877879	5409.46511686198
9.32425025E7	244.4068201805653	301.52905787999134
9.36018185E7	135.79497434013516	276.50557107252
9.39611345E7	150.190968395507	244.39390252350142
9.43204505E7	63.31118569726926	146.98805602659905
9.46797665E7	68.41754054926582	123.24914300192793
9.50390825E7	712.0492185151788	1218.417045597997
9.53983985E7	149.0260968061539	163.1700866886891
9.57577145E7	123.72789967605117	585.239280291009
9.61170305E7	146.80016754054927	345.8286289413656
9.64763465E7	116.35246690934999	270.8356516718626
9.68356625E7	188.43064043905642	440.83677354884634
9.71949785E7	40.21907179196028	68.57409340145861
9.75542945E7	306.7044606975476	1161.2217395569
9.79136105E7	436.97318794598624	1209.4370431453167
9.82729265E7	166.21491389195026	247.3602008890013
9.86322425E7	107.01120740518095	115.60500167266923
9.89915585E7	164.4671403444322	242.39029223305837
9.93508745E7	285.5875385454586	505.05103668662986
9.97101905E7	135.137397165726	184.44029576236724
1.000695065E8	120.82302764140756	149.7211058297609
1.004288225E8	260.7196785002616	2333.648909293355
1.007881385E8	387.50479522203295	744.2713765923803
1.011474545E8	301.79649389395405	486.7113463546109
1.015067705E8	137.96339433813134	192.59437458392978
1.018660865E8	229.06809883222567	465.9938693946949
1.022254025E8	339.1574908993755	1565.2513786750176
