#Coverage (X)	Coverage
1.0	38.94879229994862
2.0	32.85315485224449
3.0	28.642381633909224
4.0	26.286594265663922
5.0	24.471171889968815
6.0	23.215195257431574
7.0	22.192743523193528
8.0	21.388429074928283
9.0	20.713200524425645
10.0	20.141299136672572
11.0	19.65163756520549
12.0	19.218964290121974
13.0	18.83480415742727
14.0	18.49358823742972
15.0	18.184398533537447
16.0	17.900781098746492
17.0	17.640477469066454
18.0	17.4018574593065
19.0	17.182172784573808
20.0	16.978510958650347
21.0	16.787407751034507
22.0	16.61002787790619
23.0	16.443804649906014
24.0	16.286533177204788
25.0	16.13644481671453
26.0	15.995137052514707
27.0	15.858528507597413
28.0	15.727639178330463
29.0	15.601561087046747
30.0	15.482205509341327
31.0	15.36843138515745
32.0	15.259171405881048
33.0	15.153075085188846
34.0	15.051806700919727
35.0	14.952162935694844
36.0	14.855738490520338
37.0	14.762819326178729
38.0	14.672349266349187
39.0	14.584923888719885
40.0	14.499290810301687
41.0	14.415007522438444
42.0	14.332874854474852
43.0	14.252266614916365
44.0	14.174348911479512
45.0	14.097271000413699
46.0	14.021446863873678
47.0	13.947702378863923
48.0	13.875954748953504
49.0	13.805775380852808
50.0	13.736798300421668
51.0	13.669930093790555
