#Duplication rate	Coverage
1.0	4127077.0
2.0	2414925.0
3.0	1539961.0
4.0	1056980.0
5.0	764242.0
6.0	572670.0
7.0	441237.0
8.0	348922.0
9.0	279027.0
10.0	228759.0
11.0	188548.0
12.0	158064.0
13.0	134098.0
14.0	114901.0
15.0	99015.0
16.0	85679.0
17.0	74917.0
18.0	66075.0
19.0	58326.0
20.0	52045.0
21.0	46571.0
22.0	42108.0
23.0	37420.0
24.0	34222.0
25.0	30922.0
26.0	28282.0
27.0	25662.0
28.0	23882.0
29.0	21613.0
30.0	20137.0
31.0	18674.0
32.0	17318.0
33.0	16120.0
34.0	14880.0
35.0	14066.0
36.0	13037.0
37.0	12321.0
38.0	11393.0
39.0	10674.0
40.0	10092.0
41.0	9588.0
42.0	8963.0
43.0	8445.0
44.0	7978.0
45.0	7662.0
46.0	7115.0
47.0	6894.0
48.0	6657.0
49.0	6355.0
50.0	236003.0
