#Position (bp)	insert size	chromosomes
179658.5	569.7394017351323	0.0
538974.5	497.87951939370345	40286.77551498127
898290.5	835.5592398977373	0.0
1257606.5	645.6724147552877	0.0
1616922.5	562.3200279500393	40286.77551498127
1976238.5	477.72037677909924	0.0
2335554.5	687.026990510903	0.0
2694870.5	519.4347105946649	40286.77551498127
3054186.5	580.7836899981133	0.0
3413502.5	407.0975623512425	0.0
3772818.5	865.2106032313063	40286.77551498127
4132134.5	580.2152154333362	0.0
4491450.5	439.3689725450025	0.0
4850766.5	558.0998723398083	40286.77551498127
5210082.5	589.219232509561	0.0
5569398.5	687.963339811745	0.0
5928714.5	1079.491464551007	40286.77551498127
6288030.5	482.9742652843581	0.0
6647346.5	574.8902377693605	0.0
7006662.5	481.31740445473383	40286.77551498127
7365978.5	1092.4903529695946	0.0
7725294.5	529.8835645129888	0.0
8084610.5	706.9939861698292	40286.77551498127
8443926.5	891.7945353866943	0.0
8803242.5	686.3914965412519	0.0
9162558.5	642.1120162366548	40286.77551498127
9521874.5	640.2777597124765	0.0
9881190.5	406.0778172760061	0.0
1.02405065E7	470.42233570150586	40286.77551498127
1.05998225E7	576.684828520362	0.0
1.09591385E7	515.0196104562447	0.0
1.13184545E7	429.76002037502786	40286.77551498127
1.16777705E7	572.116553126917	0.0
1.20370865E7	1006.6493278171598	0.0
1.23964025E7	3020.496067935501	40286.77551498127
1.27557185E7	667.5794451450189	0.0
1.31150345E7	521.4731510676512	0.0
1.34743505E7	458.2257889696829	40286.77551498127
1.38336665E7	445.64623716104506	0.0
1.41929825E7	849.0144113493388	0.0
1.45522985E7	867.8603334130972	40286.77551498127
1.49116145E7	1069.4006841935136	0.0
1.52709305E7	425.94260177177813	0.0
1.56302465E7	751.4162598335568	40286.77551498127
1.59895625E7	449.7193896176592	0.0
1.63488785E7	901.5825268440163	0.0
1.67081945E7	769.519234494247	40286.77551498127
1.70675105E7	1006.2922846913483	0.0
1.74268265E7	767.9104565393193	0.0
1.77861425E7	2089.418090062112	40286.77551498127
1.81454585E7	969.9912303642101	0.0
1.85047745E7	648.555490470733	0.0
1.88640905E7	556.0557549960827	40286.77551498127
1.92234065E7	605.7560635313282	0.0
1.95827225E7	698.1497137759275	0.0
1.99420385E7	560.1275571110749	40286.77551498127
2.03013545E7	929.0720765781303	0.0
2.06606705E7	954.9468926191012	0.0
2.10199865E7	878.3219114172838	40286.77551498127
2.13793025E7	1215.5844191996182	0.0
2.17386185E7	531.7146559002779	0.0
2.20979345E7	474.8600826628586	40286.77551498127
2.24572505E7	546.610356851843	0.0
2.28165665E7	1514.7002787342187	0.0
2.31758825E7	989.0615491009681	40286.77551498127
2.34346265E7	434.4465087665334	0.0
2.36142845E7	3584.917505030181	0.0
2.38945145E7	1947.9912457912458	40286.77551498127
2.42538305E7	3395.1758764111705	0.0
2.46131465E7	4532.247014852927	0.0
2.49724625E7	2440.876669795653	40286.77551498127
2.53317785E7	1644.0897428522119	0.0
2.56910945E7	2875.4132762312634	0.0
2.60504105E7	10202.21092845566	40286.77551498127
2.64097265E7	5495.788865137971	0.0
2.67690425E7	1487.0510440835267	0.0
2.71283585E7	1162.418622646376	40286.77551498127
2.74876745E7	3217.632306798373	0.0
2.78469905E7	6220.966996891432	0.0
2.82063065E7	640.5200703178913	40286.77551498127
2.85656225E7	885.2180021367521	0.0
2.89249385E7	1124.0898302235669	0.0
2.92842545E7	576.8615208861074	40286.77551498127
2.96435705E7	585.3547259467686	0.0
3.00028865E7	867.9775133608954	0.0
3.03622025E7	917.4221755328366	40286.77551498127
3.07215185E7	565.7740042636723	0.0
3.10808345E7	621.0198937515811	0.0
3.14401505E7	436.22521039424913	40286.77551498127
3.17994665E7	428.1713033136674	0.0
3.21587825E7	622.7999522914989	0.0
3.25180985E7	425.36129074522944	40286.77551498127
3.28774145E7	607.1716506936532	0.0
3.32367305E7	478.07013462859624	0.0
3.35960465E7	804.2058922627677	40286.77551498127
3.39553625E7	1270.6216899264145	0.0
3.43146785E7	532.0769093560808	0.0
3.46739945E7	695.003176391079	40286.77551498127
3.50333105E7	1198.9755613650157	0.0
3.53926265E7	453.39158821450377	0.0
3.57519425E7	1123.4600101179026	40286.77551498127
3.61112585E7	571.0161576819804	0.0
3.64705745E7	494.89901389301286	0.0
3.68298905E7	521.1357699458091	40286.77551498127
3.71892065E7	592.3692911535505	0.0
3.75485225E7	1106.453964576816	0.0
3.79078385E7	533.7824369663898	40286.77551498127
3.82671545E7	381.75172575172576	0.0
3.86264705E7	735.1739307762184	0.0
3.89857865E7	489.94445109004454	40286.77551498127
3.93451025E7	791.0598	0.0
3.97044185E7	649.9156124233727	0.0
4.00637345E7	488.3693439361198	40286.77551498127
4.04230505E7	444.631602566626	0.0
4.07823665E7	998.8867597414953	0.0
4.11416825E7	444.8159341667482	40286.77551498127
4.15009985E7	510.64446164500754	0.0
4.18603145E7	550.7907767639293	0.0
4.22196305E7	799.4145608455008	40286.77551498127
4.25789465E7	873.3717946530633	0.0
4.29382625E7	788.2800744151326	0.0
4.32975785E7	415.80314397999285	40286.77551498127
4.36568945E7	427.50172242210823	0.0
4.40162105E7	881.7578425280213	0.0
4.43755265E7	497.59842069717905	40286.77551498127
4.47348425E7	790.5000684623359	0.0
4.50941585E7	886.6682435052346	0.0
4.54534745E7	624.2993775295259	40286.77551498127
4.58127905E7	716.9455099342824	0.0
4.61721065E7	714.8868947344806	0.0
4.65314225E7	607.60106858708	40286.77551498127
4.68907385E7	614.0281184326036	0.0
4.72500545E7	555.7735372764043	0.0
4.76093705E7	649.1891445181146	40286.77551498127
4.79686865E7	607.5855759736515	0.0
4.83280025E7	460.27436624545345	0.0
4.86541545E7	1180.7689742176851	40286.77551498127
4.88338125E7	2129.2473684210527	0.0
4.90466345E7	493.89305034387246	0.0
4.94059505E7	803.1785479751916	40286.77551498127
4.97652665E7	669.4328158458244	0.0
5.01245825E7	532.4988825926617	0.0
5.04838985E7	534.0561250514813	40286.77551498127
5.08432145E7	578.4133029493621	0.0
5.12025305E7	983.7266888956724	0.0
5.15618465E7	479.5964024763151	40286.77551498127
