#Duplication rate	Coverage
1.0	4098440.0
2.0	2420765.0
3.0	1505149.0
4.0	1010083.0
5.0	708563.0
6.0	518189.0
7.0	390520.0
8.0	301487.0
9.0	236728.0
10.0	190684.0
11.0	154654.0
12.0	128000.0
13.0	107048.0
14.0	90984.0
15.0	77403.0
16.0	66735.0
17.0	58158.0
18.0	50940.0
19.0	44857.0
20.0	39800.0
21.0	35604.0
22.0	31480.0
23.0	28132.0
24.0	25786.0
25.0	22991.0
26.0	21520.0
27.0	19592.0
28.0	17775.0
29.0	16200.0
30.0	15043.0
31.0	13972.0
32.0	12921.0
33.0	11808.0
34.0	11003.0
35.0	10429.0
36.0	9547.0
37.0	8950.0
38.0	8601.0
39.0	7940.0
40.0	7414.0
41.0	7179.0
42.0	6715.0
43.0	6258.0
44.0	5990.0
45.0	5791.0
46.0	5397.0
47.0	5045.0
48.0	4920.0
49.0	4674.0
50.0	186569.0
