#Coverage (X)	Coverage
1.0	39.382002708180806
2.0	33.241075612748205
3.0	28.997869849604527
4.0	26.62170342705282
5.0	24.7804743083301
6.0	23.506963618176755
7.0	22.465648908817485
8.0	21.650202863083877
9.0	20.962564588695642
10.0	20.384925199547396
11.0	19.890240876525596
12.0	19.453242009751307
13.0	19.064473803424946
14.0	18.718070234779105
15.0	18.402581044451523
16.0	18.116696796450242
17.0	17.855908912014414
18.0	17.61648250676312
19.0	17.394193571181376
20.0	17.189801188514252
21.0	16.99709632220899
22.0	16.817280564166822
23.0	16.647334975615635
24.0	16.487882964976663
25.0	16.336492126177717
26.0	16.193884666742505
27.0	16.058258546703343
28.0	15.929334762960991
29.0	15.803669262295358
30.0	15.683907355886802
31.0	15.568444601972587
32.0	15.458305171530483
33.0	15.351316875842699
34.0	15.249442477360503
35.0	15.15026626845156
36.0	15.053017337809209
37.0	14.959460153911479
38.0	14.86936233013705
39.0	14.781246750327071
40.0	14.695514177038078
41.0	14.612328115826969
42.0	14.5305655966135
43.0	14.44988430138065
44.0	14.371510173921095
45.0	14.294658387561654
46.0	14.21987581620759
47.0	14.146587059452216
48.0	14.073808300880756
49.0	14.003543353275802
50.0	13.934559315161394
51.0	13.867126840416844
