#Duplication rate	Coverage
1.0	3793021.0
2.0	2401223.0
3.0	1607300.0
4.0	1139753.0
5.0	851266.0
6.0	654376.0
7.0	515702.0
8.0	415608.0
9.0	339157.0
10.0	281440.0
11.0	236372.0
12.0	199376.0
13.0	170636.0
14.0	147736.0
15.0	128485.0
16.0	112229.0
17.0	98580.0
18.0	87862.0
19.0	77221.0
20.0	69715.0
21.0	61991.0
22.0	56107.0
23.0	50901.0
24.0	45883.0
25.0	42006.0
26.0	38321.0
27.0	35128.0
28.0	32380.0
29.0	29587.0
30.0	27612.0
31.0	25568.0
32.0	23603.0
33.0	21967.0
34.0	20569.0
35.0	19149.0
36.0	17822.0
37.0	16624.0
38.0	15498.0
39.0	14727.0
40.0	13566.0
41.0	13103.0
42.0	12182.0
43.0	11430.0
44.0	10897.0
45.0	10367.0
46.0	9974.0
47.0	9398.0
48.0	9029.0
49.0	8477.0
50.0	309377.0
