#Position (bp)	insert size	chromosomes
179658.5	456.49509316529577	0.0
538974.5	497.26441207937063	39768.559129803034
898290.5	766.1757516031234	0.0
1257606.5	583.1701114167702	0.0
1616922.5	539.0995776333621	39768.559129803034
1976238.5	478.2076902176295	0.0
2335554.5	600.5098655932319	0.0
2694870.5	570.2960874085853	39768.559129803034
3054186.5	759.0793675174666	0.0
3413502.5	402.0656916961894	0.0
3772818.5	810.8492936290979	39768.559129803034
4132134.5	437.3139143630006	0.0
4491450.5	387.5825660802428	0.0
4850766.5	491.49751571616156	39768.559129803034
5210082.5	552.4914236799618	0.0
5569398.5	637.257757587536	0.0
5928714.5	1006.570008281224	39768.559129803034
6288030.5	446.0487945092978	0.0
6647346.5	564.6421335138664	0.0
7006662.5	422.154992444415	39768.559129803034
7365978.5	1031.0263135464231	0.0
7725294.5	474.9028183804036	0.0
8084610.5	632.1328538353788	39768.559129803034
8443926.5	703.1627706810278	0.0
8803242.5	831.1569053656966	0.0
9162558.5	452.8977404717288	39768.559129803034
9521874.5	633.5653850573979	0.0
9881190.5	382.5337889497653	0.0
1.02405065E7	406.6317233327738	39768.559129803034
1.05998225E7	503.55731510254816	0.0
1.09591385E7	462.0977156852628	0.0
1.13184545E7	387.0766704559808	39768.559129803034
1.16777705E7	495.1391601772577	0.0
1.20370865E7	819.4021702991183	0.0
1.23964025E7	2169.5805751044645	39768.559129803034
1.27557185E7	667.770360884515	0.0
1.31150345E7	457.63117960163896	0.0
1.34743505E7	479.6734231997749	39768.559129803034
1.38336665E7	391.4957998801172	0.0
1.41929825E7	720.5967836379606	0.0
1.45522985E7	803.8583436883268	39768.559129803034
1.49116145E7	965.2719397215654	0.0
1.52709305E7	370.67553711822035	0.0
1.56302465E7	680.4498918197303	39768.559129803034
1.59895625E7	852.3759946949602	0.0
1.63488785E7	818.1485324138945	0.0
1.67081945E7	722.2060310810668	39768.559129803034
1.70675105E7	573.2010201128636	0.0
1.74268265E7	574.2452148988159	0.0
1.77861425E7	4564.460342639594	39768.559129803034
1.81454585E7	1094.2549180096526	0.0
1.85047745E7	484.58962064450066	0.0
1.88640905E7	549.158087559805	39768.559129803034
1.92234065E7	551.0869729442377	0.0
1.95827225E7	603.2890879704456	0.0
1.99420385E7	3296.9977276355203	39768.559129803034
2.03013545E7	8266.883519014818	0.0
2.06606705E7	961.4740152851264	0.0
2.10199865E7	894.7290617789813	39768.559129803034
2.13793025E7	1167.3094062910893	0.0
2.17386185E7	456.48567460512226	0.0
2.20979345E7	2388.620355055207	39768.559129803034
2.24572505E7	525.5576675604285	0.0
2.28165665E7	1875.707628268935	0.0
2.31758825E7	1232.2915349173368	39768.559129803034
2.34346265E7	561.0593734915271	0.0
2.36142845E7	6955.163313609468	0.0
2.38945145E7	2616.8044292460513	39768.559129803034
2.42538305E7	2016.008774432872	0.0
2.46131465E7	4568.441444002274	0.0
2.49724625E7	1785.67092998049	39768.559129803034
2.53317785E7	17067.663686698474	0.0
2.56910945E7	4010.8219150233786	0.0
2.60504105E7	11737.212891511575	39768.559129803034
2.64097265E7	3599.6975655798956	0.0
2.67690425E7	3212.6105604613444	0.0
2.71283585E7	2241.4535944016397	39768.559129803034
2.74876745E7	3967.085280612245	0.0
2.78469905E7	6261.189427809295	0.0
2.82063065E7	667.6546329811667	39768.559129803034
2.85656225E7	768.8093717179564	0.0
2.89249385E7	854.0525810580205	0.0
2.92842545E7	545.5449966792119	39768.559129803034
2.96435705E7	655.7687580591349	0.0
3.00028865E7	741.7954762041448	0.0
3.03622025E7	853.7273566537594	39768.559129803034
3.07215185E7	486.4062665958577	0.0
3.10808345E7	510.0195800975167	0.0
3.14401505E7	405.8511342195725	39768.559129803034
3.17994665E7	499.1649375609134	0.0
3.21587825E7	546.160383588106	0.0
3.25180985E7	379.9070681439299	39768.559129803034
3.28774145E7	513.928590152475	0.0
3.32367305E7	391.18901022155694	0.0
3.35960465E7	650.2989606476999	39768.559129803034
3.39553625E7	1465.3564856336156	0.0
3.43146785E7	451.49783798988665	0.0
3.46739945E7	669.2234522634325	39768.559129803034
3.50333105E7	899.6513219423125	0.0
3.53926265E7	414.343450826687	0.0
3.57519425E7	964.9672129485022	39768.559129803034
3.61112585E7	512.4513870195631	0.0
3.64705745E7	451.0882423793199	0.0
3.68298905E7	492.2530271937082	39768.559129803034
3.71892065E7	613.8295362740346	0.0
3.75485225E7	892.0324174220704	0.0
3.79078385E7	502.2203471303242	39768.559129803034
3.82671545E7	385.99660115168666	0.0
3.86264705E7	649.5383848703062	0.0
3.89857865E7	414.8123897469129	39768.559129803034
3.93451025E7	688.4220146597411	0.0
3.97044185E7	592.593529321994	0.0
4.00637345E7	474.5241267498123	39768.559129803034
4.04230505E7	385.0706540702746	0.0
4.07823665E7	815.3104647330765	0.0
4.11416825E7	409.64408420252755	39768.559129803034
4.15009985E7	441.8080967160024	0.0
4.18603145E7	533.9715638355043	0.0
4.22196305E7	607.2155708908989	39768.559129803034
4.25789465E7	699.8483662256502	0.0
4.29382625E7	677.7473694854899	0.0
4.32975785E7	445.81828973400746	39768.559129803034
4.36568945E7	376.7538861362091	0.0
4.40162105E7	814.1853006103104	0.0
4.43755265E7	466.72917105572975	39768.559129803034
4.47348425E7	787.0008774416904	0.0
4.50941585E7	813.9358582533669	0.0
4.54534745E7	775.9525639641585	39768.559129803034
4.58127905E7	583.5427587814947	0.0
4.61721065E7	636.625744799451	0.0
4.65314225E7	784.257777395993	39768.559129803034
4.68907385E7	570.4528617120866	0.0
4.72500545E7	473.7035339489724	0.0
4.76093705E7	565.7061300420927	39768.559129803034
4.79686865E7	570.2991438215946	0.0
4.83280025E7	399.6059307319424	0.0
4.86541545E7	1350.9558993476235	39768.559129803034
4.88338125E7	2359.705521472393	0.0
4.90466345E7	433.9386576416413	0.0
4.94059505E7	730.8704761158506	39768.559129803034
4.97652665E7	559.3162828678752	0.0
5.01245825E7	509.98512460980515	0.0
5.04838985E7	447.4131062740717	39768.559129803034
5.08432145E7	588.703855669598	0.0
5.12025305E7	801.8943974132341	0.0
5.15618465E7	429.5476103229859	39768.559129803034
5.19211625E7	438.37803667537355	0.0
5.22804785E7	1097.8192358406209	0.0
5.26397945E7	527.6059633570517	39768.559129803034
5.29991105E7	700.3751246627974	0.0
5.33584265E7	666.6962583058244	0.0
5.37177425E7	375.67563234770216	39768.559129803034
5.40770585E7	831.557576584997	0.0
5.44363745E7	537.1548063114732	0.0
5.47956905E7	456.2506676715875	39768.559129803034
5.51550065E7	465.81287457774874	0.0
5.55143225E7	525.5318853375713	0.0
5.58736385E7	535.306580108408	39768.559129803034
5.62329545E7	430.5534037963762	0.0
5.65922705E7	791.653306673482	0.0
5.69515865E7	490.6371251149799	39768.559129803034
5.73109025E7	508.119455629066	0.0
5.76702185E7	386.24631971059137	0.0
5.80295345E7	701.7690278383178	39768.559129803034
5.83888505E7	593.6334889192677	0.0
5.87481665E7	495.8335488218654	0.0
5.91074825E7	1736.7862054485329	39768.559129803034
5.94667985E7	357.9953753218459	0.0
5.98261145E7	485.3721100242423	0.0
6.01854305E7	791.0112327271682	39768.559129803034
6.05447465E7	517.7004865783531	0.0
6.09040625E7	549.2828334008917	0.0
6.12633785E7	611.3386754228736	39768.559129803034
6.16226945E7	525.615077815012	0.0
6.19820105E7	672.2836143977515	0.0
6.23413265E7	494.9302571432826	39768.559129803034
6.27006425E7	458.89205384369495	0.0
6.30599585E7	1013.2684966305613	0.0
6.34192745E7	549.7856944332374	39768.559129803034
6.37785905E7	600.8140408072632	0.0
6.41379065E7	529.6769036494507	0.0
6.44972225E7	465.76223828768633	39768.559129803034
6.48565385E7	507.4934771713654	0.0
6.52158545E7	565.4175214118443	0.0
6.55751705E7	628.1651782846129	39768.559129803034
6.59344865E7	738.9739677399265	0.0
6.62938025E7	523.5739904621023	0.0
6.66531185E7	476.4704750275407	39768.559129803034
6.70124345E7	636.7273869346734	0.0
6.73717505E7	440.02614312856235	0.0
6.77310665E7	486.9941893424036	39768.559129803034
6.80903825E7	853.0227665330335	0.0
6.84496985E7	473.59450485598074	0.0
