#Coverage (X)	Coverage
1.0	41.391583410216896
2.0	35.82519188142449
3.0	31.610440259793762
4.0	29.180440850222766
5.0	27.182283968352493
6.0	25.804753825963928
7.0	24.62408437409954
8.0	23.702261613037834
9.0	22.898483602152922
10.0	22.219179936557325
11.0	21.61522171889257
12.0	21.09103821033021
13.0	20.622800041428803
14.0	20.203384631821848
15.0	19.82446641770497
16.0	19.479399420015852
17.0	19.159814937313826
18.0	18.8647493304656
19.0	18.591343687414323
20.0	18.336796844874314
21.0	18.102892057068416
22.0	17.882719648738288
23.0	17.675645774937777
24.0	17.480482759132187
25.0	17.296636415170013
26.0	17.122070229157274
27.0	16.955700194040034
28.0	16.79681105997784
29.0	16.64615773560581
30.0	16.50050281089706
31.0	16.362579959609505
32.0	16.230459816171575
33.0	16.104218915099267
34.0	15.981762297959108
35.0	15.86493096774511
36.0	15.75130295490996
37.0	15.64143209104219
38.0	15.535272455432207
39.0	15.433639488559592
40.0	15.33563634505046
41.0	15.241859298361305
42.0	15.150271138829808
43.0	15.061965614266484
44.0	14.977357402594393
45.0	14.894876154698835
46.0	14.815111882121357
47.0	14.736209666501395
48.0	14.659308480590724
49.0	14.585300299384926
50.0	14.512447789370768
51.0	14.441773729989364
