#Duplication rate	Coverage
1.0	4002365.0
2.0	2385459.0
3.0	1518650.0
4.0	1036062.0
5.0	738347.0
6.0	545553.0
7.0	415202.0
8.0	322404.0
9.0	256709.0
10.0	206314.0
11.0	168481.0
12.0	140541.0
13.0	117526.0
14.0	99835.0
15.0	85090.0
16.0	73995.0
17.0	64175.0
18.0	56485.0
19.0	49155.0
20.0	43668.0
21.0	38576.0
22.0	35037.0
23.0	31308.0
24.0	28147.0
25.0	25666.0
26.0	23165.0
27.0	21034.0
28.0	19690.0
29.0	17733.0
30.0	16744.0
31.0	15307.0
32.0	14057.0
33.0	12964.0
34.0	12005.0
35.0	11287.0
36.0	10651.0
37.0	9795.0
38.0	9411.0
39.0	8649.0
40.0	8134.0
41.0	7607.0
42.0	7181.0
43.0	6738.0
44.0	6411.0
45.0	6086.0
46.0	5673.0
47.0	5538.0
48.0	5089.0
49.0	4984.0
50.0	192955.0
