#Coverage (X)	Coverage
1.0	38.77072570348127
2.0	32.59062058930715
3.0	28.420051647996175
4.0	26.07960597136767
5.0	24.29066314667267
6.0	23.051608991391845
7.0	22.048173301307045
8.0	21.262468568491897
9.0	20.60670483271359
10.0	20.05716683053636
11.0	19.578644509989246
12.0	19.158605691961043
13.0	18.789463022842625
14.0	18.458172238033896
15.0	18.159713369053463
16.0	17.88970516274435
17.0	17.642474324165818
18.0	17.414022272740908
19.0	17.2011616937623
20.0	17.00228536239395
21.0	16.820402476651395
22.0	16.648948462366633
23.0	16.488259375641746
24.0	16.338193975506286
25.0	16.193303700189233
26.0	16.056830830095763
27.0	15.927223106087695
28.0	15.802320167508768
29.0	15.683138531885177
30.0	15.567805190879838
31.0	15.458267600040841
32.0	15.352503160840755
33.0	15.249986568192469
34.0	15.151573617138567
35.0	15.057930157968244
36.0	14.967101777450154
37.0	14.877937674770948
38.0	14.79313256066223
39.0	14.70967654134013
40.0	14.628424716078896
41.0	14.549171833221976
42.0	14.470385115144339
43.0	14.39440582226733
44.0	14.31997322238189
45.0	14.247586877147015
46.0	14.17690377277735
47.0	14.10758924470747
48.0	14.039716348611748
49.0	13.972689506802013
50.0	13.907586464417236
51.0	13.842835480806073
