#Duplication rate	Coverage
1.0	3762101.0
2.0	2322354.0
3.0	1533323.0
4.0	1076093.0
5.0	789557.0
6.0	597719.0
7.0	463791.0
8.0	367788.0
9.0	296538.0
10.0	243520.0
11.0	201838.0
12.0	169518.0
13.0	143174.0
14.0	123147.0
15.0	105218.0
16.0	92050.0
17.0	80846.0
18.0	70598.0
19.0	62325.0
20.0	54984.0
21.0	49840.0
22.0	44502.0
23.0	40013.0
24.0	36080.0
25.0	33150.0
26.0	29882.0
27.0	27479.0
28.0	25088.0
29.0	23076.0
30.0	21178.0
31.0	19580.0
32.0	18379.0
33.0	16891.0
34.0	15686.0
35.0	14797.0
36.0	13648.0
37.0	12937.0
38.0	11990.0
39.0	11323.0
40.0	10500.0
41.0	9983.0
42.0	9436.0
43.0	9118.0
44.0	8551.0
45.0	7870.0
46.0	7565.0
47.0	7316.0
48.0	6682.0
49.0	6372.0
50.0	242203.0
