#Position (bp)	mapping quality
179658.5	144.9864158866875
538974.5	141.69691805164248
898290.5	88.4168874800856
1257606.5	108.81457489373365
1616922.5	120.88148162518088
1976238.5	143.54970611975543
2335554.5	116.08595443609093
2694870.5	140.54359288838504
3054186.5	119.85930668350098
3413502.5	164.25273628516874
3772818.5	91.85106238156301
4132134.5	147.9313602822875
4491450.5	173.70816968249125
4850766.5	140.0629502003599
5210082.5	121.84655868717067
5569398.5	107.68901355408347
5928714.5	73.8904703451486
6288030.5	44.931366918269646
6647346.5	121.72239867738855
7006662.5	145.25517410275748
7365978.5	59.98037847512108
7725294.5	139.86526721867645
8084610.5	107.95629911206935
8443926.5	77.03722996261928
8803242.5	71.44006856701084
9162558.5	128.17937935817358
9521874.5	99.36149536079071
9881190.5	185.1693560111001
1.02405065E7	162.7655810309494
1.05998225E7	133.3912984985875
1.09591385E7	139.974287738839
1.13184545E7	146.1508736809728
1.16777705E7	122.54013878606744
1.20370865E7	114.06672306499591
1.23964025E7	24.752779887419447
1.27557185E7	109.70076931337348
1.31150345E7	148.28508938225525
1.34743505E7	133.94584536412083
1.38336665E7	168.40616110109673
1.41929825E7	82.97547873406339
1.45522985E7	62.03049822377852
1.49116145E7	70.40755369993718
1.52709305E7	149.6497539199527
1.56302465E7	99.96282467464084
1.59895625E7	52.938550719851676
1.63488785E7	70.27616155179854
1.67081945E7	91.51929791473265
1.70675105E7	112.17675553093034
1.74268265E7	111.40526771901115
1.77861425E7	9.379888257263083
1.81454585E7	104.28803215368265
1.85047745E7	102.65379765742126
1.88640905E7	131.0911950024422
1.92234065E7	120.79806942132707
1.95827225E7	106.92875797993449
1.99420385E7	138.68452875663206
2.03013545E7	83.17750786020903
2.06606705E7	88.85649663072499
2.10199865E7	65.89999496390809
2.13793025E7	51.59572679508601
2.17386185E7	144.6604706888033
2.20979345E7	168.85159930727212
2.24572505E7	134.38106170283902
2.28165665E7	39.83323424420018
2.31758825E7	74.91633540295712
2.34346265E7	44.132025633936934
2.36142845E7	18.108420491341793
2.38945145E7	15.892680471918567
2.42538305E7	24.042352544868997
2.46131465E7	13.781028978372674
2.49724625E7	45.22644608812541
2.53317785E7	2.642642611271193
2.56910945E7	10.39416728255372
2.60504105E7	4.200036531231272
2.64097265E7	5.916575022793366
2.67690425E7	12.413429073201401
2.71283585E7	54.46752616235563
2.74876745E7	21.24392178999346
2.78469905E7	10.672589678089276
