#Read position (bp)	Clipping profile
0.0	7.7280361705221
1.0	4.325179554137925
2.0	2.167165859821068
3.0	1.9269251529211908
4.0	1.7386378993588885
5.0	1.6172123801764735
6.0	1.5042144194360916
7.0	1.4036133506028439
8.0	1.335049226137118
9.0	1.2783552711758994
10.0	1.2216584061461577
11.0	1.1700541610313189
12.0	1.1241856609749217
13.0	1.0784597542761418
14.0	1.027312389919383
15.0	0.9858962947028722
16.0	0.9457664497734395
17.0	0.9072575130112073
18.0	0.8712832459323354
19.0	0.8410185332951998
20.0	0.8066768146576194
21.0	0.779738310342046
22.0	0.7521072097180458
23.0	0.7273367064519595
24.0	0.6995862930185244
25.0	0.6750776959194903
26.0	0.6519164605465132
27.0	0.6284700384583015
28.0	0.6088183457238231
29.0	0.590950524993822
30.0	0.5732951392659853
31.0	0.5562275873797545
32.0	0.5392211469325026
33.0	0.5221535950462718
34.0	0.4978923537716758
35.0	0.4777750500735491
36.0	0.46127496154926456
37.0	0.44820584381336304
38.0	0.42319962499692987
39.0	0.40950484252862607
40.0	0.39834763981220517
41.0	0.3867568368858868
42.0	0.3755588932101467
43.0	0.3650855565965841
44.0	0.353550044972199
45.0	0.34146744046552713
46.0	0.32754567265244483
47.0	0.3132892469592403
48.0	0.2986719727692084
49.0	0.2893073722628332
50.0	0.28106023806921376
51.0	0.2728683951775276
52.0	0.26030271929607074
53.0	0.2512844169439089
54.0	0.2403745700519261
55.0	0.23064039084315513
56.0	0.22059192423392154
57.0	0.21470776568081693
58.0	0.20914953480226606
59.0	0.20307040165813378
60.0	0.19723862433843956
61.0	0.19016715782803195
62.0	0.18507162784460654
63.0	0.18088985937734078
64.0	0.17545094130822478
65.0	0.17027101933763814
66.0	0.16462839647192606
67.0	0.1615757345915073
68.0	0.15703311762741415
69.0	0.1521005514812656
70.0	0.1325798118303132
71.0	0.12928561426250193
72.0	0.12786259075485198
73.0	0.12453056229624429
74.0	0.12329087310553083
75.0	0.12018000985465604
76.0	0.12104721027445088
77.0	0.12191732076276852
78.0	0.12382923578224912
79.0	0.12628533361549357
80.0	0.1287036005579416
81.0	0.1317853631235884
82.0	0.13370600834863738
83.0	0.13806820106431683
84.0	0.1421102862424881
85.0	0.14648993936930435
86.0	0.15125372154113037
87.0	0.15490003740020064
88.0	0.1592826005955397
89.0	0.1645527346903332
90.0	0.1700236635132
91.0	0.17521813582640067
92.0	0.1810644634887089
93.0	0.18708539526238516
94.0	0.19315870826947187
95.0	0.19970927251429807
96.0	0.2060561319625281
97.0	0.2131188682673673
98.0	0.22020488512038894
99.0	0.22842000856025754
100.0	0.23617534117352357
101.0	0.24458252913589704
102.0	0.25291114524815494
103.0	0.2617723039000855
104.0	0.2705578007704232
105.0	0.27928509627030484
106.0	0.28882139081952535
107.0	0.29935874894058956
108.0	0.30913075904015697
109.0	0.31916176523825374
110.0	0.33021711555637656
111.0	0.3420843749923611
112.0	0.35359951613708657
113.0	0.36589746571444565
114.0	0.3784078502939693
115.0	0.3919396689249962
116.0	0.40586143673807856
117.0	0.41985595626423095
118.0	0.4332859224969598
119.0	0.44801959942790376
120.0	0.46405407698854007
121.0	0.480399931881116
122.0	0.4961550428635633
123.0	0.5128355556362614
124.0	0.5313785122635526
125.0	0.5493132645695782
126.0	0.5679842642118725
127.0	0.5891026314818429
128.0	0.6107797319081912
129.0	0.633975888103442
130.0	0.6562553727140102
131.0	0.6800102620656387
132.0	0.7061717780856241
133.0	0.7315097447136568
134.0	0.7581717925195641
135.0	0.7858174434861783
136.0	0.8152382362517014
137.0	0.8477291513087801
138.0	0.8809563137021273
139.0	0.9159091467294963
140.0	0.9559458694661991
141.0	0.998403769213873
142.0	1.0915608827657943
143.0	1.199373101398544
144.0	1.3004281409213487
145.0	1.39590166901742
146.0	1.519483548975231
147.0	1.6998059449906253
148.0	3.76016355981931
149.0	6.963770694515789
