#Position (bp)	Coverage	Std
179658.5	292.42677197786907	401.13889093470516
538974.5	299.8454118380478	2167.5710941747157
898290.5	287.77969809304346	498.9432588505816
1257606.5	157.64420176112392	282.4856780798859
1616922.5	116.1287919268833	273.327829940491
1976238.5	115.09823943269991	262.4270433637627
2335554.5	175.88605294504	307.1109819356579
2694870.5	234.4295800910619	1257.0660798454726
3054186.5	262.19099344309745	308.4570348875467
3413502.5	120.88278840908838	412.2371920985394
3772818.5	112.40131805986931	162.3028178625555
4132134.5	121.7356338153603	1275.5571487362224
4491450.5	204.01255440893252	2239.7509905982615
4850766.5	208.11852519787595	369.6744127015385
5210082.5	282.4585573701143	1418.9088041657465
5569398.5	174.71880461766244	401.30029661504153
5928714.5	714.8547434570128	1469.2426092452629
6288030.5	240.6477446036358	333.4793260719617
6647346.5	316.3406054837525	897.3091133946092
7006662.5	331.9817430896481	1089.5484289921285
7365978.5	187.6814113482283	220.4564989431751
7725294.5	283.80620122677533	1548.768179968352
8084610.5	461.7826425764508	1602.310082090535
8443926.5	781.7626239855725	1686.531143635709
8803242.5	74.54995881062908	247.51223346370236
9162558.5	59.25064010508856	233.28676165471475
9521874.5	229.15481080720033	506.95927957343986
9881190.5	468.2656269133576	2823.7483598958443
1.02405065E7	673.7733833171916	3132.0829481652127
1.05998225E7	258.06337596989835	437.68813142613203
1.09591385E7	450.7823976666778	2084.907888670451
1.13184545E7	47.663321421812554	377.4215881948236
1.16777705E7	105.26704349374924	278.5804794306283
1.20370865E7	253.8801584120941	609.6440532671317
1.23964025E7	1061.0317631277205	523.4851389709986
1.27557185E7	105.94559385053824	268.69103440168976
1.31150345E7	204.2539046410402	318.7238188329311
1.34743505E7	232.4994378207483	1332.1600071142138
1.38336665E7	100.58113749457303	200.03505112874853
1.41929825E7	84.58303554531388	164.65013588073444
1.45522985E7	39.12711095525944	179.19434059456515
1.49116145E7	244.77854312081845	464.19089415938095
1.52709305E7	86.95992385532512	216.36178898518617
1.56302465E7	81.84171870999343	166.24222188835256
1.59895625E7	74.31240746306872	744.1834469942761
1.63488785E7	364.88046176624476	368.32346753335986
1.67081945E7	314.5938839350321	429.6876111948417
1.70675105E7	63.268003651382074	123.9482518217975
1.74268265E7	177.78995368978838	290.5669540354003
1.77861425E7	40.987042046555125	26.311146564851402
1.81454585E7	104.83141023500205	967.3234400297262
1.85047745E7	265.5562791526122	1625.9607558752234
1.88640905E7	268.4105411392757	1266.1109438835388
1.92234065E7	215.08721570984872	610.42836509522
1.95827225E7	260.27864331118013	381.36981795023263
1.99420385E7	113.44658740495831	331.6932576205312
2.03013545E7	140.14413496754946	269.89223524272256
2.06606705E7	195.2019893352926	293.57772090717174
2.10199865E7	285.2187433902192	374.1399313378749
2.13793025E7	297.65124848322927	518.9664301695667
2.17386185E7	494.52519787596435	2245.946223664044
2.20979345E7	204.67650758663683	2105.3009210642763
2.24572505E7	253.59495263222345	2364.9721866131267
2.28165665E7	79.82667067428113	85.714975094423
2.31758825E7	52.55626523728417	178.5544020533998
2.34346265E7	34.55255038818501	258.5983485853212
2.36142845E7	4.985875790478463	2.913213079103353
2.38945145E7	19.177498357991293	26.842328266779536
2.42538305E7	46.23852820358682	62.70839999788975
2.46131465E7	218.72432900288325	112.89613333915094
2.49724625E7	97.42985561455654	178.71512616204996
2.53317785E7	55.95340313261864	347.1808654701243
2.56910945E7	29.591331863874696	17.588117583408362
2.60504105E7	119.70131861648242	25.060940097840277
2.64097265E7	158.67765420966504	76.62913495527249
2.67690425E7	17.658746061962173	20.96536481258101
2.71283585E7	34.432775050373486	68.70993527059453
2.74876745E7	173.36781829921296	102.94016529977567
2.78469905E7	556.1313662625655	235.37911331543566
2.82063065E7	312.59002103997597	1741.4698127286947
2.85656225E7	107.36806599205157	164.9523008149814
2.89249385E7	204.03189949793497	289.37583529445953
2.92842545E7	149.25968506829642	270.95186426395054
2.96435705E7	239.9028014338354	902.2420875220232
3.00028865E7	209.2041712587249	556.8468019018117
3.03622025E7	399.7003361943248	471.34868901276167
3.07215185E7	63.39370637544668	112.25362409725118
3.10808345E7	319.19332843513786	389.47811310708244
3.14401505E7	275.4768810740407	506.5639184506225
3.17994665E7	219.71808380367142	756.4877779058862
3.21587825E7	120.85405325674337	239.7489887307872
3.25180985E7	272.66687261352126	508.6740837058332
3.28774145E7	126.72481325629808	283.71281421187774
3.32367305E7	337.977053624108	1826.6957066723467
3.35960465E7	480.28487459506397	754.910722151078
3.39553625E7	366.31861648242773	384.6502761604292
3.43146785E7	160.94077636398046	310.1190223737494
3.46739945E7	96.07929788820982	176.5129709506504
3.50333105E7	322.50107704638816	341.5690781551931
3.53926265E7	748.6917420877445	5155.815659184258
3.57519425E7	1039.8125493994144	2056.746709646428
3.61112585E7	260.0434603524474	543.2862571111451
3.64705745E7	183.26571597145687	1043.5417672126437
3.68298905E7	181.85932716605996	285.47893930762865
3.71892065E7	220.39412105222144	1083.6254557795464
3.75485225E7	612.2422074163132	899.2262982293789
3.79078385E7	571.419338409645	3479.7436818450024
3.82671545E7	171.65495274354606	767.440751794452
3.86264705E7	111.95400705785437	218.24177356050913
3.89857865E7	93.03465473288136	178.15261582805314
3.93451025E7	183.44044239610815	280.3935191511013
3.97044185E7	468.5688252123479	563.5361573172792
4.00637345E7	440.646798361331	2915.703856904843
4.04230505E7	188.41799418895903	678.4341148252524
4.07823665E7	481.5128633292144	1568.777517017775
4.11416825E7	438.3230972180476	1794.8879409519268
4.15009985E7	577.1529878992308	2374.5650916777468
4.18603145E7	203.9411938238208	350.8256350910986
4.22196305E7	357.58584365850675	536.9860488499032
4.25789465E7	156.07752507542108	186.5818975624126
4.29382625E7	792.3926293290585	2033.724084540884
4.32975785E7	69.88517627937526	294.7790342096307
4.36568945E7	160.4669093499872	1795.0127461013938
4.40162105E7	234.4358948669138	355.01999616301
4.43755265E7	101.59942780171214	254.61780957831272
4.47348425E7	308.378485789667	892.19548483047
4.50941585E7	562.4940748533324	850.0787333296379
4.54534745E7	91.88531264958978	490.6942896491769
4.58127905E7	180.24306460051875	250.25241760627165
4.61721065E7	505.418197352748	2230.0826555022168
4.65314225E7	351.0350721927217	1992.6985653201293
4.68907385E7	329.6522643021741	1043.0757186562857
4.72500545E7	311.0413674871144	769.2938973730793
4.76093705E7	773.3537081566087	2593.83584684915
4.79686865E7	260.6336400271627	521.5933782628033
4.83280025E7	477.620128243663	3328.216321718303
