#Insert size (bp)	insert size
26.0	5.0
27.0	1.0
28.0	3.0
29.0	7.0
30.0	4.0
31.0	58.0
32.0	55.0
33.0	58.0
34.0	53.0
35.0	63.0
36.0	66.0
37.0	69.0
38.0	105.0
39.0	95.0
40.0	107.0
41.0	96.0
42.0	81.0
43.0	118.0
44.0	139.0
45.0	152.0
46.0	161.0
47.0	167.0
48.0	198.0
49.0	181.0
50.0	201.0
51.0	235.0
52.0	170.0
53.0	229.0
54.0	191.0
55.0	223.0
56.0	214.0
57.0	196.0
58.0	225.0
59.0	254.0
60.0	255.0
61.0	297.0
62.0	265.0
63.0	320.0
64.0	256.0
65.0	271.0
66.0	317.0
67.0	344.0
68.0	326.0
69.0	350.0
70.0	387.0
71.0	447.0
72.0	469.0
73.0	471.0
74.0	543.0
75.0	480.0
76.0	536.0
77.0	546.0
78.0	618.0
79.0	682.0
80.0	658.0
81.0	765.0
82.0	778.0
83.0	882.0
84.0	870.0
85.0	1007.0
86.0	959.0
87.0	1023.0
88.0	1108.0
89.0	1246.0
90.0	1278.0
91.0	1344.0
92.0	1485.0
93.0	1538.0
94.0	1666.0
95.0	1688.0
96.0	1859.0
97.0	1952.0
98.0	1990.0
99.0	2105.0
100.0	2255.0
101.0	2428.0
102.0	2578.0
103.0	2704.0
104.0	2916.0
105.0	3009.0
106.0	3151.0
107.0	3375.0
108.0	3511.0
109.0	3573.0
110.0	3984.0
111.0	4011.0
112.0	4287.0
113.0	4467.0
114.0	4760.0
115.0	4848.0
116.0	4993.0
117.0	5241.0
118.0	5499.0
119.0	5763.0
120.0	6061.0
121.0	6148.0
122.0	6676.0
123.0	6779.0
124.0	7188.0
125.0	7529.0
126.0	7727.0
127.0	7998.0
128.0	8634.0
129.0	8968.0
130.0	9118.0
131.0	9448.0
132.0	10161.0
133.0	10680.0
134.0	10823.0
135.0	11254.0
136.0	11773.0
137.0	12075.0
138.0	12474.0
139.0	13308.0
140.0	13422.0
141.0	13788.0
142.0	14958.0
143.0	14896.0
144.0	15648.0
145.0	16093.0
146.0	17380.0
147.0	17108.0
148.0	17941.0
149.0	18821.0
150.0	19747.0
151.0	20104.0
152.0	21467.0
153.0	21747.0
154.0	22122.0
155.0	22805.0
156.0	23442.0
157.0	24793.0
158.0	25292.0
159.0	26573.0
160.0	26529.0
161.0	27502.0
162.0	28491.0
163.0	29993.0
164.0	30979.0
165.0	31716.0
166.0	32737.0
167.0	34541.0
168.0	35000.0
169.0	36194.0
170.0	37435.0
171.0	38767.0
172.0	39650.0
173.0	40147.0
174.0	42547.0
175.0	43378.0
176.0	44816.0
177.0	45030.0
178.0	47132.0
179.0	47764.0
180.0	48470.0
181.0	49817.0
182.0	51310.0
183.0	54077.0
184.0	56011.0
185.0	56376.0
186.0	57447.0
187.0	59886.0
188.0	63361.0
189.0	64414.0
190.0	64561.0
191.0	67162.0
192.0	70817.0
193.0	70368.0
194.0	70356.0
195.0	73897.0
196.0	74538.0
197.0	76364.0
198.0	77826.0
199.0	79348.0
200.0	80423.0
201.0	83206.0
202.0	85962.0
203.0	86323.0
204.0	89023.0
205.0	91042.0
206.0	93203.0
207.0	96376.0
208.0	98736.0
209.0	99795.0
210.0	103366.0
211.0	105476.0
212.0	107245.0
213.0	108706.0
214.0	113111.0
215.0	116228.0
216.0	120438.0
217.0	123345.0
218.0	124322.0
219.0	130353.0
220.0	131935.0
221.0	141896.0
222.0	138533.0
223.0	140924.0
224.0	140536.0
225.0	148591.0
226.0	143311.0
227.0	147169.0
228.0	148728.0
229.0	156471.0
230.0	158766.0
231.0	159520.0
232.0	165408.0
233.0	167411.0
234.0	171867.0
235.0	173463.0
236.0	170692.0
237.0	176386.0
238.0	181984.0
239.0	184906.0
240.0	193673.0
241.0	187278.0
242.0	194847.0
243.0	193830.0
244.0	197129.0
245.0	198581.0
246.0	199752.0
247.0	207549.0
248.0	206728.0
249.0	206905.0
250.0	206655.0
251.0	212909.0
252.0	214826.0
253.0	222443.0
254.0	216120.0
255.0	215115.0
256.0	221664.0
257.0	216939.0
258.0	224058.0
259.0	223720.0
260.0	225443.0
261.0	229809.0
262.0	230359.0
263.0	232629.0
264.0	231785.0
265.0	232713.0
266.0	235709.0
267.0	235811.0
268.0	233799.0
269.0	239047.0
270.0	234871.0
271.0	236900.0
272.0	235037.0
273.0	238856.0
274.0	246110.0
275.0	238973.0
276.0	235932.0
277.0	239132.0
278.0	240047.0
279.0	241923.0
280.0	241922.0
281.0	240710.0
282.0	242045.0
283.0	240532.0
284.0	241825.0
285.0	244040.0
286.0	244117.0
287.0	244385.0
288.0	241881.0
289.0	242787.0
290.0	240035.0
291.0	241262.0
292.0	236896.0
293.0	242621.0
294.0	236841.0
295.0	234870.0
296.0	233150.0
297.0	235292.0
298.0	235380.0
299.0	235614.0
300.0	235423.0
301.0	229804.0
302.0	227441.0
303.0	228459.0
304.0	230052.0
305.0	225171.0
306.0	230352.0
307.0	223239.0
308.0	223479.0
309.0	219187.0
310.0	222771.0
311.0	219925.0
312.0	220282.0
313.0	215644.0
314.0	215221.0
315.0	210573.0
316.0	214616.0
317.0	210452.0
318.0	206766.0
319.0	210712.0
320.0	206400.0
321.0	204919.0
322.0	206070.0
323.0	198827.0
324.0	197171.0
325.0	202916.0
326.0	198677.0
327.0	192475.0
328.0	190350.0
329.0	190688.0
330.0	190832.0
331.0	184063.0
332.0	188011.0
333.0	181647.0
334.0	184994.0
335.0	182781.0
336.0	183967.0
337.0	177282.0
338.0	179797.0
339.0	172917.0
340.0	169727.0
341.0	167654.0
342.0	171126.0
343.0	167117.0
344.0	158992.0
345.0	158132.0
346.0	159510.0
347.0	155770.0
348.0	156224.0
349.0	153784.0
350.0	151541.0
351.0	150432.0
352.0	146907.0
353.0	149227.0
354.0	143628.0
355.0	148008.0
