#Duplication rate	Coverage
1.0	3967103.0
2.0	2398094.0
3.0	1523400.0
4.0	1040470.0
5.0	739852.0
6.0	548022.0
7.0	415116.0
8.0	322305.0
9.0	255811.0
10.0	206652.0
11.0	169064.0
12.0	139612.0
13.0	117959.0
14.0	100322.0
15.0	85297.0
16.0	73591.0
17.0	63982.0
18.0	55916.0
19.0	49957.0
20.0	43613.0
21.0	39185.0
22.0	34712.0
23.0	31212.0
24.0	28195.0
25.0	25883.0
26.0	23212.0
27.0	21326.0
28.0	19456.0
29.0	17969.0
30.0	16373.0
31.0	15268.0
32.0	14237.0
33.0	12943.0
34.0	12226.0
35.0	11322.0
36.0	10649.0
37.0	9968.0
38.0	9328.0
39.0	8896.0
40.0	8023.0
41.0	7639.0
42.0	7310.0
43.0	6851.0
44.0	6461.0
45.0	6006.0
46.0	5800.0
47.0	5654.0
48.0	5256.0
49.0	4915.0
50.0	195369.0
