Sample	pe_sense	pe_antisense	failed
HSF4_0H_1	0.4	0.4028	0.1972
HSF4_0H_2	0.4222	0.4204	0.1574
HSF4_0H_3	0.4279	0.4248	0.1472
HSF4_2H_1	0.4044	0.4097	0.1858
HSF4_2H_2	0.4158	0.4183	0.1659
HSF4_2H_3	0.4163	0.4214	0.1623
HSF4_4H_1	0.4082	0.4142	0.1776
HSF4_4H_2	0.4114	0.4149	0.1737
HSF4_4H_3	0.4162	0.4187	0.165
HSF4_6H_1	0.4146	0.4266	0.1587
HSF4_6H_2	0.4098	0.4124	0.1778
HSF4_6H_3	0.4054	0.4113	0.1832
