Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
HSF4_0H_3_2.sub	(25, 6.0)	(30, 1504.0)	(35, 1869.0)	(40, 2920.0)	(45, 3531.0)	(50, 3734.0)	(55, 3726.0)	(60, 4317.0)	(65, 4744.0)	(70, 5595.0)	(75, 6836.0)	(80, 8852.0)	(85, 12181.0)	(90, 15603.0)	(95, 20927.0)	(100, 27419.0)	(105, 35438.0)	(110, 44939.0)	(115, 55698.0)	(120, 69786.0)	(125, 87557.0)	(130, 110775.0)	(135, 145506.0)	(140, 216376.0)	(145, 245108.0)	(150, 48862345.0)
HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_1	(150, 58357914.0)																									
HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_2	(150, 58357914.0)																									
HSF4_2H_1_1	(25, 13.0)	(30, 13.0)	(35, 1160.0)	(40, 5772.0)	(45, 5581.0)	(50, 5560.0)	(55, 5482.0)	(60, 6083.0)	(65, 6628.0)	(70, 7800.0)	(75, 9448.0)	(80, 11869.0)	(85, 14699.0)	(90, 18310.0)	(95, 22667.0)	(100, 28327.0)	(105, 35311.0)	(110, 42999.0)	(115, 54918.0)	(120, 69068.0)	(125, 90657.0)	(130, 126610.0)	(135, 214917.0)	(140, 61578316.0)		
HSF4_2H_1_1.sub	(25, 5.0)	(30, 1470.0)	(35, 1857.0)	(40, 3186.0)	(45, 4109.0)	(50, 4164.0)	(55, 4052.0)	(60, 4461.0)	(65, 4512.0)	(70, 5109.0)	(75, 5681.0)	(80, 6583.0)	(85, 8330.0)	(90, 10418.0)	(95, 12760.0)	(100, 15926.0)	(105, 19692.0)	(110, 24988.0)	(115, 30186.0)	(120, 37959.0)	(125, 48191.0)	(130, 61312.0)	(135, 81870.0)	(140, 127045.0)	(145, 152905.0)	(150, 49321227.0)
HSF4_2H_1_2	(25, 11.0)	(30, 29.0)	(35, 1162.0)	(40, 5780.0)	(45, 5605.0)	(50, 5583.0)	(55, 5491.0)	(60, 6140.0)	(65, 6656.0)	(70, 7845.0)	(75, 9540.0)	(80, 11997.0)	(85, 14844.0)	(90, 18618.0)	(95, 23097.0)	(100, 29011.0)	(105, 36257.0)	(110, 44749.0)	(115, 57902.0)	(120, 74740.0)	(125, 101806.0)	(130, 152972.0)	(135, 266485.0)	(140, 61475888.0)		
HSF4_2H_1_2.sub	(25, 10.0)	(30, 1485.0)	(35, 1855.0)	(40, 3201.0)	(45, 4111.0)	(50, 4175.0)	(55, 4079.0)	(60, 4474.0)	(65, 4528.0)	(70, 5151.0)	(75, 5734.0)	(80, 6636.0)	(85, 8437.0)	(90, 10536.0)	(95, 12956.0)	(100, 16243.0)	(105, 20135.0)	(110, 25640.0)	(115, 31260.0)	(120, 39777.0)	(125, 51536.0)	(130, 67266.0)	(135, 94832.0)	(140, 158841.0)	(145, 179255.0)	(150, 49235845.0)
HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_1	(150, 62610021.0)																									
HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_2	(150, 62610021.0)																									
HSF4_2H_2_1	(25, 13.0)	(30, 12.0)	(35, 1121.0)	(40, 5655.0)	(45, 5724.0)	(50, 5633.0)	(55, 5367.0)	(60, 5838.0)	(65, 6225.0)	(70, 7626.0)	(75, 8821.0)	(80, 11461.0)	(85, 14362.0)	(90, 17913.0)	(95, 22921.0)	(100, 29131.0)	(105, 35669.0)	(110, 44575.0)	(115, 55795.0)	(120, 71235.0)	(125, 92525.0)	(130, 128031.0)	(135, 209967.0)	(140, 58533089.0)		
