Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
HSF4_2H_1_2	HSF4_2H_1_2.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	62362208.0	8.8 Gbp	0.0	25-142	49.0	25.608725410839877	141.2028227416194	141	pass	pass	pass	pass	warn	fail	pass	warn	fail	pass	pass
HSF4_2H_1_2.sub	HSF4_2H_1_2.sub.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49997998.0	7.4 Gbp	0.0	25-150	49.0	29.77061925308363	150.17203145813957	150	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_1	HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	62610021.0	9.3 Gbp	0.0	150.0	49.0	27.11572098823621	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	pass
HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_2	HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	62610021.0	9.3 Gbp	0.0	150.0	49.0	27.287614786853275	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	pass
HSF4_2H_2_1	HSF4_2H_2_1.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	59318709.0	8.4 Gbp	0.0	26-142	48.0	25.180788905545597	141.20440320944948	141	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
HSF4_2H_2_1.sub	HSF4_2H_2_1.sub.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49997346.0	7.4 Gbp	0.0	25-150	48.0	28.552077619023603	150.1734024942044	150	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
HSF4_2H_2_2	HSF4_2H_2_2.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	59318709.0	8.4 Gbp	0.0	25-142	48.0	25.47532053581108	141.18543908297127	141	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
HSF4_2H_2_2.sub	HSF4_2H_2_2.sub.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49997346.0	7.4 Gbp	0.0	25-150	48.0	28.65499097494279	150.15208845285508	150	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_1	HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	59543753.0	8.9 Gbp	0.0	150.0	48.0	26.59759589320514	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_2	HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	59543753.0	8.9 Gbp	0.0	150.0	48.0	26.847166158413838	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_2H_3_1	HSF4_2H_3_1.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56609339.0	8 Gbp	0.0	27-142	49.0	25.882890906671697	141.17199456259328	141	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
HSF4_2H_3_1.sub	HSF4_2H_3_1.sub.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49996448.0	7.4 Gbp	0.0	28-150	49.0	28.72391693478286	150.14205312145376	150	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
HSF4_2H_3_2	HSF4_2H_3_2.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56609339.0	8 Gbp	0.0	25-142	49.0	25.955058956297172	141.15591615545978	141	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
HSF4_2H_3_2.sub	HSF4_2H_3_2.sub.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49996448.0	7.4 Gbp	0.0	25-150	49.0	28.603314520874417	150.12400735948282	150	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
HSF4_2H_3_ZKRN250030473-1A_23F5KYLT4_L8_1	HSF4_2H_3_ZKRN250030473-1A_23F5KYLT4_L8_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56821565.0	8.5 Gbp	0.0	150.0	49.0	27.269522822255	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_2H_3_ZKRN250030473-1A_23F5KYLT4_L8_2	HSF4_2H_3_ZKRN250030473-1A_23F5KYLT4_L8_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56821565.0	8.5 Gbp	0.0	150.0	49.0	27.337853770649723	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_4H_1_1	HSF4_4H_1_1.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52560373.0	7.4 Gbp	0.0	27-142	48.0	26.04708225994234	141.27295079317645	141	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
HSF4_4H_1_1.sub	HSF4_4H_1_1.sub.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49998688.0	7.4 Gbp	0.0	27-150	48.0	27.99447785644374	150.24910575653504	150	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
HSF4_4H_1_2	HSF4_4H_1_2.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52560373.0	7.4 Gbp	0.0	25-142	48.0	26.18502760800428	141.25803869390347	141	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
HSF4_4H_1_2.sub	HSF4_4H_1_2.sub.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49998688.0	7.4 Gbp	0.0	25-150	48.0	28.099272452885394	150.23383656587148	150	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_1	HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52746354.0	7.9 Gbp	0.0	150.0	48.0	27.435810618325974	150.0	150	pass	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_2	HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52746354.0	7.9 Gbp	0.0	150.0	48.0	27.623634571948102	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_4H_2_1	HSF4_4H_2_1.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51466637.0	7.2 Gbp	0.0	25-142	48.0	25.961794636608737	141.12281082208654	141	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
HSF4_4H_2_1.sub	HSF4_4H_2_1.sub.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49999330.0	7.4 Gbp	0.0	25-150	48.0	28.293718088738867	150.0880686501199	150	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
HSF4_4H_2_2	HSF4_4H_2_2.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51466637.0	7.2 Gbp	0.0	25-142	48.0	25.99168350756412	140.79388855347202	141	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
HSF4_4H_2_2.sub	HSF4_4H_2_2.sub.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49999330.0	7.4 Gbp	0.0	25-150	48.0	28.270969196903216	149.70640056576758	150	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_1	HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51791807.0	7.7 Gbp	0.0	150.0	48.0	27.88117822767193	150.0	150	pass	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_2	HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51791807.0	7.7 Gbp	0.0	150.0	48.0	27.970788590592164	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_4H_3_1	HSF4_4H_3_1.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51403402.0	7.2 Gbp	0.0	25-142	49.0	26.854605141023512	141.2638056718503	141	pass	pass	warn	pass	warn	fail	pass	warn	fail	pass	pass
HSF4_4H_3_1.sub	HSF4_4H_3_1.sub.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49999324.0	7.4 Gbp	0.0	25-150	49.0	28.61857850956176	150.23650314752254	150	pass	pass	warn	pass	fail	fail	pass	warn	fail	pass	pass
HSF4_4H_3_2	HSF4_4H_3_2.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51403402.0	7.2 Gbp	0.0	25-142	49.0	26.746963405426673	141.07171755869388	141	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
HSF4_4H_3_2.sub	HSF4_4H_3_2.sub.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49999324.0	7.4 Gbp	0.0	25-150	49.0	28.4048033058729	150.02062302882334	150	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_1	HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51657803.0	7.7 Gbp	0.0	150.0	49.0	28.22415316938112	150.0	150	pass	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_2	HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51657803.0	7.7 Gbp	0.0	150.0	49.0	28.161463634229495	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_6H_1_1	HSF4_6H_1_1.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50666915.0	7.1 Gbp	0.0	25-142	48.0	24.32618757858944	141.18328030234326	141	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
HSF4_6H_1_1.sub	HSF4_6H_1_1.sub.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50000194.0	7.4 Gbp	0.0	25-150	48.0	25.7980903541341	150.1495276298328	150	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
HSF4_6H_1_2	HSF4_6H_1_2.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50666915.0	7.1 Gbp	0.0	25-142	48.0	24.3178977159246	140.91607923040115	141	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
HSF4_6H_1_2.sub	HSF4_6H_1_2.sub.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50000194.0	7.4 Gbp	0.0	25-150	48.0	25.696333223079122	149.84914539531587	150	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
HSF4_6H_1_ZKRN250030477-1A_23F5KYLT4_L7_1	HSF4_6H_1_ZKRN250030477-1A_23F5KYLT4_L7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50941899.0	7.6 Gbp	0.0	150.0	48.0	25.623875796194675	150.0	150	pass	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_6H_1_ZKRN250030477-1A_23F5KYLT4_L7_2	HSF4_6H_1_ZKRN250030477-1A_23F5KYLT4_L7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50941899.0	7.6 Gbp	0.0	150.0	48.0	25.63246480991727	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_6H_2_1	HSF4_6H_2_1.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52970277.0	7.5 Gbp	0.0	26-142	49.0	25.25504311399921	141.24122410196193	141	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
HSF4_6H_2_1.sub	HSF4_6H_2_1.sub.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49997726.0	7.4 Gbp	0.0	26-150	49.0	27.413894024185165	150.21120292550904	150	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
HSF4_6H_2_2	HSF4_6H_2_2.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52970277.0	7.5 Gbp	0.0	25-142	49.0	25.40129018801014	141.2178436786351	141	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
HSF4_6H_2_2.sub	HSF4_6H_2_2.sub.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49997726.0	7.4 Gbp	0.0	25-150	49.0	27.40296207672241	150.18650411220702	150	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
HSF4_6H_2_ZKRN250030478-1A_23F5KYLT4_L7_1	HSF4_6H_2_ZKRN250030478-1A_23F5KYLT4_L7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53187475.0	7.9 Gbp	0.0	150.0	49.0	26.721471535169467	150.0	150	pass	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_6H_2_ZKRN250030478-1A_23F5KYLT4_L7_2	HSF4_6H_2_ZKRN250030478-1A_23F5KYLT4_L7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53187475.0	7.9 Gbp	0.0	150.0	49.0	26.833116240028343	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_6H_3_1	HSF4_6H_3_1.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54598982.0	7.7 Gbp	0.0	26-142	50.0	25.98174276648046	141.1847070427064	141	pass	pass	warn	pass	warn	fail	pass	warn	fail	pass	pass
HSF4_6H_3_1.sub	HSF4_6H_3_1.sub.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49998336.0	7.4 Gbp	0.0	27-150	50.0	28.467982553137116	150.15204311999503	150	pass	pass	warn	pass	fail	fail	pass	warn	fail	pass	pass
HSF4_6H_3_2	HSF4_6H_3_2.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54598982.0	7.7 Gbp	0.0	25-142	50.0	25.88620491983864	141.16688324884885	141	pass	pass	warn	pass	warn	fail	pass	warn	fail	pass	pass
HSF4_6H_3_2.sub	HSF4_6H_3_2.sub.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49998336.0	7.4 Gbp	0.0	25-150	50.0	28.38927755687334	150.13345717145467	150	pass	pass	warn	pass	fail	fail	pass	warn	fail	pass	pass
HSF4_6H_3_ZKRN250030479-1A_23F5KYLT4_L7_1	HSF4_6H_3_ZKRN250030479-1A_23F5KYLT4_L7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54803659.0	8.2 Gbp	0.0	150.0	50.0	27.47249399631974	150.0	150	pass	pass	fail	pass	fail	fail	pass	pass	fail	pass	pass
HSF4_6H_3_ZKRN250030479-1A_23F5KYLT4_L7_2	HSF4_6H_3_ZKRN250030479-1A_23F5KYLT4_L7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54803659.0	8.2 Gbp	0.0	150.0	50.0	27.475734194557116	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	pass	pass
