Sample	Sense	Antisense	Undetermined
HSF4_0H_1	40.0	40.28	19.72
HSF4_0H_2	42.22	42.04	15.740000000000002
HSF4_0H_3	42.79	42.480000000000004	14.719999999999999
HSF4_2H_1	40.44	40.97	18.58
HSF4_2H_2	41.58	41.83	16.59
HSF4_2H_3	41.63	42.14	16.23
HSF4_4H_1	40.82	41.42	17.76
HSF4_4H_2	41.14	41.49	17.37
HSF4_4H_3	41.620000000000005	41.870000000000005	16.5
HSF4_6H_1	41.46	42.66	15.870000000000001
HSF4_6H_2	40.98	41.24	17.78
HSF4_6H_3	40.54	41.13	18.32
