#Duplication rate	Coverage
1.0	3985403.0
2.0	2330229.0
3.0	1475705.0
4.0	1006698.0
5.0	718909.0
6.0	533534.0
7.0	405243.0
8.0	316343.0
9.0	250401.0
10.0	202918.0
11.0	166644.0
12.0	138181.0
13.0	115078.0
14.0	98488.0
15.0	84325.0
16.0	73215.0
17.0	63065.0
18.0	55300.0
19.0	48873.0
20.0	43262.0
21.0	38524.0
22.0	34490.0
23.0	30951.0
24.0	28193.0
25.0	25316.0
26.0	23166.0
27.0	21263.0
28.0	19357.0
29.0	18011.0
30.0	16201.0
31.0	15157.0
32.0	13899.0
33.0	12865.0
34.0	12043.0
35.0	11155.0
36.0	10437.0
37.0	9797.0
38.0	9211.0
39.0	8554.0
40.0	8204.0
41.0	7548.0
42.0	7288.0
43.0	6785.0
44.0	6470.0
45.0	6119.0
46.0	5878.0
47.0	5563.0
48.0	5193.0
49.0	5032.0
50.0	192467.0
