Geneid	HSF4_0H_1	HSF4_0H_2	HSF4_0H_3	HSF4_2H_1	HSF4_2H_2	HSF4_2H_3	HSF4_4H_1	HSF4_4H_2	HSF4_4H_3	HSF4_6H_1	HSF4_6H_2	HSF4_6H_3
FBti0059872	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0262819	0	1	0	0	0	4	0	0	1	0	0	0
FBti0215109	17	5	2	5	8	1	0	12	3	6	7	4
FBgn0000326	4806	4026	3998	4115	3961	3448	2899	2585	3190	3095	3567	3609
FBgn0085223	143	156	137	170	185	126	103	113	137	135	146	145
FBgn0011910	0	0	0	0	0	2	0	0	0	2	0	0
FBgn0261786	12255	10291	8961	11399	9312	7890	8728	6069	8277	6728	8050	10476
FBti0215288	77	56	59	154	164	60	81	86	93	67	70	82
FBgn0033081	26826	22265	20646	20265	19234	16029	16146	14099	16016	16281	17173	18055
FBgn0265655	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0053198	4800	3389	3747	3729	4023	3241	3289	3342	3461	3738	3928	3690
FBgn0033279	160	203	78	52	180	7364	42	3038	2044	84	66	86
FBgn0033177	6397	5307	4928	5250	4488	3797	3876	3457	4000	3255	3956	4720
FBti0064279	0	2	0	2	0	2	3	2	2	0	0	1
FBgn0024232	18	8	6	4	10	4	6	12	11	10	6	6
FBgn0033210	7564	5710	4926	5623	5052	4412	4266	3276	4090	5505	5348	4958
FBgn0050187	995	633	744	823	855	529	679	729	782	625	543	674
FBgn0035024	16732	14275	11720	13379	11509	11538	10447	8206	10273	9026	9432	11165
FBti0061681	1	5	2	0	3	2	0	0	0	0	2	1
FBti0018948	14	10	8	8	9	7	7	11	5	2	3	8
FBgn0034329	128	116	260	104	86	404	92	112	98	74	114	98
FBgn0040777	46663	36064	33851	38416	36490	28172	32471	25051	32511	32237	35999	38694
FBgn0263084	2637	1839	1710	1694	1734	1267	1183	1321	1165	1380	1326	1216
FBti0061266	8	3	9	19	16	31	6	14	5	2	12	17
FBgn0265646	0	0	7	0	4	3	0	4	2	0	0	0
FBgn0025352	17228	14524	12351	14033	12434	12306	12919	11504	12761	14301	15219	15549
FBgn0263092	2	1	0	4	3	0	0	0	0	0	0	2
FBgn0262476	686	409	250	501	323	332	349	276	376	370	306	354
RR48339_transposable_element	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0034403	9168	7098	6905	7224	7581	5535	6041	4828	5940	7585	7585	7088
FBgn0050158	18	4	3	5	11	1	13	2	0	2	2	2
FBti0215111	26	13	23	22	33	9	18	5	10	9	6	13
FBti0215315	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0050383	4141	2846	3192	3268	3243	2626	3093	1904	2292	2840	2829	3275
FBti0018872	7	4	6	1	1	2	0	2	2	0	5	0
FBgn0034487	22	8	6	19	24	233	6	89	82	8	4	6
FBti0061207	15	4	16	6	6	2	2	10	10	1	0	4
FBgn0022986	4908	4701	4633	6433	5796	5577	5346	4359	4831	3222	4024	4308
FBgn0265643	0	0	0	0	0	3	0	1	2	0	0	0
FBti0019910	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0034515	32	21	46	62	22	9	14	3	17	17	13	20
FBgn0034973	42	32	15	22	28	1125	16	620	361	21	26	16
FBgn0033135	92	106	74	102	82	53	69	68	51	57	46	64
FBgn0034021	1554	1292	909	954	978	853	942	917	902	1071	952	1265
FBti0060278	0	0	0	0	0	0	0	2	2	0	0	0
FBgn0033766	21943	16492	13932	20977	17264	12998	14753	10096	13476	11600	14312	14219
FBti0019946	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0050120	0	0	0	0	0	0	0	0	0	0	0	0
FBti0063837	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0041579	690	374	544	1723	956	114	398	127	231	408	538	550
FBgn0265589	0	0	0	0	0	0	0	0	0	0	0	0
FBti0060117	0	0	0	1	0	0	0	0	0	0	0	0
FBgn0004580	2476	2454	2032	2405	1916	2047	2738	2183	1991	2477	1822	2187
FBgn0033055	13929	11508	10090	12673	11671	10185	11419	11384	11027	11097	11650	11845
RR48354_transposable_element	6	2	0	8	2	0	4	0	3	0	0	2
FBti0061188	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0259678	474	328	272	396	218	405	307	283	266	302	227	241
FBgn0082933	0	0	0	0	0	0	0	0	0	0	0	0
FBti0062400	0	0	7	1	6	2	2	0	0	1	0	3
FBgn0261853	0	0	0	0	2	2	6	0	0	0	2	0
FBgn0028981	2	1	0	0	0	0	0	0	0	0	0	0
FBti0062466	0	0	0	0	1	0	0	0	0	0	0	0
FBti0059731	59	39	44	50	46	28	16	21	31	57	36	27
FBgn0035003	38	32	8	8	48	1844	20	819	548	6	12	12
FBti0019002	18	14	2	8	8	8	12	2	14	10	2	6
FBgn0262570	1289	807	549	947	854	1667	1065	1357	1214	935	1097	1029
FBgn0013467	13	9	2	6	18	43	10	32	20	10	2	10
FBti0061806	8	0	1	0	3	4	0	1	0	0	0	2
FBti0063189	0	0	0	0	0	0	4	0	0	0	0	0
FBti0059732	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0053409	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0259985	6826	5207	4721	4793	4783	3327	4089	2579	3145	4172	4053	4475
FBti0060792	12	5	6	22	12	7	3	6	12	14	18	10
FBgn0033443	572	799	464	1173	774	3112	1117	4021	2644	862	1231	1068
FBti0059774	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0050356	135	104	66	82	103	2941	39	1902	917	88	81	49
FBgn0034096	9	12	7	8	2	2	4	0	2	8	11	5
FBgn0010549	680	654	624	584	532	600	466	380	576	354	474	438
FBgn0259211	69	51	64	125	62	63	75	66	51	15	18	34
FBgn0034577	24318	19487	17403	20993	19663	15512	16644	14296	15902	17059	18371	19862
FBti0063148	0	0	1	0	0	0	0	0	0	0	0	0
FBgn0053964	0	0	0	0	0	0	0	0	0	0	0	0
FBti0061910	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0011848	0	0	0	0	0	0	0	0	0	0	0	0
FBti0062537	0	0	0	0	0	0	0	0	0	0	0	0
FBti0063057	0	0	0	0	0	0	0	0	0	0	0	0
FBti0060589	4	1	1	0	1	2	0	3	1	1	2	0
FBti0063090	0	1	2	5	0	4	3	0	0	0	0	0
FBgn0033484	156	205	167	165	120	108	95	95	114	47	88	106
FBti0063017	2	4	5	4	10	0	6	4	3	1	10	1
FBgn0265500	29	10	13	19	36	74	10	53	40	7	19	29
FBgn0033970	0	8	2	6	4	10	6	13	6	6	6	2
FBgn0050083	0	0	0	0	0	6	0	0	0	0	0	2
FBti0061759	10	12	6	20	22	0	16	12	2	2	1	2
FBgn0261854	9908	7604	7278	8984	8350	6112	7497	5992	6814	5867	6637	8199
FBti0215127	45	14	34	52	44	37	38	26	26	24	39	14
FBgn0085408	4184	3641	3658	4439	4040	3309	3674	3458	3846	2868	3044	4011
FBti0061663	612	542	845	400	456	398	361	275	371	348	348	338
FBgn0033351	12146	10345	8563	8376	7514	6188	5762	5807	6397	6782	7256	6968
FBgn0260437	3	1	4	13	7	0	5	8	11	8	8	0
FBti0061227	16	14	5	18	18	16	15	12	0	17	6	16
FBgn0033789	0	0	0	0	0	2	2	0	0	0	7	0
FBgn0033785	4395	4253	3985	3642	3211	2774	2426	2264	2870	1818	2326	2730
FBti0061252	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0033905	11	11	7	7	8	3	10	6	6	6	6	8
FBgn0034844	3045	2946	2056	1825	1700	17236	1179	7318	5441	1219	1294	1329
FBgn0003091	554	310	588	403	954	591	660	338	344	300	251	575
FBgn0028561	125	151	89	91	99	1253	33	524	419	25	28	73
FBgn0022027	5762	4475	4481	4134	4782	3604	3623	3882	3624	4228	4165	4122
FBti0063862	2	2	0	2	2	0	2	6	0	0	2	0
FBti0063099	0	0	0	0	0	0	0	0	0	0	0	0
FBti0061844	0	3	0	0	0	4	0	2	0	0	0	0
FBti0018982	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0266850	3	2	5	0	2	10	0	4	12	0	0	0
FBgn0027495	7744	7035	5664	6778	6480	5307	4905	4080	4864	4690	5242	5789
FBti0061875	195	128	135	208	162	55	89	88	83	80	83	87
FBgn0063376	0	1	2	0	0	2	1	0	0	0	0	0
FBti0064008	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0002567	3212	2246	2022	2810	2481	2246	2752	4049	3298	2464	2510	2925
FBgn0050392	2860	2686	2362	2178	2515	3296	2134	3520	2509	1992	2116	2199
FBgn0034545	0	0	0	0	0	1	0	0	2	0	8	0
FBti0060978	26	13	21	12	26	25	19	4	2	15	8	13
FBgn0061188	2	7	2	0	2	40	0	56	14	0	0	0
FBgn0265106	36	40	14	0	34	794	4	510	280	2	2	24
FBti0061287	0	0	0	4	6	2	0	0	0	0	0	1
FBgn0033724	14	18	14	16	4	28	8	16	24	16	10	10
FBgn0085425	1084	1143	967	945	811	1019	624	1099	1060	484	596	729
FBgn0011933	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0266849	0	0	0	0	0	0	0	0	0	0	0	2
FBgn0033886	23179	21299	16805	19314	17360	18704	15496	16490	17937	18110	18558	18653
FBti0063844	2	0	0	0	0	0	2	0	0	0	0	3
FBgn0028424	397	358	333	370	357	308	378	340	374	266	314	401
FBti0059831	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0033168	94	90	42	17	84	2861	20	1310	792	10	18	40
FBgn0053376	0	0	0	0	0	0	0	0	0	0	0	0
FBti0063156	13	26	14	18	27	8	9	2	4	8	11	16
FBgn0034351	4343	3740	3146	3161	3054	2972	2495	2212	2622	2463	3092	3032
FBti0063241	0	0	4	0	0	0	0	0	0	0	0	0
