#Duplication rate	Coverage
1.0	3696049.0
2.0	2271880.0
3.0	1482905.0
4.0	1029332.0
5.0	750365.0
6.0	563752.0
7.0	436838.0
8.0	344002.0
9.0	275691.0
10.0	225318.0
11.0	185539.0
12.0	155772.0
13.0	131303.0
14.0	112787.0
15.0	96533.0
16.0	84023.0
17.0	73176.0
18.0	63933.0
19.0	56906.0
20.0	49876.0
21.0	45537.0
22.0	40568.0
23.0	36521.0
24.0	32833.0
25.0	29957.0
26.0	27176.0
27.0	24971.0
28.0	22763.0
29.0	20995.0
30.0	19231.0
31.0	17898.0
32.0	16560.0
33.0	15532.0
34.0	14214.0
35.0	13243.0
36.0	12314.0
37.0	11639.0
38.0	11050.0
39.0	10067.0
40.0	9565.0
41.0	8952.0
42.0	8567.0
43.0	8165.0
44.0	7667.0
45.0	7134.0
46.0	6640.0
47.0	6304.0
48.0	6134.0
49.0	5809.0
50.0	219021.0
