#Duplication rate	Coverage
1.0	3569914.0
2.0	2161490.0
3.0	1384276.0
4.0	951236.0
5.0	683869.0
6.0	509489.0
7.0	391201.0
8.0	305433.0
9.0	244460.0
10.0	198581.0
11.0	163081.0
12.0	136726.0
13.0	115221.0
14.0	98457.0
15.0	84502.0
16.0	72705.0
17.0	63267.0
18.0	55885.0
19.0	49407.0
20.0	44044.0
21.0	38854.0
22.0	34701.0
23.0	31623.0
24.0	28765.0
25.0	26014.0
26.0	23678.0
27.0	21817.0
28.0	20085.0
29.0	17878.0
30.0	16816.0
31.0	15680.0
32.0	14438.0
33.0	13352.0
34.0	12429.0
35.0	11609.0
36.0	10886.0
37.0	10191.0
38.0	9401.0
39.0	9083.0
40.0	8393.0
41.0	7956.0
42.0	7329.0
43.0	7102.0
44.0	6651.0
45.0	6483.0
46.0	6068.0
47.0	5776.0
48.0	5408.0
49.0	5094.0
50.0	200696.0
