#Mapping quality	mapping quality
0.0	1361350.0
1.0	911232.0
2.0	163897.0
3.0	913332.0
4.0	22119.0
5.0	17726.0
6.0	14320.0
7.0	12622.0
8.0	11371.0
9.0	10724.0
10.0	9940.0
11.0	9254.0
12.0	8295.0
13.0	7434.0
14.0	6242.0
15.0	7698.0
16.0	6019.0
17.0	6994.0
18.0	6334.0
19.0	6637.0
20.0	5519.0
21.0	6435.0
22.0	6406.0
23.0	6404.0
24.0	6883.0
25.0	7340.0
26.0	5936.0
27.0	4644.0
28.0	7351.0
29.0	5846.0
30.0	4954.0
31.0	6670.0
32.0	6510.0
33.0	4427.0
34.0	7458.0
35.0	2918.0
36.0	6346.0
37.0	7629.0
38.0	4304.0
39.0	8687.0
40.0	3661.0
41.0	3501.0
42.0	5903.0
43.0	7170.0
44.0	5006.0
45.0	7782.0
46.0	3557.0
47.0	3820.0
48.0	4122.0
49.0	2628.0
50.0	2145.0
51.0	16333.0
52.0	6472.0
53.0	14574.0
54.0	2276.0
55.0	2807.0
56.0	3694.0
57.0	4561.0
58.0	3924.0
59.0	4585.0
60.0	2925.0
61.0	3142.0
62.0	2350.0
63.0	7709.0
64.0	15761.0
65.0	9187.0
66.0	19768.0
67.0	2246.0
68.0	2692.0
69.0	3332.0
70.0	3496.0
71.0	3976.0
72.0	3169.0
73.0	6492.0
74.0	5005.0
75.0	5738.0
76.0	2953.0
77.0	3615.0
78.0	4521.0
79.0	2956.0
80.0	3046.0
81.0	2417.0
82.0	2400.0
83.0	1953.0
84.0	1585.0
85.0	33530.0
86.0	13618.0
87.0	46729.0
88.0	1767.0
89.0	2417.0
90.0	2360.0
91.0	3123.0
92.0	2881.0
93.0	3751.0
94.0	3802.0
95.0	3495.0
96.0	4190.0
97.0	6261.0
98.0	2673.0
99.0	3593.0
100.0	2212.0
101.0	1949.0
102.0	12461.0
103.0	19629.0
104.0	1552.0
105.0	2329.0
106.0	3360.0
107.0	3227.0
108.0	3005.0
109.0	5796.0
110.0	4285.0
111.0	8103.0
112.0	2667.0
113.0	4023.0
114.0	3445.0
115.0	4552.0
116.0	3159.0
117.0	4150.0
118.0	3127.0
119.0	3757.0
120.0	3328.0
121.0	2819.0
122.0	2714.0
123.0	2500.0
124.0	2265.0
125.0	2057.0
126.0	1476.0
127.0	29537.0
128.0	51257.0
129.0	121407.0
130.0	1519.0
131.0	1943.0
132.0	2385.0
133.0	2451.0
134.0	2567.0
135.0	3252.0
136.0	2954.0
137.0	4143.0
138.0	4296.0
139.0	3858.0
140.0	4755.0
141.0	3986.0
142.0	5757.0
143.0	6913.0
144.0	3521.0
145.0	4360.0
146.0	7234.0
147.0	9809.0
148.0	3745.0
149.0	3375.0
150.0	4676.0
151.0	3619.0
152.0	2434.0
153.0	16746.0
154.0	29691.0
155.0	3036.0
156.0	3243.0
157.0	4246.0
158.0	4264.0
159.0	5808.0
160.0	10653.0
161.0	2914.0
162.0	4746.0
163.0	6805.0
164.0	3840.0
165.0	5136.0
166.0	4403.0
167.0	3281.0
168.0	2898.0
169.0	2110.0
170.0	43700.0
171.0	86402.0
172.0	2589.0
173.0	3528.0
174.0	3967.0
175.0	4338.0
176.0	4986.0
177.0	6232.0
178.0	5153.0
179.0	9339.0
180.0	4975.0
181.0	3582.0
182.0	11292.0
183.0	19860.0
184.0	3937.0
185.0	6096.0
186.0	7915.0
187.0	6770.0
188.0	4347.0
189.0	4495.0
190.0	3340.0
191.0	24401.0
192.0	66197.0
193.0	3822.0
194.0	4682.0
195.0	7752.0
196.0	9008.0
197.0	4980.0
198.0	8857.0
199.0	18495.0
200.0	6442.0
201.0	10544.0
202.0	5669.0
203.0	4741.0
204.0	69961.0
205.0	4551.0
206.0	6600.0
207.0	10675.0
208.0	7985.0
209.0	17010.0
210.0	9685.0
211.0	8065.0
212.0	14586.0
213.0	47911.0
214.0	8373.0
215.0	10703.0
216.0	16934.0
217.0	11265.0
218.0	14470.0
219.0	43688.0
220.0	11876.0
221.0	17185.0
222.0	12044.0
223.0	43832.0
224.0	12505.0
225.0	20006.0
226.0	16300.0
227.0	40615.0
228.0	22670.0
229.0	40302.0
230.0	16344.0
231.0	25205.0
232.0	40490.0
233.0	25264.0
234.0	45298.0
235.0	43085.0
236.0	28306.0
237.0	47602.0
238.0	47962.0
239.0	50534.0
240.0	52234.0
241.0	68062.0
242.0	58364.0
243.0	75877.0
244.0	86842.0
245.0	85342.0
246.0	106416.0
247.0	118263.0
248.0	145123.0
249.0	177605.0
250.0	211374.0
251.0	280499.0
252.0	409406.0
253.0	705006.0
254.0	1613017.0
255.0	4.5875231E7
