#Duplication rate	Coverage
1.0	3886774.0
2.0	2398554.0
3.0	1564594.0
4.0	1081342.0
5.0	780639.0
6.0	583821.0
7.0	448241.0
8.0	352671.0
9.0	280856.0
10.0	228238.0
11.0	188424.0
12.0	156861.0
13.0	132685.0
14.0	112179.0
15.0	96288.0
16.0	83450.0
17.0	72924.0
18.0	63692.0
19.0	56201.0
20.0	49800.0
21.0	44584.0
22.0	39896.0
23.0	36404.0
24.0	32799.0
25.0	29818.0
26.0	27367.0
27.0	24324.0
28.0	22601.0
29.0	20743.0
30.0	19138.0
31.0	17699.0
32.0	16220.0
33.0	15101.0
34.0	14008.0
35.0	13260.0
36.0	12264.0
37.0	11439.0
38.0	10755.0
39.0	10006.0
40.0	9591.0
41.0	8972.0
42.0	8452.0
43.0	7985.0
44.0	7571.0
45.0	7316.0
46.0	6681.0
47.0	6416.0
48.0	6288.0
49.0	5918.0
50.0	223712.0
