#Duplication rate	Coverage
1.0	3742133.0
2.0	2273637.0
3.0	1456936.0
4.0	1005669.0
5.0	724654.0
6.0	542818.0
7.0	415392.0
8.0	326063.0
9.0	260941.0
10.0	211994.0
11.0	174301.0
12.0	145512.0
13.0	122575.0
14.0	103633.0
15.0	89399.0
16.0	77086.0
17.0	66740.0
18.0	58931.0
19.0	51835.0
20.0	46134.0
21.0	41090.0
22.0	36914.0
23.0	33033.0
24.0	30102.0
25.0	27008.0
26.0	24796.0
27.0	22635.0
28.0	20530.0
29.0	19200.0
30.0	17552.0
31.0	16449.0
32.0	14983.0
33.0	13804.0
34.0	12786.0
35.0	11885.0
36.0	11325.0
37.0	10508.0
38.0	9846.0
39.0	9272.0
40.0	8678.0
41.0	7944.0
42.0	7808.0
43.0	7141.0
44.0	6779.0
45.0	6452.0
46.0	6165.0
47.0	5691.0
48.0	5449.0
49.0	5162.0
50.0	198583.0
