#Duplication rate	Coverage
1.0	3447302.0
2.0	2086398.0
3.0	1320881.0
4.0	902683.0
5.0	642476.0
6.0	478864.0
7.0	365909.0
8.0	287861.0
9.0	230127.0
10.0	187232.0
11.0	154709.0
12.0	128364.0
13.0	108474.0
14.0	92668.0
15.0	79874.0
16.0	69204.0
17.0	60252.0
18.0	53338.0
19.0	47132.0
20.0	41953.0
21.0	37453.0
22.0	33640.0
23.0	30128.0
24.0	27730.0
25.0	24837.0
26.0	22850.0
27.0	20763.0
28.0	19057.0
29.0	17455.0
30.0	16429.0
31.0	15027.0
32.0	13983.0
33.0	12856.0
34.0	12043.0
35.0	11159.0
36.0	10438.0
37.0	9701.0
38.0	9079.0
39.0	8726.0
40.0	8076.0
41.0	7654.0
42.0	7094.0
43.0	7014.0
44.0	6466.0
45.0	6112.0
46.0	5667.0
47.0	5564.0
48.0	5209.0
49.0	4949.0
50.0	196411.0
