#Insert size (bp)	insert size
25.0	1.0
26.0	2.0
27.0	3.0
28.0	4.0
29.0	7.0
30.0	14.0
31.0	60.0
32.0	49.0
33.0	46.0
34.0	52.0
35.0	78.0
36.0	81.0
37.0	55.0
38.0	86.0
39.0	84.0
40.0	129.0
41.0	109.0
42.0	124.0
43.0	144.0
44.0	145.0
45.0	166.0
46.0	179.0
47.0	152.0
48.0	212.0
49.0	207.0
50.0	215.0
51.0	223.0
52.0	214.0
53.0	200.0
54.0	203.0
55.0	285.0
56.0	227.0
57.0	212.0
58.0	293.0
59.0	279.0
60.0	296.0
61.0	266.0
62.0	311.0
63.0	305.0
64.0	295.0
65.0	297.0
66.0	339.0
67.0	360.0
68.0	379.0
69.0	390.0
70.0	440.0
71.0	527.0
72.0	466.0
73.0	497.0
74.0	528.0
75.0	563.0
76.0	628.0
77.0	628.0
78.0	625.0
79.0	737.0
80.0	756.0
81.0	806.0
82.0	868.0
83.0	869.0
84.0	958.0
85.0	989.0
86.0	1129.0
87.0	1138.0
88.0	1294.0
89.0	1364.0
90.0	1420.0
91.0	1390.0
92.0	1584.0
93.0	1632.0
94.0	1740.0
95.0	1890.0
96.0	2011.0
97.0	2048.0
98.0	2133.0
99.0	2228.0
100.0	2321.0
101.0	2517.0
102.0	2749.0
103.0	2828.0
104.0	2842.0
105.0	3122.0
106.0	3292.0
107.0	3441.0
108.0	3546.0
109.0	3694.0
110.0	3954.0
111.0	4144.0
112.0	4471.0
113.0	4460.0
114.0	4754.0
115.0	4924.0
116.0	5011.0
117.0	5163.0
118.0	5471.0
119.0	5992.0
120.0	6001.0
121.0	6341.0
122.0	6613.0
123.0	6824.0
124.0	7049.0
125.0	7260.0
126.0	7749.0
127.0	8123.0
128.0	8536.0
129.0	8905.0
130.0	9073.0
131.0	9470.0
132.0	10013.0
133.0	10706.0
134.0	10716.0
135.0	11251.0
136.0	11677.0
137.0	12077.0
138.0	12470.0
139.0	13150.0
140.0	13277.0
141.0	14139.0
142.0	14776.0
143.0	15010.0
144.0	15421.0
145.0	16201.0
146.0	17575.0
147.0	17922.0
148.0	17885.0
149.0	18757.0
150.0	19865.0
151.0	20321.0
152.0	21717.0
153.0	21798.0
154.0	22429.0
155.0	22898.0
156.0	23359.0
157.0	24839.0
158.0	24896.0
159.0	26038.0
160.0	26651.0
161.0	27951.0
162.0	28663.0
163.0	31059.0
164.0	31485.0
165.0	31979.0
