#GC Content (%)	Sample
1.0	0.0
2.0	6.783872537004838E-8
3.0	2.713549014801935E-7
4.0	2.713549014801935E-7
5.0	6.783872537004838E-8
6.0	2.9550548771193073E-4
7.0	4.353211006996005E-4
8.0	1.856745913378224E-4
9.0	4.0235148016975694E-4
10.0	9.383452493185091E-4
11.0	4.432582315678961E-4
12.0	0.0016319962162272537
13.0	0.0023095015664979265
14.0	0.0014998463792063996
15.0	9.167725346508337E-4
16.0	7.972407005488086E-4
17.0	5.53971031371815E-4
18.0	3.542538238823926E-4
19.0	7.839443103762791E-4
20.0	9.352246679514869E-4
21.0	0.001207393634136121
22.0	0.0014696581464167281
23.0	0.0017145559450026026
24.0	0.0024196716564988856
25.0	0.004625854844258229
26.0	0.006163216038594264
27.0	0.008879478602411003
28.0	0.00915938118328782
29.0	0.010680935954612636
30.0	0.011377300470536183
31.0	0.01151331711490313
32.0	0.011868995552018294
33.0	0.014255087039459003
34.0	0.011819473282498157
35.0	0.011660120116603915
36.0	0.011650079985249147
37.0	0.01188005326425361
38.0	0.012278673614528016
39.0	0.012774642535708439
40.0	0.013496175218744275
41.0	0.014364985774558484
42.0	0.015686212789865542
43.0	0.017318209006092797
44.0	0.018925444087559987
45.0	0.020661369231054154
46.0	0.022679978343165316
47.0	0.024869608881934364
48.0	0.027375503558378585
49.0	0.030434962233842396
50.0	0.03366829156242964
51.0	0.04060941426484225
52.0	0.0366812128722896
53.0	0.043133082687333416
54.0	0.0458789229354115
55.0	0.04780608544572383
56.0	0.049791589259854406
57.0	0.048443837302927645
58.0	0.04800722726644602
59.0	0.044437824892375556
60.0	0.04100131858130501
61.0	0.034237729823185827
62.0	0.028781054109320612
63.0	0.02123440294425495
64.0	0.015957703368796483
65.0	0.011326014394156425
66.0	0.008341585348951889
67.0	0.005557077027412882
68.0	0.003849711987299505
69.0	0.0023219160532406457
70.0	0.0013843848686265771
71.0	7.929668608504957E-4
72.0	5.084512466485126E-4
73.0	3.07105909750209E-4
74.0	1.2394135125107838E-4
75.0	6.695682194023774E-5
76.0	2.611790926746862E-5
77.0	1.4246132327710157E-5
78.0	1.044716370698745E-5
79.0	3.052742641652177E-6
80.0	5.42709802960387E-7
81.0	0.0
82.0	6.783872537004838E-8
83.0	0.0
84.0	2.0351617611014513E-7
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	6.783872537004838E-8
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.2210970566608707E-6
