#Coverage (X)	Coverage
1.0	41.309932909704116
2.0	34.657218114228215
3.0	30.182598413890346
4.0	27.636961612554984
5.0	25.67406139913362
6.0	24.283667891910056
7.0	23.152801536913273
8.0	22.24402999813492
9.0	21.472877259885095
10.0	20.824937438947202
11.0	20.258810928310666
12.0	19.768108487425962
13.0	19.336476777528404
14.0	18.944029348287316
15.0	18.585934784437967
16.0	18.2591525783901
17.0	17.961182138775428
18.0	17.688248226650046
19.0	17.435250860174918
20.0	17.202087065637585
21.0	16.982472663505945
22.0	16.77695661499024
23.0	16.582203406729434
24.0	16.398425248063333
25.0	16.224394803662605
26.0	16.059613207636573
27.0	15.90438451074428
28.0	15.757686629312914
29.0	15.615747107471904
30.0	15.480727697414153
31.0	15.351584746648712
32.0	15.228125527348922
33.0	15.108923714443833
34.0	14.994370329733385
35.0	14.88398111846179
36.0	14.778067784839664
37.0	14.675769663446147
38.0	14.57728574402286
39.0	14.480956619109193
40.0	14.386867868209407
41.0	14.295821016436548
42.0	14.208372678452449
43.0	14.12433777988204
44.0	14.042127185865795
45.0	13.961210720938311
46.0	13.88346069766834
47.0	13.807125867176083
48.0	13.733933126449884
49.0	13.661681064502176
50.0	13.59078992540266
51.0	13.522459213747581
