#Duplication rate	Coverage
1.0	4206600.0
2.0	2386804.0
3.0	1474467.0
4.0	994648.0
5.0	704966.0
6.0	521008.0
7.0	394727.0
8.0	308246.0
9.0	244494.0
10.0	197756.0
11.0	162206.0
12.0	135451.0
13.0	114224.0
14.0	96642.0
15.0	83336.0
16.0	71269.0
17.0	62339.0
18.0	54788.0
19.0	48427.0
20.0	42816.0
21.0	38075.0
22.0	34310.0
23.0	31060.0
24.0	27850.0
25.0	25586.0
26.0	23215.0
27.0	20980.0
28.0	19102.0
29.0	17636.0
30.0	16352.0
31.0	15278.0
32.0	14013.0
33.0	12844.0
34.0	12010.0
35.0	11204.0
36.0	10455.0
37.0	9800.0
38.0	9083.0
39.0	8700.0
40.0	8140.0
41.0	7686.0
42.0	7310.0
43.0	6814.0
44.0	6534.0
45.0	6064.0
46.0	5733.0
47.0	5432.0
48.0	5231.0
49.0	5079.0
50.0	194246.0
