#Duplication rate	Coverage
1.0	3970437.0
2.0	2331647.0
3.0	1488694.0
4.0	1016988.0
5.0	731411.0
6.0	545015.0
7.0	415333.0
8.0	325201.0
9.0	258468.0
10.0	210113.0
11.0	172878.0
12.0	143422.0
13.0	120595.0
14.0	102815.0
15.0	88031.0
16.0	75857.0
17.0	65938.0
18.0	58350.0
19.0	51149.0
20.0	45368.0
21.0	40565.0
22.0	36294.0
23.0	32562.0
24.0	29480.0
25.0	26684.0
26.0	24181.0
27.0	22458.0
28.0	20504.0
29.0	18782.0
30.0	17161.0
31.0	15906.0
32.0	14739.0
33.0	13624.0
34.0	12582.0
35.0	11741.0
36.0	11255.0
37.0	10336.0
38.0	9845.0
39.0	8952.0
40.0	8678.0
41.0	7932.0
42.0	7623.0
43.0	7204.0
44.0	6948.0
45.0	6324.0
46.0	6129.0
47.0	5834.0
48.0	5617.0
49.0	5268.0
50.0	202590.0
