#Duplication rate	Coverage
1.0	3998169.0
2.0	2379055.0
3.0	1523365.0
4.0	1037342.0
5.0	740841.0
6.0	549149.0
7.0	417922.0
8.0	325385.0
9.0	258919.0
10.0	208844.0
11.0	171199.0
12.0	142302.0
13.0	119759.0
14.0	101101.0
15.0	86750.0
16.0	74650.0
17.0	65138.0
18.0	57046.0
19.0	49909.0
20.0	45106.0
21.0	39432.0
22.0	35345.0
23.0	31913.0
24.0	28649.0
25.0	26082.0
26.0	23867.0
27.0	22039.0
28.0	19633.0
29.0	18133.0
30.0	16884.0
31.0	15353.0
32.0	14392.0
33.0	13653.0
34.0	12540.0
35.0	11442.0
36.0	10773.0
37.0	10140.0
38.0	9674.0
39.0	9079.0
40.0	8304.0
41.0	7790.0
42.0	7543.0
43.0	7052.0
44.0	6498.0
45.0	6116.0
46.0	6002.0
47.0	5515.0
48.0	5397.0
49.0	5114.0
50.0	198352.0
