#Coverage (X)	Coverage
1.0	39.39090019355022
2.0	33.27267393133221
3.0	29.028526793641703
4.0	26.672536956813147
5.0	24.82005865577476
6.0	23.526541147370125
7.0	22.465971049553033
8.0	21.629775800762914
9.0	20.921738294786792
10.0	20.317804429013506
11.0	19.79400289726283
12.0	19.334552282335125
13.0	18.925425198983845
14.0	18.557072922685222
15.0	18.22089784421891
16.0	17.916425449585688
17.0	17.636532462650734
18.0	17.38230845661458
19.0	17.145452219564305
20.0	16.927504878344863
21.0	16.72375468984383
22.0	16.531645401226726
23.0	16.350186238395494
24.0	16.17977378929669
25.0	16.018039658544197
26.0	15.864977584223084
27.0	15.719735250132416
28.0	15.58200721397651
29.0	15.450703902554821
30.0	15.324597980538016
31.0	15.203442450169888
32.0	15.087507269561442
33.0	14.974842895859595
34.0	14.86733625276797
35.0	14.76330845131281
36.0	14.66454065841198
37.0	14.569294149015576
38.0	14.476502310277866
39.0	14.387229667739604
40.0	14.300417262006647
41.0	14.216072050762264
42.0	14.13424830393599
43.0	14.054914016184767
44.0	13.978489431578282
45.0	13.904512559947221
46.0	13.831618303833423
47.0	13.760711162062378
48.0	13.690446910225745
49.0	13.62176831440702
50.0	13.55554786808861
51.0	13.491154509397674
