#Duplication rate	Coverage
1.0	4073047.0
2.0	2367606.0
3.0	1501643.0
4.0	1029158.0
5.0	741520.0
6.0	553888.0
7.0	424003.0
8.0	332650.0
9.0	267438.0
10.0	217302.0
11.0	179447.0
12.0	149950.0
13.0	126035.0
14.0	107895.0
15.0	93234.0
16.0	80577.0
17.0	70286.0
18.0	61570.0
19.0	54149.0
20.0	48709.0
21.0	43345.0
22.0	38903.0
23.0	34948.0
24.0	31628.0
25.0	28984.0
26.0	26215.0
27.0	24074.0
28.0	22122.0
29.0	20384.0
30.0	18611.0
31.0	17327.0
32.0	16086.0
33.0	14767.0
34.0	14161.0
35.0	13036.0
36.0	11981.0
37.0	11282.0
38.0	10702.0
39.0	9852.0
40.0	9318.0
41.0	8719.0
42.0	8205.0
43.0	7728.0
44.0	7482.0
45.0	7116.0
46.0	6628.0
47.0	6170.0
48.0	6052.0
49.0	5784.0
50.0	223267.0
