#GC Content (%)	Sample
1.0	0.0
2.0	7.168840605632257E-8
3.0	5.735072484505806E-7
4.0	1.4337681211264515E-7
5.0	2.208002906534735E-5
6.0	6.157317196177545E-4
7.0	9.728116701842972E-4
8.0	3.107692402541584E-4
9.0	4.0625819712118E-4
10.0	0.0017106287453159694
11.0	0.0010895203952439904
12.0	0.0027258799518856095
13.0	0.004053119101612365
14.0	0.0014567800994705312
15.0	0.0011957626130194605
16.0	6.501421545247895E-4
17.0	0.0010619920473183627
18.0	6.50930726991409E-4
19.0	6.554470965729573E-4
20.0	0.0010921011778620181
21.0	0.0013118261424246466
22.0	0.0013855218238505464
23.0	0.002626734886309715
24.0	0.005295264113350267
25.0	0.006734552241743055
26.0	0.007775898028117196
27.0	0.008160793080233592
28.0	0.009538070737387662
29.0	0.0125511344439349
30.0	0.011315011258305727
31.0	0.014830467314495674
32.0	0.015657249701543245
33.0	0.015914539390879383
34.0	0.014969686199057055
35.0	0.011676105759611425
36.0	0.012426038175366617
37.0	0.010861151959563152
38.0	0.012484750979926743
39.0	0.012346033914207761
40.0	0.012507619581458712
41.0	0.014569808270074886
42.0	0.01341082180936232
43.0	0.017368882084544002
44.0	0.016702036531408088
45.0	0.01919335201867741
46.0	0.021554194606924225
47.0	0.020750926017063135
48.0	0.02667375043703045
49.0	0.024967136242453634
50.0	0.03233907010244345
51.0	0.03525571290284494
52.0	0.03348615628775067
53.0	0.04111989620665817
54.0	0.038248632167290346
55.0	0.04815424936252877
56.0	0.04309333464857662
57.0	0.05125384097518598
58.0	0.045893913919572926
59.0	0.04320796440986068
60.0	0.0478077076076525
61.0	0.032765114299636175
62.0	0.033790616948271866
63.0	0.022157524232294234
64.0	0.01757082832440466
65.0	0.013329670533706563
66.0	0.00832029978370891
67.0	0.007118443656174661
68.0	0.0040991430583005245
69.0	0.0031471927142786176
70.0	0.0013602875049187207
71.0	8.287896624171451E-4
72.0	6.913629880071747E-4
73.0	3.82027515874143E-4
74.0	2.124127471448838E-4
75.0	7.233360171082948E-5
76.0	2.7528347925627864E-5
77.0	2.0502884132108252E-5
78.0	8.961050757040323E-6
79.0	5.233253642111547E-6
80.0	2.867536242252903E-7
81.0	2.1506521816896772E-7
82.0	7.168840605632257E-8
83.0	0.0
84.0	0.0
85.0	2.1506521816896772E-7
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	3.5844203028161286E-7
