#Duplication rate	Coverage
1.0	3461022.0
2.0	2070588.0
3.0	1318048.0
4.0	897308.0
5.0	638627.0
6.0	475114.0
7.0	363780.0
8.0	284401.0
9.0	228283.0
10.0	185444.0
11.0	152469.0
12.0	127732.0
13.0	108011.0
14.0	91798.0
15.0	79061.0
16.0	68480.0
17.0	60068.0
18.0	52824.0
19.0	46818.0
20.0	41508.0
21.0	36862.0
22.0	33317.0
23.0	30362.0
24.0	27330.0
25.0	24950.0
26.0	22721.0
27.0	20697.0
28.0	18852.0
29.0	17593.0
30.0	16289.0
31.0	14987.0
32.0	13682.0
33.0	12569.0
34.0	12112.0
35.0	11172.0
36.0	10380.0
37.0	9518.0
38.0	9107.0
39.0	8627.0
40.0	7973.0
41.0	7558.0
42.0	7293.0
43.0	6628.0
44.0	6417.0
45.0	5876.0
46.0	5949.0
47.0	5412.0
48.0	5225.0
49.0	5064.0
50.0	196328.0
