#Duplication rate	Coverage
1.0	4117528.0
2.0	2349463.0
3.0	1448634.0
4.0	981767.0
5.0	693603.0
6.0	511578.0
7.0	388654.0
8.0	301830.0
9.0	240809.0
10.0	193639.0
11.0	158866.0
12.0	131588.0
13.0	111364.0
14.0	94443.0
15.0	80032.0
16.0	69803.0
17.0	60815.0
18.0	52937.0
19.0	47158.0
20.0	41397.0
21.0	37043.0
22.0	33402.0
23.0	29897.0
24.0	27359.0
25.0	24439.0
26.0	22192.0
27.0	20336.0
28.0	18708.0
29.0	16964.0
30.0	15870.0
31.0	14437.0
32.0	13408.0
33.0	12557.0
34.0	11671.0
35.0	10961.0
36.0	9960.0
37.0	9612.0
38.0	8892.0
39.0	8252.0
40.0	7876.0
41.0	7354.0
42.0	7056.0
43.0	6745.0
44.0	6245.0
45.0	5849.0
46.0	5693.0
47.0	5281.0
48.0	5010.0
49.0	4735.0
50.0	189896.0
