#Duplication rate	Coverage
1.0	4074659.0
2.0	2364213.0
3.0	1467988.0
4.0	1001680.0
5.0	711461.0
6.0	528066.0
7.0	400994.0
8.0	313582.0
9.0	249174.0
10.0	202244.0
11.0	166517.0
12.0	138006.0
13.0	116188.0
14.0	98141.0
15.0	84424.0
16.0	73011.0
17.0	63284.0
18.0	55301.0
19.0	49269.0
20.0	43546.0
21.0	38477.0
22.0	34344.0
23.0	31279.0
24.0	28364.0
25.0	25702.0
26.0	23121.0
27.0	21186.0
28.0	19460.0
29.0	17566.0
30.0	16466.0
31.0	15050.0
32.0	13981.0
33.0	12752.0
34.0	12110.0
35.0	11214.0
36.0	10548.0
37.0	9811.0
38.0	9057.0
39.0	8687.0
40.0	8146.0
41.0	7711.0
42.0	7177.0
43.0	6715.0
44.0	6385.0
45.0	6044.0
46.0	5860.0
47.0	5549.0
48.0	5040.0
49.0	5035.0
50.0	189081.0
