#Coverage (X)	Coverage
1.0	39.133270401551975
2.0	33.15357509213956
3.0	28.995419353555803
4.0	26.684858318121172
5.0	24.868874457385942
6.0	23.584628757710803
7.0	22.51925716266706
8.0	21.672464666483947
9.0	20.951073279002088
10.0	20.342560561866875
11.0	19.80513658203614
12.0	19.334642732217645
13.0	18.91894202971011
14.0	18.54308102162335
15.0	18.202352835223238
16.0	17.893173567855882
17.0	17.61142496679203
18.0	17.35041165341815
19.0	17.106385523755122
20.0	16.879450247283714
21.0	16.667085055354136
22.0	16.465385296113638
23.0	16.27666926962874
24.0	16.098778006779867
25.0	15.931199422078123
26.0	15.772025718770081
27.0	15.62237847539933
28.0	15.47961098924884
29.0	15.343745524905088
30.0	15.213867147017694
31.0	15.091311035006726
32.0	14.974616075384873
33.0	14.862685737268322
34.0	14.752907410588094
35.0	14.647996679125598
36.0	14.547106097058204
37.0	14.449041725936269
38.0	14.354424886876075
39.0	14.262168093982055
40.0	14.173167496859762
41.0	14.08645876060757
42.0	14.003347842375803
43.0	13.923033912819761
44.0	13.845765361232282
45.0	13.770691262949072
46.0	13.696882767253214
47.0	13.624876311525043
48.0	13.555497077000723
49.0	13.487770292253728
50.0	13.420776151555373
51.0	13.3555200401386
