#Read position (bp)	Clipping profile
0.0	5.281938494058095
1.0	3.7157496631174327
2.0	2.2874764272910255
3.0	2.0937366282998577
4.0	1.9180895358278507
5.0	1.7931464275339042
6.0	1.668530948316405
7.0	1.5526125318554969
8.0	1.427612562316878
9.0	1.3581741518583514
10.0	1.2939805143012935
11.0	1.2315604060423575
12.0	1.1772389636317917
13.0	1.125118863693551
14.0	1.076345454156041
15.0	1.0307995971732813
16.0	0.9840271619125837
17.0	0.9432522341256876
18.0	0.9016947873049636
19.0	0.8658559570913135
20.0	0.8307617384150426
21.0	0.7991793785168849
22.0	0.7671340056263931
23.0	0.7398514388968117
24.0	0.7127800710760143
25.0	0.6878667228744583
26.0	0.6596635455168443
27.0	0.6345200446582799
28.0	0.6108143209864376
29.0	0.5906394098409323
30.0	0.5630562908180814
31.0	0.542662057728839
32.0	0.5247345195870606
33.0	0.5063872913060321
34.0	0.4885463988704216
35.0	0.4716504861677035
36.0	0.4558890906801198
37.0	0.4385599494465628
38.0	0.42033998204646816
39.0	0.4023203828418866
40.0	0.38516182534234733
41.0	0.37175069463456484
42.0	0.3589433761916391
43.0	0.346761531440112
44.0	0.32999287961832785
45.0	0.31601584414213696
46.0	0.3022689613229543
47.0	0.28944810448843983
48.0	0.2758230671935556
49.0	0.26583173420108286
50.0	0.25633590634075715
51.0	0.24758739769612856
52.0	0.23999777537149414
53.0	0.2310813906711655
54.0	0.2239656120521361
55.0	0.21769192138992494
56.0	0.21070340365182952
57.0	0.20410749926980687
58.0	0.19657744586816278
59.0	0.19172799400108453
60.0	0.18632076040055118
61.0	0.18059672843684188
62.0	0.16543914521411496
63.0	0.16125307453488383
64.0	0.15831524356013235
65.0	0.15413729591585446
66.0	0.15155958615736284
67.0	0.14760908349177537
68.0	0.14545106387253398
69.0	0.14441673075515604
70.0	0.1446631294820707
71.0	0.14580847741047612
72.0	0.14723542388392682
73.0	0.14863800125251783
74.0	0.15008390147419273
75.0	0.15283490264501992
76.0	0.15700472725434458
77.0	0.16168630306572274
78.0	0.16641932476513802
79.0	0.17053770348642555
80.0	0.17552524694770869
81.0	0.1813684167573987
82.0	0.186997679979987
83.0	0.1931522327962175
84.0	0.19941238506683998
85.0	0.20580792125334965
86.0	0.21335422072490018
87.0	0.22158827048915755
88.0	0.22941346082743563
89.0	0.23812947733225126
90.0	0.24772819696865125
91.0	0.25744334677271413
92.0	0.26811972237957593
93.0	0.27839806927372945
94.0	0.2894508121667576
95.0	0.3002219565147404
96.0	0.3123415246649593
97.0	0.3250919818632125
98.0	0.338186314207819
99.0	0.35216334968400986
100.0	0.364429132463387
101.0	0.37770217157696456
102.0	0.3915952690253054
103.0	0.40544504362056233
104.0	0.42150157604478
105.0	0.4353784274232143
106.0	0.4513456064629466
107.0	0.46695807964305436
108.0	0.4823241540962475
109.0	0.4981424108285038
110.0	0.5167279148014937
111.0	0.5343684390415913
112.0	0.5532057570981314
113.0	0.5717316921481309
114.0	0.5906719019807452
115.0	0.6116834857264332
116.0	0.6335452804638925
117.0	0.6538988983783687
118.0	0.6753382952982602
119.0	0.6972055053923549
120.0	0.7224789748101708
121.0	0.7487380391356452
122.0	0.7751108259504649
123.0	0.8023500698269623
124.0	0.8325921289578372
125.0	0.8634596617801105
126.0	0.8966557979556432
127.0	0.928766155125761
128.0	0.9641067725289464
129.0	1.0049900074485523
130.0	1.0434038397423764
131.0	1.083120065307035
132.0	1.128925859408298
133.0	1.174144087314611
134.0	1.264515558847611
135.0	1.3764076576500348
136.0	1.4920877984189813
137.0	1.5993118598016154
138.0	1.724896687856867
139.0	1.889111962471362
140.0	3.276066027169007
141.0	4.8855831265501966
