#Coverage (X)	Coverage
1.0	41.458065465426365
2.0	35.27662378029551
3.0	30.81924869794959
4.0	28.254433042672403
5.0	26.218534903656476
6.0	24.79790330492878
7.0	23.60923808344714
8.0	22.679164901560398
9.0	21.885080335011338
10.0	21.219859716128468
11.0	20.64223841695673
12.0	20.140151118932536
13.0	19.687736113330416
14.0	19.283498194015024
15.0	18.91958352810788
16.0	18.589838740522396
17.0	18.28698957339674
18.0	18.011111865478583
19.0	17.755181835503905
20.0	17.520229916365437
21.0	17.29939652812439
22.0	17.092475027587554
23.0	16.89960665572538
24.0	16.71863870533322
25.0	16.550090219583225
26.0	16.389886779150785
27.0	16.239667614214994
28.0	16.0956609646736
29.0	15.958238370813376
30.0	15.827948098076234
31.0	15.704548714852592
32.0	15.586217308124944
33.0	15.4723624748151
34.0	15.363119193978548
35.0	15.256673597586044
36.0	15.15393157599972
37.0	15.055008626761904
38.0	14.959916577934166
39.0	14.868757011692281
40.0	14.780182920554623
41.0	14.693847811894187
42.0	14.610491983211219
43.0	14.530148831385432
44.0	14.452469776484847
45.0	14.376635203419909
46.0	14.302257569232324
47.0	14.230440362489176
48.0	14.161692189837723
49.0	14.093638393976903
50.0	14.028134589035602
51.0	13.96489550999965
