#Insert size (bp)	insert size
31.0	1.0
35.0	2.0
36.0	3.0
38.0	2.0
39.0	1.0
40.0	1.0
41.0	2.0
42.0	1.0
43.0	3.0
44.0	3.0
45.0	3.0
46.0	3.0
47.0	1.0
48.0	1.0
49.0	2.0
50.0	1.0
53.0	2.0
54.0	4.0
55.0	4.0
56.0	3.0
57.0	5.0
58.0	2.0
59.0	7.0
60.0	5.0
61.0	5.0
62.0	11.0
63.0	5.0
64.0	2.0
65.0	6.0
66.0	4.0
67.0	8.0
68.0	13.0
69.0	10.0
70.0	10.0
71.0	35.0
72.0	9.0
73.0	13.0
74.0	14.0
75.0	14.0
76.0	31.0
77.0	22.0
78.0	21.0
79.0	21.0
80.0	27.0
81.0	38.0
82.0	17.0
83.0	24.0
84.0	29.0
85.0	35.0
86.0	24.0
87.0	31.0
88.0	37.0
89.0	50.0
90.0	33.0
91.0	55.0
92.0	54.0
93.0	42.0
94.0	62.0
95.0	67.0
96.0	53.0
97.0	81.0
98.0	92.0
99.0	96.0
100.0	139.0
101.0	122.0
102.0	144.0
103.0	148.0
104.0	169.0
105.0	169.0
106.0	221.0
107.0	209.0
108.0	233.0
109.0	247.0
110.0	278.0
111.0	276.0
112.0	281.0
113.0	324.0
114.0	362.0
115.0	375.0
116.0	339.0
117.0	379.0
118.0	429.0
119.0	487.0
120.0	465.0
121.0	604.0
122.0	540.0
123.0	610.0
124.0	572.0
125.0	666.0
126.0	656.0
127.0	626.0
128.0	708.0
129.0	881.0
130.0	804.0
131.0	899.0
132.0	853.0
133.0	894.0
134.0	967.0
135.0	1199.0
136.0	1084.0
137.0	1231.0
138.0	1514.0
139.0	1411.0
140.0	1836.0
141.0	2207.0
142.0	27526.0
143.0	29349.0
144.0	29814.0
145.0	30877.0
146.0	32415.0
147.0	34038.0
148.0	34750.0
149.0	36392.0
150.0	37559.0
151.0	39155.0
152.0	40459.0
153.0	41834.0
154.0	43220.0
155.0	44382.0
156.0	46186.0
157.0	46608.0
158.0	50144.0
159.0	51109.0
160.0	53294.0
161.0	54017.0
162.0	55793.0
163.0	57131.0
164.0	58537.0
165.0	60681.0
166.0	61130.0
167.0	64876.0
168.0	67486.0
169.0	68256.0
170.0	70276.0
171.0	72604.0
172.0	76982.0
173.0	77793.0
174.0	80295.0
175.0	81576.0
176.0	85545.0
177.0	85789.0
178.0	87362.0
179.0	91669.0
180.0	92805.0
181.0	95305.0
182.0	97238.0
183.0	99707.0
184.0	101865.0
185.0	105935.0
186.0	108360.0
187.0	109674.0
188.0	114402.0
189.0	116688.0
190.0	120294.0
191.0	122971.0
192.0	126619.0
193.0	130127.0
194.0	133030.0
195.0	136600.0
196.0	140673.0
197.0	141271.0
198.0	147563.0
199.0	150787.0
200.0	155693.0
201.0	161380.0
202.0	164502.0
203.0	169846.0
204.0	173157.0
205.0	183314.0
206.0	182025.0
207.0	183970.0
208.0	185836.0
209.0	194473.0
210.0	193545.0
211.0	197441.0
212.0	197913.0
213.0	207699.0
214.0	211874.0
215.0	213371.0
216.0	219278.0
217.0	223427.0
218.0	228226.0
219.0	230290.0
220.0	230640.0
221.0	235059.0
222.0	243163.0
223.0	246459.0
224.0	255043.0
225.0	250983.0
226.0	259517.0
227.0	260298.0
228.0	263861.0
229.0	266748.0
230.0	267697.0
231.0	276502.0
232.0	275699.0
233.0	274950.0
234.0	276603.0
235.0	283765.0
236.0	286301.0
237.0	293813.0
238.0	289805.0
239.0	288731.0
240.0	296033.0
241.0	290315.0
242.0	297500.0
243.0	297964.0
244.0	298342.0
245.0	305786.0
246.0	306563.0
247.0	307204.0
248.0	307208.0
249.0	306397.0
250.0	310601.0
251.0	310998.0
252.0	310201.0
253.0	313992.0
254.0	311369.0
255.0	313055.0
256.0	312347.0
257.0	315006.0
258.0	319407.0
259.0	315439.0
260.0	312961.0
261.0	313710.0
262.0	311658.0
263.0	315444.0
264.0	316405.0
265.0	314564.0
266.0	314819.0
267.0	313854.0
268.0	313081.0
269.0	312761.0
270.0	312566.0
271.0	313268.0
272.0	311024.0
273.0	311315.0
274.0	306260.0
275.0	305414.0
276.0	304013.0
277.0	307168.0
278.0	301877.0
279.0	299043.0
280.0	298061.0
281.0	298386.0
282.0	298124.0
283.0	298107.0
284.0	294417.0
285.0	289384.0
286.0	284879.0
287.0	286182.0
288.0	287685.0
289.0	283215.0
290.0	285589.0
291.0	277974.0
292.0	277928.0
293.0	273529.0
294.0	274848.0
295.0	273727.0
296.0	270546.0
297.0	266236.0
298.0	266015.0
299.0	260753.0
300.0	263820.0
301.0	258727.0
302.0	255968.0
303.0	257677.0
304.0	253954.0
305.0	251807.0
306.0	250128.0
307.0	242893.0
308.0	243686.0
309.0	245178.0
310.0	240174.0
311.0	234998.0
312.0	231501.0
313.0	230564.0
314.0	231067.0
315.0	225403.0
316.0	226577.0
317.0	219337.0
318.0	221370.0
319.0	218932.0
320.0	218272.0
321.0	212321.0
322.0	212757.0
323.0	207096.0
324.0	203003.0
325.0	200307.0
326.0	203325.0
327.0	198621.0
328.0	191388.0
329.0	188917.0
330.0	189949.0
331.0	186708.0
332.0	186765.0
333.0	182895.0
334.0	180405.0
335.0	177689.0
336.0	175960.0
337.0	176606.0
338.0	171673.0
339.0	173629.0
340.0	168496.0
341.0	165070.0
342.0	162692.0
343.0	163879.0
344.0	157961.0
345.0	154330.0
346.0	149810.0
347.0	150447.0
348.0	148772.0
349.0	145741.0
350.0	144709.0
351.0	142651.0
352.0	140824.0
353.0	139054.0
354.0	135807.0
355.0	136792.0
356.0	133823.0
357.0	132432.0
358.0	130814.0
359.0	126689.0
360.0	127885.0
361.0	124084.0
362.0	121653.0
363.0	121840.0
364.0	119280.0
365.0	117316.0
366.0	116365.0
367.0	113178.0
368.0	113570.0
369.0	111260.0
370.0	109342.0
371.0	107087.0
372.0	106048.0
373.0	104794.0
374.0	103348.0
375.0	102075.0
376.0	98999.0
377.0	98042.0
378.0	97503.0
379.0	95184.0
380.0	94329.0
381.0	92521.0
382.0	91979.0
383.0	90055.0
384.0	89667.0
385.0	87745.0
386.0	87311.0
387.0	85898.0
388.0	84822.0
389.0	82702.0
390.0	82372.0
391.0	82114.0
392.0	79691.0
393.0	78590.0
394.0	77393.0
395.0	76533.0
396.0	75897.0
397.0	75002.0
398.0	74504.0
399.0	73583.0
400.0	71640.0
401.0	70336.0
402.0	70385.0
403.0	69728.0
404.0	68693.0
405.0	67479.0
406.0	66153.0
407.0	64540.0
408.0	64485.0
409.0	63922.0
410.0	63003.0
411.0	61184.0
412.0	61323.0
413.0	60768.0
414.0	60127.0
415.0	60233.0
416.0	58257.0
417.0	57693.0
418.0	56480.0
419.0	55268.0
420.0	54905.0
421.0	54385.0
422.0	53326.0
423.0	52827.0
424.0	52631.0
425.0	51946.0
426.0	51166.0
427.0	50999.0
428.0	51147.0
429.0	49464.0
430.0	48557.0
431.0	48786.0
432.0	48269.0
433.0	48772.0
434.0	46247.0
435.0	45544.0
436.0	45865.0
437.0	45650.0
438.0	44676.0
439.0	44423.0
440.0	43740.0
441.0	43589.0
442.0	42867.0
443.0	42766.0
444.0	42438.0
445.0	41734.0
446.0	41712.0
447.0	41667.0
448.0	41549.0
449.0	41644.0
450.0	42158.0
451.0	39557.0
452.0	38934.0
453.0	38686.0
454.0	38033.0
455.0	38968.0
456.0	38474.0
457.0	38148.0
458.0	37085.0
459.0	37612.0
460.0	38527.0
461.0	37335.0
462.0	38111.0
463.0	36098.0
464.0	35033.0
465.0	35638.0
466.0	35645.0
467.0	34212.0
468.0	35477.0
469.0	35000.0
470.0	34087.0
471.0	33131.0
472.0	33343.0
473.0	34045.0
474.0	32180.0
475.0	33833.0
476.0	32580.0
477.0	32569.0
478.0	31520.0
479.0	31478.0
480.0	31452.0
481.0	30557.0
482.0	30411.0
483.0	31152.0
484.0	31422.0
485.0	30183.0
486.0	31141.0
487.0	30513.0
488.0	29317.0
489.0	28196.0
490.0	29193.0
491.0	28781.0
492.0	29100.0
493.0	29393.0
494.0	28409.0
495.0	27622.0
496.0	27485.0
497.0	26902.0
498.0	26871.0
499.0	27044.0
500.0	26413.0
501.0	27100.0
502.0	26599.0
503.0	25818.0
504.0	26581.0
505.0	24991.0
506.0	26074.0
507.0	25266.0
508.0	24923.0
509.0	24392.0
510.0	24226.0
511.0	24336.0
512.0	24165.0
513.0	24608.0
514.0	23613.0
515.0	23983.0
516.0	23551.0
517.0	24035.0
518.0	24087.0
519.0	23946.0
520.0	23541.0
521.0	23939.0
522.0	23000.0
523.0	24211.0
524.0	22702.0
525.0	22116.0
526.0	21901.0
527.0	22117.0
528.0	21383.0
529.0	21626.0
530.0	22207.0
531.0	30061.0
532.0	21470.0
533.0	20696.0
534.0	20464.0
535.0	20199.0
536.0	20744.0
537.0	20109.0
538.0	19823.0
539.0	19181.0
540.0	18737.0
541.0	18755.0
542.0	18487.0
543.0	18487.0
544.0	17922.0
545.0	18717.0
546.0	17835.0
547.0	18082.0
548.0	17656.0
549.0	17350.0
550.0	17225.0
551.0	17462.0
552.0	17538.0
553.0	17321.0
554.0	16419.0
555.0	16338.0
556.0	16627.0
557.0	16459.0
558.0	16534.0
559.0	16100.0
560.0	16526.0
561.0	16315.0
562.0	15847.0
563.0	15705.0
564.0	15841.0
565.0	16209.0
566.0	15602.0
567.0	15416.0
568.0	16073.0
569.0	15444.0
570.0	15030.0
571.0	15382.0
572.0	15282.0
573.0	15070.0
574.0	15116.0
575.0	15048.0
576.0	15090.0
577.0	14699.0
578.0	14592.0
579.0	14986.0
580.0	14140.0
581.0	15023.0
582.0	13956.0
583.0	13964.0
584.0	13941.0
585.0	13934.0
586.0	14260.0
587.0	13677.0
588.0	14093.0
589.0	13986.0
590.0	13526.0
591.0	13664.0
592.0	13920.0
593.0	14062.0
594.0	13485.0
595.0	13493.0
596.0	13493.0
597.0	13315.0
598.0	13876.0
599.0	13342.0
600.0	13202.0
601.0	13172.0
602.0	13189.0
603.0	13240.0
604.0	13071.0
605.0	12942.0
606.0	13112.0
607.0	13095.0
608.0	12865.0
609.0	12883.0
610.0	12894.0
611.0	12754.0
612.0	12825.0
613.0	12301.0
614.0	12495.0
615.0	12639.0
616.0	12690.0
617.0	12880.0
618.0	12414.0
619.0	12733.0
620.0	12452.0
621.0	13075.0
622.0	12433.0
623.0	12066.0
624.0	12210.0
625.0	12545.0
626.0	11937.0
627.0	12203.0
628.0	11995.0
629.0	12416.0
630.0	12295.0
631.0	11958.0
632.0	11688.0
633.0	11382.0
634.0	11845.0
635.0	12158.0
636.0	11671.0
637.0	11973.0
638.0	11177.0
639.0	11027.0
640.0	11285.0
641.0	11835.0
642.0	11383.0
643.0	11651.0
644.0	11381.0
645.0	11909.0
646.0	11451.0
647.0	11731.0
648.0	11773.0
649.0	11521.0
650.0	11749.0
651.0	11638.0
652.0	11389.0
653.0	11955.0
654.0	11858.0
655.0	11535.0
656.0	11819.0
657.0	11503.0
658.0	11567.0
659.0	11818.0
660.0	12115.0
661.0	11196.0
662.0	11441.0
663.0	11427.0
664.0	11382.0
665.0	11413.0
666.0	11628.0
667.0	11169.0
668.0	10704.0
669.0	11036.0
670.0	10811.0
671.0	11060.0
672.0	11324.0
673.0	11028.0
674.0	10953.0
675.0	11187.0
676.0	11182.0
677.0	10315.0
678.0	10565.0
679.0	10365.0
680.0	10553.0
681.0	10093.0
682.0	10338.0
683.0	10962.0
684.0	11032.0
685.0	10940.0
686.0	10609.0
687.0	10350.0
688.0	10466.0
689.0	10690.0
690.0	10563.0
691.0	10169.0
692.0	10645.0
693.0	10303.0
694.0	10321.0
695.0	10127.0
696.0	10115.0
697.0	10278.0
698.0	9873.0
699.0	10218.0
700.0	10064.0
701.0	10372.0
702.0	9704.0
703.0	9870.0
704.0	10294.0
705.0	9677.0
706.0	10200.0
707.0	10099.0
708.0	9772.0
709.0	10034.0
710.0	9858.0
711.0	9938.0
712.0	9382.0
713.0	9464.0
714.0	9315.0
715.0	9668.0
716.0	9263.0
717.0	9914.0
718.0	9951.0
719.0	9288.0
720.0	9733.0
721.0	8859.0
722.0	9563.0
723.0	9110.0
724.0	9034.0
725.0	9626.0
726.0	9178.0
727.0	9105.0
728.0	9248.0
729.0	9136.0
730.0	9396.0
731.0	9187.0
732.0	9388.0
733.0	9413.0
734.0	9354.0
735.0	9361.0
736.0	9761.0
737.0	9046.0
738.0	9405.0
739.0	9418.0
740.0	9581.0
741.0	8858.0
742.0	8792.0
743.0	8961.0
744.0	9223.0
745.0	9397.0
746.0	9129.0
747.0	8617.0
748.0	9123.0
749.0	9033.0
750.0	8856.0
751.0	9013.0
752.0	8237.0
753.0	8594.0
754.0	8492.0
755.0	8814.0
756.0	8200.0
757.0	8211.0
758.0	7833.0
