#Duplication rate	Coverage
1.0	3962114.0
2.0	2412585.0
3.0	1586513.0
4.0	1115658.0
5.0	821818.0
6.0	626151.0
7.0	488217.0
8.0	388052.0
9.0	314839.0
10.0	258216.0
11.0	214838.0
12.0	180058.0
13.0	152880.0
14.0	131205.0
15.0	112514.0
16.0	98423.0
17.0	85784.0
18.0	75376.0
19.0	66867.0
20.0	59218.0
21.0	53363.0
22.0	47248.0
23.0	42983.0
24.0	38591.0
25.0	34851.0
26.0	32198.0
27.0	29310.0
28.0	26916.0
29.0	24785.0
30.0	22815.0
31.0	20860.0
32.0	19221.0
33.0	18051.0
34.0	16990.0
35.0	15585.0
36.0	14628.0
37.0	13515.0
38.0	12726.0
39.0	12070.0
40.0	11183.0
41.0	10834.0
42.0	9993.0
43.0	9398.0
44.0	8925.0
45.0	8391.0
46.0	7993.0
47.0	7566.0
48.0	7181.0
49.0	6763.0
50.0	250470.0
