Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
HSF4_2H_3_ZKRN250030473-1A_23F5KYLT4_L8_1	(1, 39.4359809871481)	(2, 39.32869288271099)	(3, 39.48053556779015)	(4, 39.41669543948675)	(5, 39.44183957270448)	(6, 39.44444849415886)	(7, 39.497225639596515)	(8, 39.48956013443136)	(9, 39.48532832561018)	(10, 39.47919607986862)	(15, 39.58585716180116)	(20, 39.61201938383781)	(25, 39.58879221999605)	(30, 39.554169928265786)	(35, 39.5378589378874)	(40, 39.537269869282895)	(45, 39.52717525115684)	(50, 39.518313467782875)	(55, 39.51053069024058)	(60, 39.49413318341373)	(65, 39.47558571468421)	(70, 39.474508870003845)	(75, 39.464064451586296)	(80, 39.45151932369338)	(85, 39.43978048475081)	(90, 39.42576725227473)	(95, 39.41625975982886)	(100, 39.408924027347716)	(105, 39.39875399771196)	(110, 39.371456164574134)	(115, 39.36637840228442)	(120, 39.34732511503334)	(125, 39.33968317134524)	(130, 39.334035273403686)	(135, 39.3158781388721)	(140, 39.29715113971254)	(145, 39.284271138959305)	(150, 39.27721895727441)
HSF4_2H_3_ZKRN250030473-1A_23F5KYLT4_L8_2	(1, 39.37936610862443)	(2, 39.31676737520341)	(3, 39.484126598765805)	(4, 39.46724191774725)	(5, 39.50193534796164)	(6, 39.4755284899316)	(7, 39.50433558104216)	(8, 39.495011568231185)	(9, 39.50332584116612)	(10, 39.46513684725157)	(15, 39.48033578448606)	(20, 39.47147048484145)	(25, 39.4828091412125)	(30, 39.46018887019391)	(35, 39.43750585891114)	(40, 39.411737395828496)	(45, 39.389728477207555)	(50, 39.37225859583417)	(55, 39.359352844294236)	(60, 39.337425989586876)	(65, 39.329162753613005)	(70, 39.3013882422985)	(75, 39.28079973510058)	(80, 39.27430406747861)	(85, 39.246957119185296)	(90, 39.22807858600867)	(95, 39.219145488161054)	(100, 39.19702806144111)	(105, 39.17537658457665)	(110, 39.159563637502764)	(115, 39.139083779195445)	(120, 39.12468906831412)	(125, 39.087998002166955)	(130, 39.07892471810659)	(135, 39.066442256562276)	(140, 39.02885385504605)	(145, 39.008177655789666)	(150, 39.02069701881671)
HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_1	(1, 39.34891482736418)	(2, 39.21638286126848)	(3, 39.368410070580424)	(4, 39.341407768203275)	(5, 39.36895498028167)	(6, 39.412032403225446)	(7, 39.46573243716523)	(8, 39.42637170713259)	(9, 39.42772761127717)	(10, 39.423765445475155)	(15, 39.56064664109296)	(20, 39.59234021369515)	(25, 39.578239652355876)	(30, 39.539724391187306)	(35, 39.530442449159615)	(40, 39.50913323791062)	(45, 39.50536970574308)	(50, 39.49966233495494)	(55, 39.49841593600953)	(60, 39.48243669315987)	(65, 39.468725823210455)	(70, 39.45782623762014)	(75, 39.44763177375255)	(80, 39.43810806335543)	(85, 39.428164369427314)	(90, 39.412160184569345)	(95, 39.39381632330454)	(100, 39.387906087309844)	(105, 39.382007632224216)	(110, 39.354668832655236)	(115, 39.358583230226685)	(120, 39.343898313805724)	(125, 39.332433180120844)	(130, 39.33046509337878)	(135, 39.312646879820356)	(140, 39.29811290084619)	(145, 39.284748314547)	(150, 39.25655185569793)
HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_2	(1, 39.318906156053934)	(2, 39.27491983616536)	(3, 39.44587341525065)	(4, 39.4206261725692)	(5, 39.42483651097477)	(6, 39.433464785073106)	(7, 39.49413265606946)	(8, 39.47454559608044)	(9, 39.48550015419075)	(10, 39.44963001613344)	(15, 39.46661193681747)	(20, 39.4655198044589)	(25, 39.47510628696725)	(30, 39.45144366566076)	(35, 39.443202860997744)	(40, 39.42907866579745)	(45, 39.40045360102046)	(50, 39.38813812988856)	(55, 39.375060304642105)	(60, 39.35161946169777)	(65, 39.33327368181695)	(70, 39.31810860329797)	(75, 39.30157778109175)	(80, 39.29144994552609)	(85, 39.26420588236298)	(90, 39.24999409437854)	(95, 39.230770801712666)	(100, 39.207884996183815)	(105, 39.195846025679806)	(110, 39.17302817176709)	(115, 39.1579828588721)	(120, 39.138694867895516)	(125, 39.126951853392555)	(130, 39.109838867725344)	(135, 39.09119917937835)	(140, 39.065044177271474)	(145, 39.04538800160482)	(150, 39.06026594748141)
HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_1	(1, 39.338511320912204)	(2, 39.24427487150622)	(3, 39.33782518922346)	(4, 39.32053652810376)	(5, 39.362000711811426)	(6, 39.35825044683226)	(7, 39.41634955891769)	(8, 39.40800227340977)	(9, 39.3938058195189)	(10, 39.39427274665276)	(15, 39.545774199382535)	(20, 39.57933480096572)	(25, 39.565598276963)	(30, 39.522849137123174)	(35, 39.513370159106444)	(40, 39.490536296599956)	(45, 39.4863705952565)	(50, 39.477794404817736)	(55, 39.47734644593497)	(60, 39.4631400174935)	(65, 39.44649662059483)	(70, 39.434455507605676)	(75, 39.42474281308625)	(80, 39.4148855397148)	(85, 39.403352939587535)	(90, 39.38731278095781)	(95, 39.36590478103998)	(100, 39.35889742174858)	(105, 39.35125945306369)	(110, 39.32068185610901)	(115, 39.32208681963925)	(120, 39.30412868197474)	(125, 39.29093888923396)	(130, 39.2854614128447)	(135, 39.26520034336705)	(140, 39.243209494505564)	(145, 39.22308722690444)	(150, 39.19024899054015)
HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_2	(1, 39.30132082473971)	(2, 39.24122394493786)	(3, 39.42589994977391)	(4, 39.39205793688566)	(5, 39.41092275463569)	(6, 39.41860520525959)	(7, 39.45002534860388)	(8, 39.43432958421397)	(9, 39.44108424330512)	(10, 39.40470840494135)	(15, 39.416485341011565)	(20, 39.41588802259786)	(25, 39.42380026632398)	(30, 39.40205230143833)	(35, 39.39171516838561)	(40, 39.37099482163269)	(45, 39.345862205580126)	(50, 39.332229898833226)	(55, 39.31892586408503)	(60, 39.297487168192454)	(65, 39.27639982130764)	(70, 39.260640850009345)	(75, 39.24404567309266)	(80, 39.23418045251829)	(85, 39.204851284682924)	(90, 39.189742663352135)	(95, 39.16848367928155)	(100, 39.142415876704206)	(105, 39.13015416125566)	(110, 39.106253817326746)	(115, 39.08957568520442)	(120, 39.0666261789244)	(125, 39.0528021777653)	(130, 39.030919280341)	(135, 39.0094497378707)	(140, 38.977789085443575)	(145, 38.95347222775989)	(150, 38.96921364415804)
HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_1	(1, 39.33859018355852)	(2, 39.24584698269108)	(3, 39.353838315578386)	(4, 39.35317007190569)	(5, 39.3958686357606)	(6, 39.36984139646822)	(7, 39.45076876382064)	(8, 39.4224779942732)	(9, 39.39315963553464)	(10, 39.40449413615209)	(15, 39.54912712412489)	(20, 39.582342663701745)	(25, 39.568372553513356)	(30, 39.52777656455889)	(35, 39.51917908316774)	(40, 39.49637815220287)	(45, 39.49292408351164)	(50, 39.48700011883974)	(55, 39.48682626707915)	(60, 39.47065261370097)	(65, 39.456231899757725)	(70, 39.444724577233764)	(75, 39.43469852560319)	(80, 39.424832972474654)	(85, 39.41417331279071)	(90, 39.39798827681464)	(95, 39.37854433337012)	(100, 39.372481543591775)	(105, 39.36663477151748)	(110, 39.33913931260298)	(115, 39.34314659491035)	(120, 39.327658897921)	(125, 39.31556065982907)	(130, 39.313576243263775)	(135, 39.29699357520102)	(140, 39.28157411572459)	(145, 39.269244961888916)	(150, 39.24038631685517)
HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_2	(1, 39.305409368648526)	(2, 39.23340996518958)	(3, 39.42663504291888)	(4, 39.40119853722776)	(5, 39.436249156782765)	(6, 39.43596434017916)	(7, 39.48273317004984)	(8, 39.46525323579866)	(9, 39.47555411909407)	(10, 39.44062307489151)	(15, 39.45325927624138)	(20, 39.4536169840595)	(25, 39.462407741188684)	(30, 39.43744095737095)	(35, 39.4217438670398)	(40, 39.41371732746745)	(45, 39.386197949610825)	(50, 39.375124927399646)	(55, 39.3620054534646)	(60, 39.337082821737496)	(65, 39.31904217451911)	(70, 39.301845159771894)	(75, 39.28271604582177)	(80, 39.27284061616015)	(85, 39.24435813114236)	(90, 39.2298810384948)	(95, 39.20957743789452)	(100, 39.18563813099059)	(105, 39.173541573186924)	(110, 39.15151245592075)	(115, 39.13644182273877)	(120, 39.11711819025676)	(125, 39.104939720336155)	(130, 39.08819217495564)	(135, 39.0697119813632)	(140, 39.04483104324046)	(145, 39.026388903918345)	(150, 39.04242907891379)
HSF4_6H_1_ZKRN250030477-1A_23F5KYLT4_L7_1	(1, 39.344375756388665)	(2, 39.177777471546555)	(3, 39.34800269224357)	(4, 39.28965327735427)	(5, 39.34662842074262)	(6, 39.340802410997675)	(7, 39.37598270531689)	(8, 39.369730072292754)	(9, 39.35098263612041)	(10, 39.350380609093506)	(15, 39.52112533142904)	(20, 39.558696204081436)	(25, 39.544792976798924)	(30, 39.500994919722174)	(35, 39.496141217664466)	(40, 39.47387066587369)	(45, 39.4698271534793)	(50, 39.46414497818387)	(55, 39.46543950393369)	(60, 39.45281547120966)	(65, 39.434315948842034)	(70, 39.42579943868995)	(75, 39.415437547783604)	(80, 39.407054907788186)	(85, 39.394985294914115)	(90, 39.37943128111498)	(95, 39.35818422081203)	(100, 39.351616358078836)	(105, 39.345901152997854)	(110, 39.31598388980356)	(115, 39.31885775204414)	(120, 39.3019876310461)	(125, 39.29024677309341)	(130, 39.28910341171223)	(135, 39.26926671893405)	(140, 39.25012986264999)	(145, 39.23272817528848)	(150, 39.20133552539924)
HSF4_6H_1_ZKRN250030477-1A_23F5KYLT4_L7_2	(1, 39.293769240915026)	(2, 39.21352609960614)	(3, 39.412080809943895)	(4, 39.36791889128436)	(5, 39.37150654709594)	(6, 39.37456958563716)	(7, 39.44808555330849)	(8, 39.43556338565235)	(9, 39.43370493510656)	(10, 39.39419084475041)	(15, 39.415427587416794)	(20, 39.41788529713036)	(25, 39.42124261209814)	(30, 39.40168698854355)	(35, 39.37586490052128)	(40, 39.37068350749941)	(45, 39.34385170054222)	(50, 39.33173686359827)	(55, 39.31600672365983)	(60, 39.29192273731296)	(65, 39.2721623589258)	(70, 39.253058269382535)	(75, 39.234322662372676)	(80, 39.22891147422675)	(85, 39.19729342245368)	(90, 39.18192958216968)	(95, 39.160255674803174)	(100, 39.133944343142765)	(105, 39.121575927116496)	(110, 39.095945198273824)	(115, 39.07854900737014)	(120, 39.05519228091596)	(125, 39.042269401853275)	(130, 39.02049605571241)	(135, 38.99864114213724)	(140, 38.96563901946412)	(145, 38.940702654213965)	(150, 38.95635749660608)
HSF4_6H_2_ZKRN250030478-1A_23F5KYLT4_L7_1	(1, 39.17007515397187)	(2, 39.04142227093879)	(3, 39.237192948151794)	(4, 39.16588653625689)	(5, 39.22316810489688)	(6, 39.23909937442979)	(7, 39.284885473506684)	(8, 39.278032205890575)	(9, 39.26871226731481)	(10, 39.29323752631611)	(15, 39.481832867606514)	(20, 39.529108031543146)	(25, 39.51572031197195)	(30, 39.47718199820541)	(35, 39.46858464704331)	(40, 39.44681539779807)	(45, 39.44359276314583)	(50, 39.438626770682376)	(55, 39.44133101261152)	(60, 39.42519481513269)	(65, 39.41046383946597)	(70, 39.39663773472984)	(75, 39.38412570252677)	(80, 39.37334470192466)	(85, 39.362128512398826)	(90, 39.34286286762062)	(95, 39.32018097493818)	(100, 39.31361700475535)	(105, 39.307012073801204)	(110, 39.276177036040906)	(115, 39.2821809645974)	(120, 39.26491019173217)	(125, 39.25091704766959)	(130, 39.250340381828615)	(135, 39.231062410840146)	(140, 39.21487090334707)	(145, 39.19931956912788)	(150, 39.16764209994928)
HSF4_6H_2_ZKRN250030478-1A_23F5KYLT4_L7_2	(1, 38.96901866463862)	(2, 38.903709811379464)	(3, 39.22233018205884)	(4, 39.23338039641852)	(5, 39.26439297973818)	(6, 39.27450742867564)	(7, 39.324510272390256)	(8, 39.31898677273174)	(9, 39.33410012413637)	(10, 39.30667860807455)	(15, 39.33348943148739)	(20, 39.336553167827574)	(25, 39.350697050386394)	(30, 39.32297162066821)	(35, 39.30653135912168)	(40, 39.295320456554855)	(45, 39.261328318368186)	(50, 39.24887442015249)	(55, 39.23436673765769)	(60, 39.201291503309754)	(65, 39.18262360452344)	(70, 39.15851656052482)	(75, 39.13811973965675)	(80, 39.12869470866966)	(85, 39.09562063248914)	(90, 39.07728885042955)	(95, 39.05552965242286)	(100, 39.02601786980863)	(105, 39.01264874108049)	(110, 38.98749574782409)	(115, 38.97031576701093)	(120, 38.94826158226161)	(125, 38.93485419264592)	(130, 38.91491390407234)	(135, 38.89537094588528)	(140, 38.86613713096928)	(145, 38.843815071123416)	(150, 38.86351318614016)
HSF4_6H_3_ZKRN250030479-1A_23F5KYLT4_L7_1	(1, 39.32446972199429)	(2, 39.224073323279384)	(3, 39.33301055683162)	(4, 39.33011478302936)	(5, 39.30837689140428)	(6, 39.32485553564955)	(7, 39.3839411890363)	(8, 39.36733897639937)	(9, 39.36785512806727)	(10, 39.36676475196665)	(15, 39.52170294687806)	(20, 39.559896783534114)	(25, 39.54529240100557)	(30, 39.50272248792731)	(35, 39.494159709299694)	(40, 39.47231246366232)	(45, 39.468970464180146)	(50, 39.463955839153)	(55, 39.4654709058751)	(60, 39.44976619535568)	(65, 39.43617153372916)	(70, 39.42428150645927)	(75, 39.41199637783309)	(80, 39.402004515793365)	(85, 39.391317127201305)	(90, 39.373791877655464)	(95, 39.353550667118775)	(100, 39.34806938346945)	(105, 39.34187741004665)	(110, 39.3129705591373)	(115, 39.31839140521621)	(120, 39.30241593905254)	(125, 39.29009495515619)	(130, 39.288718072638176)	(135, 39.269822710195314)	(140, 39.2553064057274)	(145, 39.23994491681659)	(150, 39.210490580565065)
HSF4_6H_3_ZKRN250030479-1A_23F5KYLT4_L7_2	(1, 39.264468892487635)	(2, 39.21132130976875)	(3, 39.40483256784004)	(4, 39.38443026222026)	(5, 39.409075222513884)	(6, 39.409400693482894)	(7, 39.46255334885578)	(8, 39.44115397477384)	(9, 39.45529142497584)	(10, 39.42120508778437)	(15, 39.434648774090064)	(20, 39.43508017959166)	(25, 39.4444683410646)	(30, 39.42102771276641)	(35, 39.40521854206851)	(40, 39.38634738238919)	(45, 39.36365043071303)	(50, 39.35313089587686)	(55, 39.34121238510735)	(60, 39.31448942487581)	(65, 39.29593590092223)	(70, 39.276920966171254)	(75, 39.25792725263106)	(80, 39.246545242535724)	(85, 39.217134337690844)	(90, 39.20075904055968)	(95, 39.180511990996806)	(100, 39.15571903693511)	(105, 39.14361102786951)	(110, 39.12037106500499)	(115, 39.103831979539905)	(120, 39.083675788873876)	(125, 39.07004752730105)	(130, 39.05014250234642)	(135, 39.03011250398445)	(140, 39.002091732597634)	(145, 38.97926701937912)	(150, 38.99222113983302)
