Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
HSF4_2H_3_ZKRN250030473-1A_23F5KYLT4_L8_1	(1, 0.0)	(2, 0.059178236291098286)	(3, 0.0)	(4, 0.0016085442208429142)	(5, 0.0)	(6, 0.005492632946663824)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0001738776466294091)	(20, 8.517892810590486e-05)	(25, 0.00016965389812828983)	(30, 0.0011830015593551496)	(35, 0.0015381484124909266)	(40, 0.002783098283195825)	(45, 0.0003579626854698564)	(50, 0.003343096938635886)	(55, 0.0005923807272819748)	(60, 0.0007757618080389021)	(65, 3.76617574683133e-05)	(70, 0.0)	(75, 0.0002294903352274792)	(80, 7.039580835198749e-07)	(85, 0.0)	(90, 1.5487077837437246e-05)	(95, 0.00013727182628637562)	(100, 0.0007088857901045141)	(105, 0.0)	(110, 3.5197904175993744e-07)	(115, 0.0)	(120, 5.209289818047074e-05)	(125, 2.745436525727512e-05)	(130, 0.0)	(135, 0.0)	(140, 0.00032522863458618216)	(145, 6.58200808091083e-05)	(150, 0.0)
HSF4_2H_3_ZKRN250030473-1A_23F5KYLT4_L8_2	(1, 0.010547051986336525)	(2, 0.011451638123659565)	(3, 0.001979882109899648)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0009274647750374351)	(15, 0.0010365782779830158)	(20, 0.002948880411864756)	(25, 0.000382601218393052)	(30, 5.9836437099189365e-06)	(35, 4.998102392991112e-05)	(40, 0.0)	(45, 6.335622751678874e-06)	(50, 6.757997601790799e-05)	(55, 0.00042061495490312525)	(60, 0.0001587425478337318)	(65, 0.001576162149001)	(70, 0.005025908737290147)	(75, 0.005226888770135071)	(80, 0.0016352946280166695)	(85, 0.0003533869579269772)	(90, 0.0005790055236950971)	(95, 8.658684427294462e-05)	(100, 3.5197904175993744e-07)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 3.5197904175993744e-07)	(125, 4.927706584639124e-06)	(130, 0.004906235863091768)	(135, 0.0017194176189972946)	(140, 0.004764740288304273)	(145, 0.00236283530733446)	(150, 0.0029566239507834748)
HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_1	(1, 0.0)	(2, 0.04970580525812268)	(3, 0.0)	(4, 5.687596909541843e-06)	(5, 0.0)	(6, 0.006730323009624514)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.016522848195346357)	(25, 0.0003677979334837058)	(30, 0.0017278919411188116)	(35, 0.0011075647048514482)	(40, 0.020854901174780723)	(45, 0.009288224926409131)	(50, 0.002480171425687546)	(55, 0.00023736237769154622)	(60, 0.0016960413984253775)	(65, 2.275038763816737e-06)	(70, 2.237121451086458e-05)	(75, 0.00012323126637340658)	(80, 4.170904400330684e-06)	(85, 7.58346254605579e-07)	(90, 2.6542118911195265e-06)	(95, 0.0004758622747650008)	(100, 0.001304355557921596)	(105, 0.0)	(110, 0.008649318206903931)	(115, 3.791731273027895e-07)	(120, 3.526310083915942e-05)	(125, 3.033385018422316e-06)	(130, 3.791731273027895e-07)	(135, 0.008449873141942664)	(140, 3.033385018422316e-06)	(145, 0.00011754366946386475)	(150, 0.04282950059448659)
HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_2	(1, 0.011200774180524403)	(2, 0.00948501577947928)	(3, 0.0049027085360250685)	(4, 3.7917312730278952e-06)	(5, 1.8958656365139476e-06)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 1.8958656365139476e-06)	(10, 0.0007621379858786068)	(15, 0.002222333699121649)	(20, 0.0016767035689329351)	(25, 0.0002013409305977812)	(30, 0.0007613796396240013)	(35, 3.905483211218732e-05)	(40, 0.0)	(45, 0.000488374987965993)	(50, 6.976785542371327e-05)	(55, 0.0005012668742942877)	(60, 0.00022181627947213186)	(65, 0.0008971236191984)	(70, 0.003773530962917361)	(75, 0.006436843009092154)	(80, 0.0031008778350822127)	(85, 0.000727633231294053)	(90, 0.0006836491485269295)	(95, 0.0002991675974419009)	(100, 0.0)	(105, 2.6921292038498058e-05)	(110, 3.791731273027895e-07)	(115, 0.0)	(120, 1.9717002619745052e-05)	(125, 0.0004398408276712358)	(130, 0.006229056135330226)	(135, 0.02760418284077038)	(140, 0.005369849828862105)	(145, 0.0029894009356551923)	(150, 0.0024437708054664783)
HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_1	(1, 0.0)	(2, 0.049598578400633905)	(3, 0.0)	(4, 1.930807318617016e-06)	(5, 0.0)	(6, 0.006730794312698918)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.016578297799109423)	(25, 0.0003714873281019139)	(30, 0.001773639602881591)	(35, 0.0011279776355360607)	(40, 0.020766605034653454)	(45, 0.009335453385513273)	(50, 0.0024671855917288233)	(55, 0.0002425093992182972)	(60, 0.0017319341647994632)	(65, 2.7031302460638225e-06)	(70, 1.9694234649893562e-05)	(75, 0.00012202702253659541)	(80, 3.861614637234032e-06)	(85, 7.723229274468064e-07)	(90, 3.0892917097872258e-06)	(95, 0.00046416607939553064)	(100, 0.0013137212995870176)	(105, 0.0)	(110, 0.008737675439669445)	(115, 0.0)	(120, 3.0506755634148852e-05)	(125, 2.316968782340419e-06)	(130, 0.0)	(135, 0.0086758896054737)	(140, 5.406260492127645e-06)	(145, 0.00011314530887095713)	(150, 0.04348950404452967)
HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_2	(1, 0.011028771403940395)	(2, 0.009549772997879761)	(3, 0.004842464755091476)	(4, 3.861614637234032e-06)	(5, 3.861614637234032e-06)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0007688474742732958)	(15, 0.0022119328642076536)	(20, 0.001710695284294676)	(25, 0.00019655618503521224)	(30, 0.0007804323181849978)	(35, 3.320988588021268e-05)	(40, 0.0)	(45, 0.000502782225767871)	(50, 6.912290200648917e-05)	(55, 0.0004939005121022327)	(60, 0.0002158642582213824)	(65, 0.0009318076119645719)	(70, 0.003773183662041373)	(75, 0.006456619673455301)	(80, 0.0031267493717683954)	(85, 0.0007143987078882959)	(90, 0.0007078339630049981)	(95, 0.00030699836366010556)	(100, 0.0)	(105, 2.3942010750851e-05)	(110, 3.861614637234032e-07)	(115, 0.0)	(120, 1.8921911722446757e-05)	(125, 0.00044061023010840306)	(130, 0.006271262170868068)	(135, 0.027160280389521844)	(140, 0.005415528367257006)	(145, 0.0030190103233895664)	(150, 0.0025737661557164826)
HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_1	(1, 0.0)	(2, 0.0499188864071513)	(3, 0.0)	(4, 3.871631939128344e-06)	(5, 0.0)	(6, 0.0064869193140095404)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.016550065050191933)	(25, 0.00035967460714502315)	(30, 0.0016969362789199533)	(35, 0.0010716677207507257)	(40, 0.020835187280419182)	(45, 0.009357734396873207)	(50, 0.002438353795263031)	(55, 0.00025243040243116803)	(60, 0.0016667375497947522)	(65, 1.5486527756513378e-06)	(70, 2.7488586767811245e-05)	(75, 0.00011150299984689631)	(80, 4.258795133041179e-06)	(85, 1.5486527756513378e-06)	(90, 2.710142357389841e-06)	(95, 0.00045298093687801626)	(100, 0.0012776385399123538)	(105, 0.0)	(110, 0.008753759814369187)	(115, 0.0)	(120, 3.252170828867809e-05)	(125, 2.710142357389841e-06)	(130, 0.0)	(135, 0.008650774404788371)	(140, 8.904753459995192e-06)	(145, 0.00011653612136776315)	(150, 0.043224834784398404)
HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_2	(1, 0.010987691443246241)	(2, 0.009466140091168803)	(3, 0.00476985054900612)	(4, 5.8074479086925166e-06)	(5, 3.871631939128344e-06)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.000734448578852647)	(15, 0.0022064430421092434)	(20, 0.0016071144179321756)	(25, 0.00020403500319206373)	(30, 0.0007681317767230635)	(35, 2.5939933992159906e-05)	(40, 0.0)	(45, 0.0004994405201475564)	(50, 6.581774296518185e-05)	(55, 0.0004901486034936484)	(60, 0.00020674514554945358)	(65, 0.0009082848529195096)	(70, 0.0037194768039206)	(75, 0.006325085098953976)	(80, 0.0031209225061313585)	(85, 0.0007007653809822304)	(90, 0.0006868275060013683)	(95, 0.00029734133292505684)	(100, 0.0)	(105, 2.6327097186072745e-05)	(110, 3.8716319391283446e-07)	(115, 0.0)	(120, 2.1681138859118727e-05)	(125, 0.00043478426676411304)	(130, 0.006113306831883656)	(135, 0.0272458354452279)	(140, 0.005303748593411919)	(145, 0.0029331483570836335)	(150, 0.00238492527450306)
HSF4_6H_1_ZKRN250030477-1A_23F5KYLT4_L7_1	(1, 0.0)	(2, 0.04962908822853267)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.006611453569879678)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.016522744862730775)	(25, 0.00037336652879783693)	(30, 0.0016972276592986846)	(35, 0.0011189217739998266)	(40, 0.02087633207391817)	(45, 0.009237189999532606)	(50, 0.0024737986308676872)	(55, 0.0002563704976918901)	(60, 0.0016846643270993884)	(65, 2.3556247873680563e-06)	(70, 2.0808018955084496e-05)	(75, 0.00012131467654945491)	(80, 4.711249574736113e-06)	(85, 0.0)	(90, 3.1408330498240754e-06)	(95, 0.0004785844359669434)	(100, 0.0013136534230889195)	(105, 0.0)	(110, 0.008651032031609187)	(115, 0.0)	(120, 3.415655941683681e-05)	(125, 1.963020656140047e-06)	(130, 0.0)	(135, 0.008613342035011297)	(140, 6.281666099648151e-06)	(145, 0.0001130699897936667)	(150, 0.043598688772870445)
HSF4_6H_1_ZKRN250030477-1A_23F5KYLT4_L7_2	(1, 0.011167624512780727)	(2, 0.009828844425293215)	(3, 0.004813326648855395)	(4, 9.815103280700234e-06)	(5, 3.926041312280094e-06)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 3.926041312280094e-06)	(10, 0.0007628298269760222)	(15, 0.0022017239679266764)	(20, 0.0016885903684116682)	(25, 0.00019198342017049658)	(30, 0.0007914899285556669)	(35, 2.9052705710872697e-05)	(40, 0.0)	(45, 0.0004958590177409759)	(50, 6.28166609964815e-05)	(55, 0.0004844734979353636)	(60, 0.00020690237715716096)	(65, 0.0008959226274623174)	(70, 0.0037450508077839814)	(75, 0.006425359211677602)	(80, 0.003100787428438818)	(85, 0.0006960871246672606)	(90, 0.0006764569181058602)	(95, 0.00028974184884627093)	(100, 0.0)	(105, 2.9052705710872697e-05)	(110, 3.926041312280094e-07)	(115, 0.0)	(120, 2.002281069262848e-05)	(125, 0.00044050183523782654)	(130, 0.006185085483366061)	(135, 0.027067306619252652)	(140, 0.00535472774581882)	(145, 0.002983398793201643)	(150, 0.0024930362332978595)
HSF4_6H_2_ZKRN250030478-1A_23F5KYLT4_L7_1	(1, 0.0)	(2, 0.049169470819962785)	(3, 0.0)	(4, 5.640425682926291e-06)	(5, 0.0)	(6, 0.006627500177438392)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.016292557599322022)	(25, 0.0003730201518308587)	(30, 0.0017169455778827628)	(35, 0.00106416031217876)	(40, 0.020798881691601268)	(45, 0.009249546063241392)	(50, 0.002411846022019282)	(55, 0.000247802701669895)	(60, 0.0016398597602161036)	(65, 2.256170273170516e-06)	(70, 2.1809645973981656e-05)	(75, 0.0001192009960991756)	(80, 4.1363121674792795e-06)	(85, 3.760283788617527e-07)	(90, 3.0082270308940215e-06)	(95, 0.000485076608731661)	(100, 0.0012702238637950006)	(105, 0.0)	(110, 0.008518170866355285)	(115, 0.0)	(120, 3.873092302276053e-05)	(125, 2.256170273170516e-06)	(130, 0.0)	(135, 0.008584351861034952)	(140, 7.520567577235053e-06)	(145, 0.00012371333664551665)	(150, 0.04266417986565446)
HSF4_6H_2_ZKRN250030478-1A_23F5KYLT4_L7_2	(1, 0.011027032210120897)	(2, 0.009575562667714532)	(3, 0.00494101289824343)	(4, 5.640425682926291e-06)	(5, 5.640425682926291e-06)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0007573211550275699)	(15, 0.0022287202015136083)	(20, 0.0016676858602518731)	(25, 0.00020155121106989947)	(30, 0.000795300021292607)	(35, 2.5945958141460937e-05)	(40, 0.0)	(45, 0.000524559588512145)	(50, 6.392482440649795e-05)	(55, 0.00047003547357719086)	(60, 0.00021433617595119903)	(65, 0.0009013400241316213)	(70, 0.0037704365548467942)	(75, 0.006439485988007515)	(80, 0.0030984738418208422)	(85, 0.0006839956211495281)	(90, 0.0006749709400568461)	(95, 0.00028766170982924083)	(100, 0.0)	(105, 2.368978786829042e-05)	(110, 3.760283788617527e-07)	(115, 0.0)	(120, 2.0305532458534647e-05)	(125, 0.00045762653707475304)	(130, 0.0061969476836416845)	(135, 0.027415853074431527)	(140, 0.005380214044753958)	(145, 0.0029811529876159755)	(150, 0.002487427726170494)
HSF4_6H_3_ZKRN250030479-1A_23F5KYLT4_L7_1	(1, 0.0)	(2, 0.04945107770997553)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.006422928804808453)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.016342339477734506)	(25, 0.000357640353904107)	(30, 0.001709374916006977)	(35, 0.0010754756356687791)	(40, 0.020666138368607836)	(45, 0.009274198279352113)	(50, 0.002475382163807712)	(55, 0.00023064153435448535)	(60, 0.0017177685161496243)	(65, 1.4597565465473757e-06)	(70, 2.0801530788300102e-05)	(75, 0.00012590400213971113)	(80, 3.6493913663684394e-06)	(85, 3.649391366368439e-07)	(90, 2.9195130930947513e-06)	(95, 0.0004642025818020654)	(100, 0.001292614421967701)	(105, 0.0)	(110, 0.008642488633833737)	(115, 3.649391366368439e-07)	(120, 3.357440057058964e-05)	(125, 2.1896348198210633e-06)	(130, 0.0)	(135, 0.008701608773968906)	(140, 6.2039653228263454e-06)	(145, 0.00011897015854361112)	(150, 0.043553661261924136)
HSF4_6H_3_ZKRN250030479-1A_23F5KYLT4_L7_2	(1, 0.011052181753046817)	(2, 0.009322370245388178)	(3, 0.004685818514417075)	(4, 3.6493913663684394e-06)	(5, 9.123478415921098e-06)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 1.8246956831842197e-06)	(10, 0.0007561538911115405)	(15, 0.0022122610462925476)	(20, 0.0016444157496856187)	(25, 0.00019779701205716938)	(30, 0.0007849840829058512)	(35, 2.8830191794310668e-05)	(40, 0.0)	(45, 0.0004923028953231025)	(50, 7.116313164418456e-05)	(55, 0.0004985068606459288)	(60, 0.00021640890802564845)	(65, 0.0008795033192947937)	(70, 0.0037515743246267553)	(75, 0.006394828491287415)	(80, 0.0031267985227044787)	(85, 0.0007061572293922929)	(90, 0.0006619995938592348)	(95, 0.0002985202137689383)	(100, 0.0)	(105, 2.262622647148432e-05)	(110, 1.0948174099105316e-06)	(115, 0.0)	(120, 2.0801530788300102e-05)	(125, 0.0004247891550452863)	(130, 0.006182068974628136)	(135, 0.027430650205308372)	(140, 0.005344533656046579)	(145, 0.003000894520564767)	(150, 0.0024615144766155124)
