Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
HSF4_2H_3_ZKRN250030473-1A_23F5KYLT4_L8_2	(1.0, 15.369790270337733)	(2.0, 9.80105397312414)	(3.0, 6.931769506585818)	(4.0, 5.271386673289053)	(5.0, 3.9823787928943344)	(6.0, 3.1944206737916305)	(7.0, 2.590467645312315)	(8.0, 2.216983927912646)	(9.0, 1.8664819472156597)	('>10', 20.074315439414292)	('>50', 6.063747854154353)	('>100', 10.86105681661292)	('>500', 2.9302581247947153)	('>1k', 4.543627323193474)	('>5k', 1.2772189458057603)	('>10k+', 3.025042085561158)
HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_1	(1.0, 15.566244588957778)	(2.0, 9.760861904451497)	(3.0, 6.939383146062586)	(4.0, 5.151142999791)	(5.0, 4.005044479349803)	(6.0, 3.1666713931089134)	(7.0, 2.5548319164258375)	(8.0, 2.1317787087490405)	(9.0, 1.7665103145971714)	('>10', 19.41866004502976)	('>50', 5.986931533133744)	('>100', 11.59711635788522)	('>500', 3.2593437567467776)	('>1k', 4.847657771414596)	('>5k', 1.3204093616040402)	('>10k+', 2.527411722692463)
HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_2	(1.0, 15.705028216016235)	(2.0, 9.935542995501319)	(3.0, 6.9107659226081735)	(4.0, 5.104775440378121)	(5.0, 4.038845339707489)	(6.0, 3.094527770292935)	(7.0, 2.4851378555477943)	(8.0, 2.1277154735602117)	(9.0, 1.8062939827408555)	('>10', 19.349335535778906)	('>50', 5.915913998708886)	('>100', 11.616679954292847)	('>500', 3.209165385524711)	('>1k', 4.802306698999237)	('>5k', 1.2365289468585308)	('>10k+', 2.6614364834835493)
HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_1	(1.0, 16.123370052316677)	(2.0, 10.212189381477916)	(3.0, 6.97438190510391)	(4.0, 4.897997494943697)	(5.0, 3.6753059684893654)	(6.0, 2.856545638600815)	(7.0, 2.2974554179864457)	(8.0, 2.0118118480117575)	(9.0, 1.6545213016004547)	('>10', 17.823596398310524)	('>50', 5.825237128274139)	('>100', 11.091495251308862)	('>500', 3.335578015113488)	('>1k', 5.545353117322646)	('>5k', 1.784395390286202)	('>10k+', 3.8907656908529082)
HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_2	(1.0, 16.2788202514015)	(2.0, 10.112681387801016)	(3.0, 6.955317422759663)	(4.0, 4.833890690216228)	(5.0, 3.6987645691606437)	(6.0, 2.9113135262405594)	(7.0, 2.3092939415915)	(8.0, 1.911314062724048)	(9.0, 1.6387226173523288)	('>10', 17.998949855644575)	('>50', 5.724627056260113)	('>100', 11.01081691674799)	('>500', 3.274652910022201)	('>1k', 5.598346585317414)	('>5k', 1.8596587381409524)	('>10k+', 3.8828294686193274)
HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_1	(1.0, 16.05663504100636)	(2.0, 10.069142311754772)	(3.0, 7.253807731899005)	(4.0, 5.378793840476289)	(5.0, 3.9512511334426472)	(6.0, 3.1473512947065627)	(7.0, 2.596011502869688)	(8.0, 2.1667428602509027)	(9.0, 1.735524700350477)	('>10', 19.297119360728573)	('>50', 6.109344491872608)	('>100', 11.600766247427968)	('>500', 3.1111853294564322)	('>1k', 4.37835142952361)	('>5k', 1.0619682952625016)	('>10k+', 2.0860044289715813)
HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_2	(1.0, 15.932287478576946)	(2.0, 10.172436329918526)	(3.0, 7.238306325862063)	(4.0, 5.434306351790605)	(5.0, 3.9494485360287226)	(6.0, 3.1885841021482424)	(7.0, 2.638556780335508)	(8.0, 2.093383384925421)	(9.0, 1.8054170447318652)	('>10', 19.20823911597233)	('>50', 5.940222270261812)	('>100', 11.637507396703386)	('>500', 3.1891461417095)	('>1k', 4.351778001054143)	('>5k', 1.0901740482195967)	('>10k+', 2.1302066917614644)
HSF4_6H_1_ZKRN250030477-1A_23F5KYLT4_L7_1	(1.0, 14.348817470722514)	(2.0, 9.33305314618095)	(3.0, 6.605959780551871)	(4.0, 4.6919385860791225)	(5.0, 3.7269496989793316)	(6.0, 3.0298375981490233)	(7.0, 2.330104359231424)	(8.0, 1.9893705390307965)	(9.0, 1.7410749939151315)	('>10', 19.00610836863514)	('>50', 6.251258768841572)	('>100', 13.007634235286666)	('>500', 3.641906649786089)	('>1k', 5.2740620909825005)	('>5k', 1.5506286408819352)	('>10k+', 3.471295072745891)
HSF4_6H_1_ZKRN250030477-1A_23F5KYLT4_L7_2	(1.0, 14.329566084439413)	(2.0, 9.35219506708659)	(3.0, 6.465546477200937)	(4.0, 4.888259437298743)	(5.0, 3.7149075757337022)	(6.0, 2.9862596290500707)	(7.0, 2.4529906014731964)	(8.0, 2.024373113742672)	(9.0, 1.7025191975675171)	('>10', 19.063848405965256)	('>50', 6.136731036094211)	('>100', 12.940625089347444)	('>500', 3.649001464503914)	('>1k', 5.242893870777954)	('>5k', 1.4844778829139398)	('>10k+', 3.565805066804864)
HSF4_6H_2_ZKRN250030478-1A_23F5KYLT4_L7_1	(1.0, 15.161991419508306)	(2.0, 9.38449080873469)	(3.0, 6.6691176034222295)	(4.0, 4.972024740037793)	(5.0, 4.0364212727474635)	(6.0, 3.197239351225547)	(7.0, 2.402788313523673)	(8.0, 2.007371995388535)	(9.0, 1.8541576810450846)	('>10', 19.814898680608614)	('>50', 6.296353960639907)	('>100', 13.086765964353031)	('>500', 3.535776343690827)	('>1k', 4.534079786053719)	('>5k', 1.0723063196597584)	('>10k+', 1.9742157593608867)
HSF4_6H_2_ZKRN250030478-1A_23F5KYLT4_L7_2	(1.0, 15.178945382997103)	(2.0, 9.432946680970268)	(3.0, 6.834349246926473)	(4.0, 5.082052417542844)	(5.0, 3.923046070789927)	(6.0, 3.0793042794438406)	(7.0, 2.614601439283085)	(8.0, 2.206182278144716)	(9.0, 1.8321463410030832)	('>10', 19.565059716728506)	('>50', 6.239171332277241)	('>100', 12.88796857064725)	('>500', 3.5026719845688494)	('>1k', 4.47859190226826)	('>5k', 1.0932726620056508)	('>10k+', 2.0496896944030416)
HSF4_6H_3_ZKRN250030479-1A_23F5KYLT4_L7_1	(1.0, 15.278405834561553)	(2.0, 9.851464203655835)	(3.0, 7.214839877011611)	(4.0, 5.228402308096385)	(5.0, 4.105500585421336)	(6.0, 3.326035739505378)	(7.0, 2.717539250935079)	(8.0, 2.2525257441022712)	(9.0, 1.9042909074832526)	('>10', 20.62932381095329)	('>50', 6.201149328769916)	('>100', 12.303288750924203)	('>500', 3.1465388957959655)	('>1k', 3.7439258342146884)	('>5k', 0.8235187460629961)	('>10k+', 1.273250182506027)
HSF4_6H_3_ZKRN250030479-1A_23F5KYLT4_L7_2	(1.0, 15.222162918313334)	(2.0, 9.87676314774025)	(3.0, 7.266121807535525)	(4.0, 5.318822514653446)	(5.0, 4.096636045289046)	(6.0, 3.453066554429408)	(7.0, 2.639938117526485)	(8.0, 2.2828003808919815)	(9.0, 1.874129032067782)	('>10', 20.419715596804)	('>50', 6.2269712700136575)	('>100', 12.27653910453567)	('>500', 3.1353545552430098)	('>1k', 3.749559931508732)	('>5k', 0.8095014667563867)	('>10k+', 1.3519175566911992)
